id,name,full_name,owner,private,description,default_branch,language,stars,forks,open_issues,created_at,updated_at
3294565096,lantern-keeper,aaron-delgado/lantern-keeper,aaron-delgado,true,lantern-keeper repository.,main,C++,114,45,7,2023-01-01T00:00:00-07:00,2026-10-06T20:15:00-07:00
989935960,dotfiles,aaron-delgado/dotfiles,aaron-delgado,false,dotfiles repository.,main,Shell,169,55,27,2023-01-01T00:00:00-07:00,2026-08-22T18:03:00-07:00
2360942394,lantern-keeper-playtester-tools,aaron-delgado/lantern-keeper-playtester-tools,aaron-delgado,true,lantern-keeper-playtester-tools repository.,main,C++,369,37,35,2023-01-01T00:00:00-07:00,2026-09-30T22:41:00-07:00
819290933,kendo-scorekeeper-3,aaron-delgado/kendo-scorekeeper-3,aaron-delgado,true,kendo-scorekeeper-3 repository.,main,C++,496,20,39,2023-01-01T00:00:00-07:00,2025-01-26T20:40:00-07:00
2401043164,kendo-scorekeeper-4,aaron-delgado/kendo-scorekeeper-4,aaron-delgado,true,kendo-scorekeeper-4 repository.,main,C++,223,25,17,2023-01-01T00:00:00-07:00,2026-03-12T08:36:00-07:00
643086523,kendo-scorekeeper-5,aaron-delgado/kendo-scorekeeper-5,aaron-delgado,true,kendo-scorekeeper-5 repository.,master,C++,374,12,26,2023-01-01T00:00:00-07:00,2024-08-22T09:50:00-07:00
1719238390,tournament-brackets-6,cascade-interactive-noreach/tournament-brackets-6,cascade-interactive-noreach,false,tournament-brackets-6 repository.,main,Python,386,46,8,2023-01-01T00:00:00-07:00,2025-09-17T20:29:00-07:00
3386230838,dotfiles-7,aaron-delgado/dotfiles-7,aaron-delgado,false,dotfiles-7 repository.,develop,Shell,67,46,31,2023-01-01T00:00:00-07:00,2025-04-12T18:02:00-07:00
3664409919,level-tools-8,aaron-delgado/level-tools-8,aaron-delgado,true,level-tools-8 repository.,master,Python,342,52,8,2023-01-01T00:00:00-07:00,2025-02-25T15:12:00-07:00
2600091301,level-tools-9,aaron-delgado/level-tools-9,aaron-delgado,true,level-tools-9 repository.,develop,Python,143,57,31,2023-01-01T00:00:00-07:00,2025-11-30T09:12:00-07:00
356012516,tournament-brackets-10,aaron-delgado/tournament-brackets-10,aaron-delgado,true,tournament-brackets-10 repository.,main,Python,271,11,1,2023-01-01T00:00:00-07:00,2024-06-20T11:53:00-07:00
1246137014,cutting-board-tracker-11,cascade-interactive-noreach/cutting-board-tracker-11,cascade-interactive-noreach,true,cutting-board-tracker-11 repository.,develop,Python,451,46,15,2023-01-01T00:00:00-07:00,2025-12-16T09:06:00-07:00
1848274872,dotfiles-12,aaron-delgado/dotfiles-12,aaron-delgado,false,dotfiles-12 repository.,master,Shell,157,35,17,2023-01-01T00:00:00-07:00,2025-11-05T19:34:00-07:00
1287236139,game-jam-2024-13,aaron-delgado/game-jam-2024-13,aaron-delgado,false,game-jam-2024-13 repository.,develop,Python,83,56,9,2023-01-01T00:00:00-07:00,2024-06-18T18:28:00-07:00
2986278464,game-jam-2024-14,cascade-interactive-noreach/game-jam-2024-14,cascade-interactive-noreach,false,game-jam-2024-14 repository.,main,Python,355,33,25,2023-01-01T00:00:00-07:00,2024-02-06T14:36:00-07:00
4291093147,lantern-keeper-15,aaron-delgado/lantern-keeper-15,aaron-delgado,false,lantern-keeper-15 repository.,develop,C++,13,48,27,2023-01-01T00:00:00-07:00,2025-07-09T10:41:00-07:00
3470772373,dojo-scripts-16,aaron-delgado/dojo-scripts-16,aaron-delgado,true,dojo-scripts-16 repository.,main,Python,88,28,22,2023-01-01T00:00:00-07:00,2024-10-31T15:25:00-07:00
