campaign_id,emails_sent,opens_total,unique_opens,open_rate,clicks_total,unique_clicks,click_rate,unsubscribed,bounces
cmp_2026_09_newsletter,208,341,172,0.827,58,44,0.212,2,3
cmp_tourney_early_bird,118,261,104,0.881,71,58,0.491,1,2
cmp_tourney_reg_closing,124,289,116,0.935,88,70,0.565,0,1
cmp_tourney_waiver_push,82,191,78,0.951,63,55,0.671,0,0
cmp_parent_signin_notice,71,158,67,0.943,41,36,0.507,0,1
cmp_visiting_club_coord,22,47,21,0.954,18,15,0.682,0,0
rep-0003006,cmp-0003016,2026-02-04T11:11:00-07:00,429,28,7,0.188,494.76,detail_575,detail_749
rep-0003007,cmp-0003027,2025-08-30T20:56:00-07:00,482,46,9,0.184,47.59,detail_183,detail_821
rep-0003008,cmp-0003010,2024-09-21T20:32:00-07:00,583,72,33,0.176,482.95,detail_371,detail_331
rep-0003009,cmp-0003041,2025-08-04T20:10:00-07:00,507,68,25,0.665,102.77,detail_202,detail_461
rep-0003010,cmp-0003105,2025-07-13T18:22:00-07:00,212,115,40,0.17,110.75,detail_575,detail_304
rep-0003011,cmp-0003056,2025-10-18T15:05:00-07:00,375,35,38,0.582,248.61,detail_200,detail_803
rep-0003012,cmp-0003012,2024-04-22T08:08:00-07:00,645,13,11,0.387,207.2,detail_800,detail_818
rep-0003013,cmp-0003069,2026-01-11T19:44:00-07:00,153,22,1,0.24,299.46,detail_888,detail_689
rep-0003014,cmp-0003010,2024-10-28T15:11:00-07:00,191,25,26,0.509,180.68,detail_418,detail_253
rep-0003015,cmp-0003019,2024-10-07T15:48:00-07:00,71,54,25,0.166,214.23,detail_569,detail_789
rep-0003016,cmp-0003049,2026-05-21T14:53:00-07:00,109,77,12,0.425,399.37,detail_666,detail_835
rep-0003017,cmp-0003031,2024-11-17T16:02:00-07:00,566,20,21,0.321,276.82,detail_214,detail_259
rep-0003018,cmp-0003024,2025-03-12T10:17:00-07:00,557,32,20,0.65,62.06,detail_562,detail_893
rep-0003019,cmp-0003083,2025-02-06T16:12:00-07:00,261,51,11,0.351,176.02,detail_618,detail_586
rep-0003020,cmp-0003002,2024-11-09T11:40:00-07:00,487,39,12,0.422,476.74,detail_540,detail_152
rep-0003021,cmp-0003033,2026-09-12T20:40:00-07:00,256,42,21,0.556,210.56,detail_152,detail_480
rep-0003022,cmp-0003063,2024-06-11T15:54:00-07:00,478,80,8,0.549,295.2,detail_708,detail_662
rep-0003023,cmp-0003029,2024-02-26T10:59:00-07:00,649,57,36,0.652,226.87,detail_250,detail_557
rep-0003024,cmp-0003047,2024-06-04T20:11:00-07:00,120,120,8,0.472,121.41,detail_134,detail_538
rep-0003025,cmp-0003008,2026-08-15T13:05:00-07:00,637,3,35,0.627,428.53,detail_280,detail_262
