date,requests,delivered,opens,unique_opens,clicks,unique_clicks,bounces,spam_reports,unsubscribes
2026-09-25,612,595,312,248,41,36,12,1,3
2026-09-26,82,80,31,29,5,5,1,0,0
2026-09-27,19,18,8,8,1,1,1,0,0
2026-09-28,44,43,20,17,3,3,1,0,0
2026-09-29,91,88,39,34,8,7,3,0,1
2026-09-30,132,128,60,51,12,11,4,0,1
2026-10-01,102,99,48,42,10,9,3,0,0
2025-07-10,231,41,30,23,6,0.564,detail_599,detail_788,detail_956
2026-06-28,615,27,180,37,8,0.586,detail_716,detail_790,detail_978
2024-07-25,478,272,151,5,7,0.287,detail_108,detail_283,detail_366
2024-09-25,234,408,100,5,3,0.268,detail_519,detail_538,detail_341
2026-08-07,607,147,101,29,2,0.422,detail_992,detail_397,detail_225
2025-04-04,138,345,37,39,2,0.41,detail_236,detail_141,detail_503
2025-09-26,430,263,52,13,3,0.271,detail_777,detail_203,detail_275
2024-01-20,193,195,113,27,7,0.255,detail_146,detail_552,detail_767
2025-12-27,219,190,151,32,4,0.272,detail_793,detail_997,detail_336
2024-12-18,514,307,37,24,7,0.415,detail_989,detail_945,detail_762
2024-01-19,264,350,157,18,8,0.361,detail_761,detail_139,detail_774
2026-09-15,134,179,22,28,2,0.676,detail_180,detail_795,detail_211
2026-07-23,466,206,102,3,1,0.562,detail_358,detail_697,detail_424
2025-08-28,140,27,70,3,7,0.386,detail_849,detail_642,detail_332
2026-03-15,588,454,173,19,3,0.58,detail_351,detail_520,detail_380
2024-12-05,557,160,15,14,4,0.663,detail_533,detail_793,detail_386
2024-07-13,84,154,173,11,4,0.428,detail_307,detail_839,detail_922
2026-02-06,350,238,54,22,0,0.579,detail_920,detail_376,detail_274
2024-06-23,230,441,90,12,0,0.573,detail_514,detail_612,detail_277
2026-06-28#seq1,639,54,150,4,6,0.312,detail_676,detail_688,detail_378
2026-08-27,121,162,61,9,4,0.651,detail_377,detail_273,detail_339
2026-05-26,461,372,44,41,5,0.203,detail_788,detail_866,detail_501
2026-01-06,418,214,76,5,8,0.409,detail_281,detail_971,detail_167
2026-01-13,389,295,15,2,0,0.658,detail_596,detail_484,detail_555
2024-12-12,297,239,156,2,5,0.533,detail_744,detail_397,detail_795
2025-04-14,205,336,55,41,7,0.444,detail_403,detail_810,detail_840
2026-05-10,61,205,73,7,1,0.409,detail_150,detail_278,detail_159
2024-02-14,583,502,171,0,3,0.564,detail_743,detail_387,detail_787
2024-12-20,567,90,127,8,3,0.435,detail_990,detail_562,detail_480
2024-05-25,298,40,14,38,3,0.312,detail_611,detail_877,detail_316
2025-11-07,306,201,177,18,5,0.509,detail_775,detail_761,detail_454
2025-04-29,157,172,127,13,8,0.565,detail_686,detail_873,detail_132
2026-08-18,216,207,47,30,8,0.364,detail_366,detail_806,detail_132
2025-10-31,431,484,43,29,3,0.365,detail_270,detail_607,detail_938
2025-04-21,520,437,139,25,6,0.591,detail_335,detail_719,detail_407
2026-06-26,521,309,7,42,5,0.236,detail_630,detail_246,detail_643
2026-02-16,161,209,35,42,5,0.333,detail_314,detail_275,detail_336
2025-10-10,470,441,31,9,0,0.525,detail_472,detail_417,detail_872
2024-03-22,190,474,158,27,6,0.498,detail_534,detail_134,detail_982
2025-06-14,47,279,56,21,7,0.633,detail_947,detail_785,detail_173
2025-01-11,626,99,33,24,7,0.471,detail_313,detail_154,detail_141
2026-03-12,592,268,58,41,0,0.569,detail_194,detail_854,detail_545
2024-12-03,593,490,13,20,4,0.461,detail_892,detail_512,detail_348
2026-01-07,56,475,100,34,3,0.341,detail_124,detail_938,detail_595
2025-09-22,466,432,84,11,1,0.391,detail_152,detail_497,detail_129
2025-08-07,454,331,75,23,4,0.411,detail_466,detail_335,detail_670
2024-06-29,429,494,116,35,5,0.412,detail_703,detail_852,detail_886
2026-06-17,200,110,63,27,3,0.375,detail_657,detail_825,detail_821
2025-09-08,80,227,36,19,2,0.547,detail_382,detail_146,detail_717
2024-12-23,428,480,77,5,5,0.33,detail_514,detail_238,detail_473
2026-08-06,597,239,128,32,5,0.328,detail_828,detail_265,detail_779
2025-04-25,226,272,103,23,3,0.308,detail_188,detail_845,detail_684
2025-01-22,324,308,67,10,8,0.261,detail_262,detail_358,detail_914
2026-01-22,634,50,152,33,5,0.43,detail_166,detail_835,detail_458
2025-02-24,209,282,22,20,3,0.606,detail_963,detail_604,detail_100
