food_id,food_name,brand,serving_size,serving_unit,calories,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g,potassium_mg,is_verified
food_0000,Food 0,,3 serving,serving,104,11,12,85,789,73,7,4,45,220,true
food_0001,Food 1,,2 serving,serving,421,29,10,57,1171,44,10,22,17,422,true
food_0002,Food 2,,2 serving,serving,111,22,4,38,910,78,5,13,30,230,true
food_0003,Food 3,,3 serving,serving,544,30,5,24,274,76,7,9,25,430,true
food_0004,Food 4,,1 serving,serving,194,28,13,37,605,59,2,21,11,160,true
food_0005,Food 5,,1 serving,serving,274,4,15,57,731,21,7,17,34,372,true
food_0006,Food 6,,3 serving,serving,256,13,5,81,252,59,0,24,27,295,true
food_0007,Food 7,,3 serving,serving,451,6,9,24,970,66,10,2,37,276,true
food_0008,Food 8,,3 serving,serving,133,6,8,74,1196,48,10,30,46,390,true
food_0009,Food 9,,3 serving,serving,391,16,3,43,936,54,9,4,32,449,true
food_0010,Food 10,,2 serving,serving,559,23,8,77,903,10,1,10,12,155,true
food_0011,Food 11,,1 serving,serving,314,14,13,19,563,36,10,18,47,81,true
food_0012,Food 12,,2 serving,serving,290,10,1,68,872,70,10,27,18,287,true
food_0013,Food 13,,1 serving,serving,229,23,11,23,547,61,5,18,18,313,true
food_0014,Food 14,,2 serving,serving,113,13,6,63,1056,11,8,26,27,490,true
food_0015,Food 15,,1 serving,serving,381,15,1,19,185,63,0,20,6,141,true
food_0016,Food 16,,1 serving,serving,322,24,15,26,453,60,2,10,30,181,true
food_0017,Food 17,,3 serving,serving,513,27,12,10,860,80,10,10,37,357,true
food_0018,Food 18,,1 serving,serving,162,10,6,34,1183,38,4,12,22,108,true
food_0019,Food 19,,2 serving,serving,111,23,12,42,728,39,7,20,21,158,true
food_0020,Food 20,,3 serving,serving,440,24,12,69,456,12,8,21,49,173,true
food_0021,Food 21,,1 serving,serving,569,29,4,83,1160,13,3,14,7,437,true
food_0022,Food 22,,1 serving,serving,408,24,14,62,1179,11,6,22,8,390,true
food_0023,Food 23,,3 serving,serving,284,25,2,32,952,39,9,2,9,228,true
food_0024,Food 24,,1 serving,serving,226,25,12,72,199,25,5,23,42,171,true
food_0025,Food 25,,3 serving,serving,215,17,6,22,280,42,5,27,48,144,true
food_0026,Food 26,,3 serving,serving,423,18,9,59,1125,54,9,1,10,346,true
food_0027,Food 27,,2 serving,serving,362,27,10,45,711,64,2,29,47,168,true
