id,type,name,description,category,variation_id,variation_name,price_amount,currency
cat_0000,ITEM,Menu Item 0,Desc 0,Beverage,var_0000,Regular,1164,USD
cat_0001,ITEM,Menu Item 1,Desc 1,Entree,var_0001,Regular,3137,USD
cat_0002,ITEM,Menu Item 2,Desc 2,Dessert,var_0002,Regular,2187,USD
cat_0003,ITEM,Menu Item 3,Desc 3,Beverage,var_0003,Regular,2648,USD
cat_0004,ITEM,Menu Item 4,Desc 4,Dessert,var_0004,Regular,3124,USD
cat_0005,ITEM,Menu Item 5,Desc 5,Entree,var_0005,Regular,1087,USD
cat_0006,ITEM,Menu Item 6,Desc 6,Beverage,var_0006,Regular,1141,USD
cat_0007,ITEM,Menu Item 7,Desc 7,Beverage,var_0007,Regular,1270,USD
cat_0008,ITEM,Menu Item 8,Desc 8,Appetizer,var_0008,Regular,1404,USD
cat_0009,ITEM,Menu Item 9,Desc 9,Beverage,var_0009,Regular,2172,USD
cat_0010,ITEM,Menu Item 10,Desc 10,Beverage,var_0010,Regular,1873,USD
cat_0011,ITEM,Menu Item 11,Desc 11,Dessert,var_0011,Regular,2114,USD
cat_0012,ITEM,Menu Item 12,Desc 12,Appetizer,var_0012,Regular,3235,USD
cat_0013,ITEM,Menu Item 13,Desc 13,Beverage,var_0013,Regular,1643,USD
cat_0014,ITEM,Menu Item 14,Desc 14,Appetizer,var_0014,Regular,2877,USD
cat_0015,ITEM,Menu Item 15,Desc 15,Entree,var_0015,Regular,1525,USD
cat_0016,ITEM,Menu Item 16,Desc 16,Appetizer,var_0016,Regular,915,USD
cat_0017,ITEM,Menu Item 17,Desc 17,Entree,var_0017,Regular,2606,USD
cat_0018,ITEM,Menu Item 18,Desc 18,Dessert,var_0018,Regular,1286,USD
cat_0019,ITEM,Menu Item 19,Desc 19,Appetizer,var_0019,Regular,1222,USD
cat_0020,ITEM,Menu Item 20,Desc 20,Beverage,var_0020,Regular,954,USD
cat_0021,ITEM,Menu Item 21,Desc 21,Beverage,var_0021,Regular,1578,USD
cat_0022,ITEM,Menu Item 22,Desc 22,Dessert,var_0022,Regular,2945,USD
cat_0023,ITEM,Menu Item 23,Desc 23,Appetizer,var_0023,Regular,2295,USD
cat_0024,ITEM,Menu Item 24,Desc 24,Appetizer,var_0024,Regular,2942,USD
cat_0025,ITEM,Menu Item 25,Desc 25,Appetizer,var_0025,Regular,2304,USD
cat_0026,ITEM,Menu Item 26,Desc 26,Entree,var_0026,Regular,1556,USD
cat_0027,ITEM,Menu Item 27,Desc 27,Beverage,var_0027,Regular,3010,USD
cat_0028,ITEM,Menu Item 28,Desc 28,Beverage,var_0028,Regular,829,USD
cat_0029,ITEM,Menu Item 29,Desc 29,Entree,var_0029,Regular,1952,USD
cat_0030,ITEM,Menu Item 30,Desc 30,Entree,var_0030,Regular,3257,USD
cat_0031,ITEM,Menu Item 31,Desc 31,Dessert,var_0031,Regular,2332,USD
cat_0032,ITEM,Menu Item 32,Desc 32,Entree,var_0032,Regular,1730,USD
cat_0033,ITEM,Menu Item 33,Desc 33,Entree,var_0033,Regular,1563,USD
cat_0034,ITEM,Menu Item 34,Desc 34,Appetizer,var_0034,Regular,1377,USD
cat_0035,ITEM,Menu Item 35,Desc 35,Beverage,var_0035,Regular,1478,USD
cat_0036,ITEM,Menu Item 36,Desc 36,Beverage,var_0036,Regular,3440,USD
cat_0037,ITEM,Menu Item 37,Desc 37,Dessert,var_0037,Regular,2531,USD
cat_0038,ITEM,Menu Item 38,Desc 38,Entree,var_0038,Regular,1534,USD
cat_0039,ITEM,Menu Item 39,Desc 39,Beverage,var_0039,Regular,1032,USD
cat_0040,ITEM,Menu Item 40,Desc 40,Beverage,var_0040,Regular,2925,USD
cat_0041,ITEM,Menu Item 41,Desc 41,Beverage,var_0041,Regular,2850,USD
cat_0042,ITEM,Menu Item 42,Desc 42,Appetizer,var_0042,Regular,1404,USD
cat_0043,ITEM,Menu Item 43,Desc 43,Dessert,var_0043,Regular,1552,USD
cat_0044,ITEM,Menu Item 44,Desc 44,Beverage,var_0044,Regular,1143,USD
cat_0045,ITEM,Menu Item 45,Desc 45,Entree,var_0045,Regular,2742,USD
cat_0046,ITEM,Menu Item 46,Desc 46,Entree,var_0046,Regular,2816,USD
cat_0047,ITEM,Menu Item 47,Desc 47,Beverage,var_0047,Regular,2785,USD
cat_0048,ITEM,Menu Item 48,Desc 48,Beverage,var_0048,Regular,1156,USD
cat_0049,ITEM,Menu Item 49,Desc 49,Beverage,var_0049,Regular,1796,USD
cat_0050,ITEM,Menu Item 50,Desc 50,Appetizer,var_0050,Regular,865,USD
cat_0051,ITEM,Menu Item 51,Desc 51,Dessert,var_0051,Regular,2719,USD
cat_0052,ITEM,Menu Item 52,Desc 52,Beverage,var_0052,Regular,1196,USD
cat_0053,ITEM,Menu Item 53,Desc 53,Dessert,var_0053,Regular,1277,USD
cat_0054,ITEM,Menu Item 54,Desc 54,Appetizer,var_0054,Regular,1284,USD
cat_0055,ITEM,Menu Item 55,Desc 55,Dessert,var_0055,Regular,2367,USD
cat_0056,ITEM,Menu Item 56,Desc 56,Dessert,var_0056,Regular,2537,USD
cat_0057,ITEM,Menu Item 57,Desc 57,Appetizer,var_0057,Regular,1269,USD
cat_0058,ITEM,Menu Item 58,Desc 58,Entree,var_0058,Regular,2774,USD
cat_0059,ITEM,Menu Item 59,Desc 59,Appetizer,var_0059,Regular,2801,USD
cat_0060,ITEM,Menu Item 60,Desc 60,Appetizer,var_0060,Regular,2558,USD
cat_0061,ITEM,Menu Item 61,Desc 61,Entree,var_0061,Regular,2163,USD
cat_0062,ITEM,Menu Item 62,Desc 62,Appetizer,var_0062,Regular,1501,USD
cat_0063,ITEM,Menu Item 63,Desc 63,Entree,var_0063,Regular,991,USD
cat_0064,ITEM,Menu Item 64,Desc 64,Entree,var_0064,Regular,1339,USD
cat_0065,ITEM,Menu Item 65,Desc 65,Entree,var_0065,Regular,3415,USD
cat_0066,ITEM,Menu Item 66,Desc 66,Beverage,var_0066,Regular,3476,USD
cat_0067,ITEM,Menu Item 67,Desc 67,Appetizer,var_0067,Regular,3430,USD
cat_0068,ITEM,Menu Item 68,Desc 68,Appetizer,var_0068,Regular,1745,USD
cat_0069,ITEM,Menu Item 69,Desc 69,Dessert,var_0069,Regular,3056,USD
cat_0070,ITEM,Menu Item 70,Desc 70,Dessert,var_0070,Regular,3209,USD
cat_0071,ITEM,Menu Item 71,Desc 71,Entree,var_0071,Regular,2604,USD
cat_0072,ITEM,Menu Item 72,Desc 72,Appetizer,var_0072,Regular,1023,USD
cat_0073,ITEM,Menu Item 73,Desc 73,Appetizer,var_0073,Regular,1819,USD
