campaign_id,emails_sent,opens_total,unique_opens,open_rate,clicks_total,unique_clicks,click_rate,unsubscribed,bounces
ala-2026-09-08,1480,1018,902,0.609,142,118,0.080,0,8
ala-2026-09-15,1480,1064,945,0.638,168,140,0.094,0,7
ala-2026-09-22,1480,1078,961,0.649,184,151,0.102,1,6
ala-2026-09-29,1480,1102,985,0.665,201,164,0.111,0,5
ala-2026-10-06,1480,1145,1023,0.691,238,196,0.132,0,4
fbb-2026-09-30,318,254,236,0.742,38,31,0.097,0,2
fbb-2024-04-14-013,318,208,184,0.654,25,20,0.079,0,9
ala-2026-10-06,1480,825,730,0.557,151,129,0.102,0,7
ala-2025-01-19-048,1480,966,859,0.653,140,105,0.095,0,11
fbb-2024-08-12-028,1480,890,772,0.601,99,82,0.067,0,11
fbb-2026-02-15-097,318,200,176,0.629,23,18,0.072,0,6
fbb-2025-04-01-057,1480,833,721,0.563,152,126,0.103,0,8
ala-2026-01-22-094,1480,816,766,0.551,105,88,0.071,0,5
fbb-2025-12-13-089,1480,865,766,0.584,104,78,0.070,0,9
ala-2024-12-26-045,318,206,184,0.648,31,24,0.097,0,9
ala-2025-01-27-049,1480,969,827,0.655,119,90,0.080,0,6
fbb-2024-10-07-035,318,198,178,0.623,29,25,0.091,0,7
ala-2025-03-24-056,1480,905,818,0.611,121,91,0.082,0,8
ala-2024-10-23-037,318,182,166,0.572,21,18,0.066,0,4
ala-2024-07-19-025,1480,1000,921,0.676,104,79,0.070,0,9
fbb-2024-07-11-024,1480,963,883,0.651,89,67,0.060,0,4
fbb-2026-01-14-093,318,207,181,0.651,31,27,0.097,0,7
fbb-2025-01-03-046,1480,897,763,0.606,124,111,0.084,0,6
fbb-2024-10-07-035,1480,885,840,0.598,149,115,0.101,0,7
fbb-2025-05-11-062,318,188,162,0.591,25,20,0.079,0,4
ala-2025-11-03-084,1480,907,831,0.613,153,118,0.103,0,6
fbb-2024-06-01-019,318,205,192,0.645,34,28,0.107,0,8
ala-2025-04-25-060,318,213,181,0.670,24,20,0.075,0,12
ala-2025-08-15-074,318,188,170,0.591,30,24,0.094,0,11
fbb-2024-06-09-020,1480,864,792,0.584,139,121,0.094,0,9
ala-2025-01-19-048,318,215,189,0.676,33,27,0.104,0,7
ala-2024-11-24-041,318,212,201,0.667,19,16,0.060,0,11
ala-2024-10-23-037,318,194,172,0.610,24,20,0.075,0,7
fbb-2026-01-30-095,318,186,172,0.585,32,27,0.101,0,5
ala-2025-02-20-052,318,182,163,0.572,26,20,0.082,0,8
ala-2025-07-30-072,1480,864,742,0.584,111,89,0.075,0,5
fbb-2024-07-11-024,1480,869,780,0.587,142,119,0.096,0,11
fbb-2024-04-30-015,318,211,184,0.664,33,28,0.104,0,9
fbb-2025-01-03-046,1480,998,853,0.674,154,128,0.104,0,6
ala-2026-02-23-098,1480,950,848,0.642,90,72,0.061,0,9
