tracking_number,service_code,service_name,ship_date,origin_zip,dest_zip,weight_lb,currency,total_charge,label_url
1Z9X4F250396712204,03,"UPS Ground | Fuel filter and air filter, John Deere 5075E (preventive maintenance, Aaron's own) | In transit, on schedule",2026-10-02,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F250396712204
1Z9X4F157053306022,03,UPS SurePost | Serpentine belt | Delivered,2026-04-20,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F157053306022
1Z9X4F425625436399,03,UPS Ground | Belt tensioner | Delivered,2025-09-29,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F425625436399
1Z9X4F419082057706,03,UPS 2nd Day Air | Water pump gasket set | Delivered,2024-07-21,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F419082057706
1Z9X4F456036364325,03,UPS Ground | Alternator brush kit | Delivered,2025-11-26,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F456036364325
1Z9X4F329164401899,03,UPS Ground | Serpentine belt | Delivered,2025-06-11,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F329164401899
1Z9X4F589666755641,03,UPS Ground | Water pump gasket set | Delivered,2025-03-28,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F589666755641
1Z9X4F430008928732,03,UPS SurePost | Oil pump seal | Delivered,2024-04-17,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F430008928732
1Z9X4F288741796061,03,UPS 2nd Day Air | Air filter and fuel filter kit | Delivered,2024-07-09,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F288741796061
1Z9X4F232042709363,03,UPS Ground | Water pump gasket set | Delivered,2025-07-17,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F232042709363
1Z9X4F173140167193,03,UPS Ground | Serpentine belt | Delivered,2024-06-19,79011,79101,5.0,USD,0.0,https://ups.example/label/1Z9X4F173140167193
