pair,base,currency,amount
BTC-USD,BTC,USD,58464.87
BTC-EUR,BTC,EUR,75225.48
BTC-GBP,BTC,GBP,41447.23
BTC-CAD,BTC,CAD,41868.00
ETH-USD,ETH,USD,65831.14
ETH-EUR,ETH,EUR,82145.47
ETH-GBP,ETH,GBP,52132.46
ETH-CAD,ETH,CAD,74138.18
SOL-USD,SOL,USD,14924.12
SOL-EUR,SOL,EUR,18083.33
SOL-GBP,SOL,GBP,18862.94
SOL-CAD,SOL,CAD,17149.97
ADA-USD,ADA,USD,26915.65
ADA-EUR,ADA,EUR,26834.32
ADA-GBP,ADA,GBP,34272.84
ADA-CAD,ADA,CAD,31243.63
DOGE-USD,DOGE,USD,40444.74
DOGE-EUR,DOGE,EUR,40418.58
DOGE-GBP,DOGE,GBP,35253.43
DOGE-CAD,DOGE,CAD,33435.10
XRP-USD,XRP,USD,28538.52
XRP-EUR,XRP,EUR,33236.11
XRP-GBP,XRP,GBP,20954.19
XRP-CAD,XRP,CAD,26828.26
LTC-USD,LTC,USD,25449.34
LTC-EUR,LTC,EUR,24580.36
LTC-GBP,LTC,GBP,21331.45
LTC-CAD,LTC,CAD,32307.82
BCH-USD,BCH,USD,7929.14
BCH-EUR,BCH,EUR,6967.39
BCH-GBP,BCH,GBP,8382.66
BCH-CAD,BCH,CAD,9084.70
DOT-USD,DOT,USD,15363.47
DOT-EUR,DOT,EUR,12231.62
DOT-GBP,DOT,GBP,13384.35
DOT-CAD,DOT,CAD,19146.60
LINK-USD,LINK,USD,12574.19
LINK-EUR,LINK,EUR,15959.80
LINK-GBP,LINK,GBP,14181.79
LINK-CAD,LINK,CAD,10497.92
MATIC-USD,MATIC,USD,1326.69
MATIC-EUR,MATIC,EUR,1199.12
MATIC-GBP,MATIC,GBP,1285.67
MATIC-CAD,MATIC,CAD,965.09
AVAX-USD,AVAX,USD,29797.69
AVAX-EUR,AVAX,EUR,29575.37
AVAX-GBP,AVAX,GBP,23547.45
AVAX-CAD,AVAX,CAD,27379.84
ATOM-USD,ATOM,USD,31692.10
ATOM-EUR,ATOM,EUR,27149.70
ATOM-GBP,ATOM,GBP,26463.81
ATOM-CAD,ATOM,CAD,27411.12
XLM-USD,XLM,USD,62852.37
XLM-EUR,XLM,EUR,60855.30
XLM-GBP,XLM,GBP,76011.05
XLM-CAD,XLM,CAD,46364.60
ALGO-USD,ALGO,USD,27395.91
ALGO-EUR,ALGO,EUR,30449.59
ALGO-GBP,ALGO,GBP,33591.49
ALGO-CAD,ALGO,CAD,25113.08
UNI-USD,UNI,USD,62499.96
UNI-EUR,UNI,EUR,53345.29
UNI-GBP,UNI,GBP,51209.27
UNI-CAD,UNI,CAD,75366.25
AAVE-USD,AAVE,USD,13003.95
AAVE-EUR,AAVE,EUR,13410.61
AAVE-GBP,AAVE,GBP,13812.39
AAVE-CAD,AAVE,CAD,14502.67
FIL-USD,FIL,USD,16279.64
FIL-EUR,FIL,EUR,16436.14
FIL-GBP,FIL,GBP,20698.43
FIL-CAD,FIL,CAD,14214.86
ETC-USD,ETC,USD,21684.36
ETC-EUR,ETC,EUR,26930.60
ETC-GBP,ETC,GBP,16768.48
ETC-CAD,ETC,CAD,16231.06
XTZ-USD,XTZ,USD,55325.49
XTZ-EUR,XTZ,EUR,62163.90
XTZ-GBP,XTZ,GBP,62996.67
XTZ-CAD,XTZ,CAD,42731.82
