baseId,id,name,primaryFieldId,records_csv
appAW7714ROSTER,tblStudents000001,Active Roster,fldStudentNm00001,records_students.csv
appAW7714SHOWCASE,tblRoutines000001,Routines,fldRoutineNm00001,records_routines.csv
appAW7714SHOWCASE,tblCostumes000001,Showcase Costume Sizing,fldCostumeNm00001,records_costumes.csv
appAW7714ROSTER-e001,tblStudents000001-e001,Active Roster,fldStudentNm00001-e001,records_students.csv
appAW7714SHOWCASE-e001,tblRoutines000001-e001,Routines,fldRoutineNm00001-e001,records_routines.csv
appAW7714SHOWCASE-e001,tblCostumes000001-e001,Showcase Costume Sizing,fldCostumeNm00001-e001,records_costumes.csv
appAW7714ROSTER-e002,tblStudents000001-e002,Active Roster,fldStudentNm00001-e002,records_students.csv
appAW7714SHOWCASE-e002,tblRoutines000001-e002,Routines,fldRoutineNm00001-e002,records_routines.csv
appAW7714SHOWCASE-e002,tblCostumes000001-e002,Showcase Costume Sizing,fldCostumeNm00001-e002,records_costumes.csv
appAW7714ROSTER-e003,tblStudents000001-e003,Active Roster,fldStudentNm00001-e003,records_students.csv
appAW7714SHOWCASE-e003,tblRoutines000001-e003,Routines,fldRoutineNm00001-e003,records_routines.csv
appAW7714SHOWCASE-e003,tblCostumes000001-e003,Showcase Costume Sizing,fldCostumeNm00001-e003,records_costumes.csv
appAW7714ROSTER-e004,tblStudents000001-e004,Active Roster,fldStudentNm00001-e004,records_students.csv
appAW7714SHOWCASE-e004,tblRoutines000001-e004,Routines,fldRoutineNm00001-e004,records_routines.csv
appAW7714SHOWCASE-e004,tblCostumes000001-e004,Showcase Costume Sizing,fldCostumeNm00001-e004,records_costumes.csv
appAW7714ROSTER-e005,tblStudents000001-e005,Active Roster,fldStudentNm00001-e005,records_students.csv
appAW7714SHOWCASE-e005,tblRoutines000001-e005,Routines,fldRoutineNm00001-e005,records_routines.csv
appAW7714SHOWCASE-e005,tblCostumes000001-e005,Showcase Costume Sizing,fldCostumeNm00001-e005,records_costumes.csv
appAW7714ROSTER-e006,tblStudents000001-e006,Active Roster,fldStudentNm00001-e006,records_students.csv
appAW7714SHOWCASE-e006,tblRoutines000001-e006,Routines,fldRoutineNm00001-e006,records_routines.csv
