catalog_object_id,location_id,quantity,state
VAR_DROPIN_R,LOC_RHYTHM,9999,IN_STOCK
VAR_PUNCH10_R,LOC_RHYTHM,9999,IN_STOCK
VAR_SESSION4W_R,LOC_RHYTHM,9999,IN_STOCK
VAR_PRIVATE60_R,LOC_RHYTHM,9999,IN_STOCK
VAR_COSTUME_COPAY_R,LOC_RHYTHM,9999,IN_STOCK
VAR_TEE_R,LOC_RHYTHM,14,IN_STOCK
VAR_HALLOWEEN_DOOR_R,LOC_RHYTHM,42,IN_STOCK
VAR_DROPIN_R-e001,LOC_RHYTHM-e001,9999,IN_STOCK
VAR_PUNCH10_R-e001,LOC_RHYTHM-e001,9999,IN_STOCK
VAR_SESSION4W_R-e001,LOC_RHYTHM-e001,9999,IN_STOCK
VAR_PRIVATE60_R-e001,LOC_RHYTHM-e001,9999,IN_STOCK
VAR_COSTUME_COPAY_R-e001,LOC_RHYTHM-e001,9999,IN_STOCK
VAR_TEE_R-e001,LOC_RHYTHM-e001,14,IN_STOCK
VAR_HALLOWEEN_DOOR_R-e001,LOC_RHYTHM-e001,42,IN_STOCK
VAR_DROPIN_R-e002,LOC_RHYTHM-e002,9999,IN_STOCK
VAR_PUNCH10_R-e002,LOC_RHYTHM-e002,9999,IN_STOCK
VAR_SESSION4W_R-e002,LOC_RHYTHM-e002,9999,IN_STOCK
VAR_PRIVATE60_R-e002,LOC_RHYTHM-e002,9999,IN_STOCK
VAR_COSTUME_COPAY_R-e002,LOC_RHYTHM-e002,9999,IN_STOCK
VAR_TEE_R-e002,LOC_RHYTHM-e002,14,IN_STOCK
VAR_HALLOWEEN_DOOR_R-e002,LOC_RHYTHM-e002,42,IN_STOCK
VAR_DROPIN_R-e003,LOC_RHYTHM-e003,9999,IN_STOCK
VAR_PUNCH10_R-e003,LOC_RHYTHM-e003,9999,IN_STOCK
VAR_SESSION4W_R-e003,LOC_RHYTHM-e003,9999,IN_STOCK
VAR_PRIVATE60_R-e003,LOC_RHYTHM-e003,9999,IN_STOCK
VAR_COSTUME_COPAY_R-e003,LOC_RHYTHM-e003,9999,IN_STOCK
VAR_TEE_R-e003,LOC_RHYTHM-e003,14,IN_STOCK
VAR_HALLOWEEN_DOOR_R-e003,LOC_RHYTHM-e003,42,IN_STOCK
VAR_DROPIN_R-e004,LOC_RHYTHM-e004,9999,IN_STOCK
VAR_PUNCH10_R-e004,LOC_RHYTHM-e004,9999,IN_STOCK
VAR_SESSION4W_R-e004,LOC_RHYTHM-e004,9999,IN_STOCK
VAR_PRIVATE60_R-e004,LOC_RHYTHM-e004,9999,IN_STOCK
VAR_COSTUME_COPAY_R-e004,LOC_RHYTHM-e004,9999,IN_STOCK
VAR_TEE_R-e004,LOC_RHYTHM-e004,14,IN_STOCK
VAR_HALLOWEEN_DOOR_R-e004,LOC_RHYTHM-e004,42,IN_STOCK
VAR_DROPIN_R-e005,LOC_RHYTHM-e005,9999,IN_STOCK
VAR_PUNCH10_R-e005,LOC_RHYTHM-e005,9999,IN_STOCK
VAR_SESSION4W_R-e005,LOC_RHYTHM-e005,9999,IN_STOCK
VAR_PRIVATE60_R-e005,LOC_RHYTHM-e005,9999,IN_STOCK
VAR_COSTUME_COPAY_R-e005,LOC_RHYTHM-e005,9999,IN_STOCK
VAR_TEE_R-e005,LOC_RHYTHM-e005,14,IN_STOCK
VAR_HALLOWEEN_DOOR_R-e005,LOC_RHYTHM-e005,42,IN_STOCK
VAR_DROPIN_R-e006,LOC_RHYTHM-e006,9999,IN_STOCK
VAR_PUNCH10_R-e006,LOC_RHYTHM-e006,9999,IN_STOCK
VAR_SESSION4W_R-e006,LOC_RHYTHM-e006,9999,IN_STOCK
VAR_PRIVATE60_R-e006,LOC_RHYTHM-e006,9999,IN_STOCK
VAR_COSTUME_COPAY_R-e006,LOC_RHYTHM-e006,9999,IN_STOCK
VAR_TEE_R-e006,LOC_RHYTHM-e006,14,IN_STOCK
VAR_HALLOWEEN_DOOR_R-e006,LOC_RHYTHM-e006,42,IN_STOCK
VAR_DROPIN_R-e007,LOC_RHYTHM-e007,9999,IN_STOCK
VAR_PUNCH10_R-e007,LOC_RHYTHM-e007,9999,IN_STOCK
VAR_SESSION4W_R-e007,LOC_RHYTHM-e007,9999,IN_STOCK
VAR_PRIVATE60_R-e007,LOC_RHYTHM-e007,9999,IN_STOCK
VAR_COSTUME_COPAY_R-e007,LOC_RHYTHM-e007,9999,IN_STOCK
VAR_TEE_R-e007,LOC_RHYTHM-e007,14,IN_STOCK
VAR_HALLOWEEN_DOOR_R-e007,LOC_RHYTHM-e007,42,IN_STOCK
VAR_DROPIN_R-e008,LOC_RHYTHM-e008,9999,IN_STOCK
VAR_PUNCH10_R-e008,LOC_RHYTHM-e008,9999,IN_STOCK
VAR_SESSION4W_R-e008,LOC_RHYTHM-e008,9999,IN_STOCK
VAR_PRIVATE60_R-e008,LOC_RHYTHM-e008,9999,IN_STOCK
VAR_COSTUME_COPAY_R-e008,LOC_RHYTHM-e008,9999,IN_STOCK
VAR_TEE_R-e008,LOC_RHYTHM-e008,14,IN_STOCK
VAR_HALLOWEEN_DOOR_R-e008,LOC_RHYTHM-e008,42,IN_STOCK
VAR_DROPIN_R-e009,LOC_RHYTHM-e009,9999,IN_STOCK
VAR_PUNCH10_R-e009,LOC_RHYTHM-e009,9999,IN_STOCK
