pair,base,currency,amount
coinbase_prices_1000,base_0,currency_0,3367
coinbase_prices_1001,base_1,currency_1,3462
coinbase_prices_1002,base_2,currency_2,4811
coinbase_prices_1003,base_3,currency_3,4340
coinbase_prices_1004,base_4,currency_4,1833
coinbase_prices_1005,base_5,currency_5,2959
coinbase_prices_1006,base_6,currency_6,1327
coinbase_prices_1007,base_7,currency_7,1044
coinbase_prices_1008,base_8,currency_8,1347
coinbase_prices_1009,base_9,currency_9,2649
coinbase_prices_1010,base_10,currency_10,818
coinbase_prices_1011,base_11,currency_11,1710
coinbase_prices_1012,base_12,currency_12,638
coinbase_prices_1013,base_13,currency_13,721
coinbase_prices_1014,base_14,currency_14,1819
coinbase_prices_1015,base_15,currency_15,324
coinbase_prices_1016,base_16,currency_16,707
coinbase_prices_1017,base_17,currency_17,349
coinbase_prices_1018,base_18,currency_18,3612
coinbase_prices_1019,base_19,currency_19,2472
coinbase_prices_1020,base_20,currency_20,4459
coinbase_prices_1021,base_21,currency_21,4096
coinbase_prices_1022,base_22,currency_22,4516
coinbase_prices_1023,base_23,currency_23,1816
coinbase_prices_1024,base_24,currency_24,4831
coinbase_prices_1025,base_25,currency_25,4281
coinbase_prices_1026,base_26,currency_26,1217
coinbase_prices_1027,base_27,currency_27,400
coinbase_prices_1028,base_28,currency_28,1445
coinbase_prices_1029,base_29,currency_29,4835
coinbase_prices_1030,base_30,currency_30,2055
coinbase_prices_1031,base_31,currency_31,4790
coinbase_prices_1032,base_32,currency_32,1180
coinbase_prices_1033,base_33,currency_33,1484
coinbase_prices_1034,base_34,currency_34,2105
coinbase_prices_1035,base_35,currency_35,3296
coinbase_prices_1036,base_36,currency_36,2328
coinbase_prices_1037,base_37,currency_37,1841
coinbase_prices_1038,base_38,currency_38,5000
coinbase_prices_1039,base_39,currency_39,619
coinbase_prices_1040,base_40,currency_40,3841
coinbase_prices_1041,base_41,currency_41,1972
coinbase_prices_1042,base_42,currency_42,173
coinbase_prices_1043,base_43,currency_43,3920
coinbase_prices_1044,base_44,currency_44,4704
coinbase_prices_1045,base_45,currency_45,4850
coinbase_prices_1046,base_46,currency_46,2108
coinbase_prices_1047,base_47,currency_47,1172
coinbase_prices_1048,base_48,currency_48,2781
coinbase_prices_1049,base_49,currency_49,3703
coinbase_prices_1050,base_50,currency_50,808
coinbase_prices_1051,base_51,currency_51,3809
coinbase_prices_1052,base_52,currency_52,4426
coinbase_prices_1053,base_53,currency_53,3646
coinbase_prices_1054,base_54,currency_54,2459
coinbase_prices_1055,base_55,currency_55,2194
coinbase_prices_1056,base_56,currency_56,2551
coinbase_prices_1057,base_57,currency_57,3450
coinbase_prices_1058,base_58,currency_58,1293
coinbase_prices_1059,base_59,currency_59,357
coinbase_prices_1060,base_60,currency_60,3641
coinbase_prices_1061,base_61,currency_61,3964
coinbase_prices_1062,base_62,currency_62,4880
coinbase_prices_1063,base_63,currency_63,158
coinbase_prices_1064,base_64,currency_64,2117
coinbase_prices_1065,base_65,currency_65,817
coinbase_prices_1066,base_66,currency_66,4895
coinbase_prices_1067,base_67,currency_67,688
coinbase_prices_1068,base_68,currency_68,3821
coinbase_prices_1069,base_69,currency_69,4925
coinbase_prices_1070,base_70,currency_70,4550
coinbase_prices_1071,base_71,currency_71,2195
coinbase_prices_1072,base_72,currency_72,1714
coinbase_prices_1073,base_73,currency_73,4153
coinbase_prices_1074,base_74,currency_74,3055
coinbase_prices_1075,base_75,currency_75,1459
coinbase_prices_1076,base_76,currency_76,4187
coinbase_prices_1077,base_77,currency_77,4350
coinbase_prices_1078,base_78,currency_78,4286
coinbase_prices_1079,base_79,currency_79,3056
coinbase_prices_1080,base_80,currency_80,582
coinbase_prices_1081,base_81,currency_81,641
coinbase_prices_1082,base_82,currency_82,3766
coinbase_prices_1083,base_83,currency_83,4807
coinbase_prices_1084,base_84,currency_84,3605
coinbase_prices_1085,base_85,currency_85,2284
coinbase_prices_1086,base_86,currency_86,1401
coinbase_prices_1087,base_87,currency_87,1125
coinbase_prices_1088,base_88,currency_88,1694
coinbase_prices_1089,base_89,currency_89,2698
coinbase_prices_1090,base_90,currency_90,3746
coinbase_prices_1091,base_91,currency_91,528
coinbase_prices_1092,base_92,currency_92,4945
coinbase_prices_1093,base_93,currency_93,2491
coinbase_prices_1094,base_94,currency_94,2328
coinbase_prices_1095,base_95,currency_95,805
coinbase_prices_1096,base_96,currency_96,534
coinbase_prices_1097,base_97,currency_97,2255
coinbase_prices_1098,base_98,currency_98,3078
coinbase_prices_1099,base_99,currency_99,4032
