week_starting,lane,corridor,expected_driver_count,known_constraints
2027-01-04,BHM-ATL,I-20,14,winter storm watch
2027-01-04,BHM-NAS-CHI,I-65,22,cold snap forecast
2027-01-04,BHM-KNX-LOU,I-75,11,icing watch north of Knoxville
2027-01-04,BHM-MEM-LR,I-40,18,cold reboot risk
2027-01-04,BHM-NAS-IND,I-65,15,cold snap forecast
2027-01-04,BHM-JAX,I-20,9,none
2027-01-11,BHM-ATL,I-20,16,none
2027-01-11,BHM-NAS-CHI,I-65,24,none
2027-01-11,BHM-KNX-LOU,I-75,12,icing watch continues
2027-01-11,BHM-MEM-LR,I-40,20,dispatch lag risk
2027-01-11,BHM-NAS-IND,I-65,17,none
2027-01-11,BHM-JAX,I-20,10,none
2027-01-18,BHM-ATL,I-20,15,none
2027-01-18,BHM-NAS-CHI,I-65,26,capacity tight
2027-01-18,BHM-KNX-LOU,I-75,14,icing watch
2027-01-18,BHM-MEM-LR,I-40,22,cold reboot risk high
2027-01-18,BHM-NAS-IND,I-65,19,capacity tight
2027-01-18,BHM-JAX,I-20,11,none
2027-01-25,BHM-ATL,I-20,17,none
2027-01-25,BHM-NAS-CHI,I-65,27,capacity tight
2027-01-25,BHM-KNX-LOU,I-75,15,icing watch continues
2027-01-25,BHM-MEM-LR,I-40,23,cold reboot risk high
2027-01-25,BHM-NAS-IND,I-65,20,capacity tight
2027-01-25,BHM-JAX,I-20,12,none
2027-02-01,BHM-ATL,I-20,16,none
2027-02-01,BHM-NAS-CHI,I-65,25,none
2027-02-01,BHM-KNX-LOU,I-75,13,icing watch ends mid-month
2027-02-01,BHM-MEM-LR,I-40,21,cold reboot risk
2027-02-01,BHM-NAS-IND,I-65,18,none
2027-02-01,BHM-JAX,I-20,10,none
2027-02-08,BHM-ATL,I-20,15,none
2027-02-08,BHM-NAS-CHI,I-65,23,none
2027-02-08,BHM-KNX-LOU,I-75,11,none
2027-02-08,BHM-MEM-LR,I-40,19,dispatch lag risk
2027-02-08,BHM-NAS-IND,I-65,17,none
2027-02-08,BHM-JAX,I-20,9,none
2027-02-15,BHM-ATL,I-20,14,none
2027-02-15,BHM-NAS-CHI,I-65,22,none
2027-02-15,BHM-KNX-LOU,I-75,10,none
2027-02-15,BHM-MEM-LR,I-40,18,dispatch lag risk
2027-02-15,BHM-NAS-IND,I-65,16,none
2027-02-15,BHM-JAX,I-20,9,none
2027-02-22,BHM-ATL,I-20,13,none
2027-02-22,BHM-NAS-CHI,I-65,20,none
2027-02-22,BHM-KNX-LOU,I-75,9,none
2027-02-22,BHM-MEM-LR,I-40,17,none
2027-02-22,BHM-NAS-IND,I-65,15,none
2027-02-22,BHM-JAX,I-20,8,none
