grant_id,recipient_org,acknowledgement_on_file,acknowledgement_date,ack_document_ref,status
NG-2026-Q3-001,Rada Barnen Stockholm,true,2026-07-22,ACK-001,ok
NG-2026-Q3-002,Stockholms Stadsmission,true,2026-07-25,ACK-002,ok
NG-2026-Q3-003,Musikhogskolan Stockholm,true,2026-07-28,ACK-003,ok
NG-2026-Q3-004,Naturskyddsforeningen,true,2026-08-01,ACK-004,ok
NG-2026-Q3-005,Stiftelsen Blomsterfonden,true,2026-08-04,ACK-005,ok
NG-2026-Q3-006,Bris,true,2026-08-07,ACK-006,ok
NG-2026-Q3-007,Uppsala Universitet Medicinska Fakulteten,true,2026-08-10,ACK-007,ok
NG-2026-Q3-008,Rada Kvinnojour,true,2026-08-13,ACK-008,ok
NG-2026-Q3-009,Stiftelsen Karolinska Institutet,true,2026-08-17,ACK-009,ok
NG-2026-Q3-010,Stockholm Konsertforening,true,2026-08-19,ACK-010,ok
NG-2026-Q3-011,Amnesty International Sverige,true,2026-08-21,ACK-011,ok
NG-2026-Q3-012,Individuell Manniskohjalp,true,2026-08-24,ACK-012,ok
NG-2026-Q3-013,Stiftelsen Radda Barnen,true,2026-08-26,ACK-013,ok
NG-2026-Q3-014,Cancerfonden,true,2026-08-29,ACK-014,ok
NG-2026-Q3-015,Barncancerfonden,true,2026-08-31,ACK-015,ok
NG-2026-Q3-016,Hjartlungfonden,true,2026-09-02,ACK-016,ok
NG-2026-Q3-017,Diabetesfonden,true,2026-09-04,ACK-017,ok
NG-2026-Q3-018,Stiftelsen Ny Skog,false,,,MISSING - flag
NG-2026-Q3-019,Save the Children Sverige,true,2026-09-08,ACK-019,ok
NG-2026-Q3-020,Svenska Kyrkans Diakoni,true,2026-09-10,ACK-020,ok
NG-2026-Q3-021,Stiftelsen Norrland Forskning,true,2026-09-12,ACK-021,ok
NG-2026-Q3-022,Goteborgs Symfoniker,true,2026-09-15,ACK-022,ok
NG-2026-Q3-023,Kungliga Operan,true,2026-09-18,ACK-023,ok
NG-2026-Q3-024,Nordkalottens Kulturstiftelse,false,,,MISSING - flag
NG-2026-Q3-025,Stiftelsen Malmo Live,true,2026-09-24,ACK-025,ok
NG-2026-Q3-026,Musikhjalpen Insamlingsstiftelse,true,2026-09-26,ACK-026,ok
NG-2026-Q3-027,Radio Hjalpen,true,2026-09-29,ACK-027,ok
NG-2026-Q3-028,Rikskomiten for Barn i Behov,true,2026-10-01,ACK-028,ok
NG-2026-Q3-029,Stiftelsen Fryshuset,true,2026-10-03,ACK-029,ok
NG-2026-Q3-030,Kvinnors Ratt Stockholm,true,2026-10-06,ACK-030,ok
NG-2026-Q3-031,Stiftelsen for Klimatforskning,true,2026-10-08,ACK-031,ok
NG-2026-Q3-032,Naturhistoriska Riksmuseet,true,2026-10-10,ACK-032,ok
NG-2026-Q3-033,Vetenskap and Allmanhet,true,2026-10-12,ACK-033,ok
NG-2026-Q3-034,Stiftelsen Konstnarernas Kollektivverkstad,true,2026-10-14,ACK-034,ok
NG-2026-Q3-035,Stiftelsen Sverige Amerika,true,2026-10-16,ACK-035,ok
