"pair","base","currency","amount"
"BTC-USD","BTC","USD","9338.87"
"BTC-EUR","BTC","EUR","8785.7"
"BTC-GBP","BTC","GBP","5878.98"
"BTC-JPY","BTC","JPY","45079.34"
"BTC-CAD","BTC","CAD","18208.46"
"BTC-AUD","BTC","AUD","44834.0"
"BTC-CHF","BTC","CHF","31571.9"
"BTC-SGD","BTC","SGD","22775.26"
"BTC-HKD","BTC","HKD","62751.18"
"BTC-KRW","BTC","KRW","36404.66"
"ETH-USD","ETH","USD","1166.05"
"ETH-EUR","ETH","EUR","48025.2"
"ETH-GBP","ETH","GBP","41771.49"
"ETH-JPY","ETH","JPY","62428.95"
"ETH-CAD","ETH","CAD","54894.54"
"ETH-AUD","ETH","AUD","11955.24"
"ETH-CHF","ETH","CHF","231.08"
"ETH-SGD","ETH","SGD","59159.78"
"ETH-HKD","ETH","HKD","36032.56"
"ETH-KRW","ETH","KRW","22345.8"
"SOL-USD","SOL","USD","53416.46"
"SOL-EUR","SOL","EUR","62341.24"
"SOL-GBP","SOL","GBP","35542.13"
"SOL-JPY","SOL","JPY","56067.41"
"SOL-CAD","SOL","CAD","32220.51"
"SOL-AUD","SOL","AUD","54704.64"
"SOL-CHF","SOL","CHF","22895.62"
"SOL-SGD","SOL","SGD","15867.17"
"SOL-HKD","SOL","HKD","41178.55"
"SOL-KRW","SOL","KRW","17128.81"
"DOGE-USD","DOGE","USD","26414.39"
"DOGE-EUR","DOGE","EUR","67660.38"
"DOGE-GBP","DOGE","GBP","23563.91"
"DOGE-JPY","DOGE","JPY","52028.46"
"DOGE-CAD","DOGE","CAD","49614.17"
"DOGE-AUD","DOGE","AUD","6108.25"
"DOGE-CHF","DOGE","CHF","6908.84"
"DOGE-SGD","DOGE","SGD","24491.36"
"DOGE-HKD","DOGE","HKD","48491.45"
"DOGE-KRW","DOGE","KRW","28523.04"
"ADA-USD","ADA","USD","21484.85"
"ADA-EUR","ADA","EUR","40115.78"
"ADA-GBP","ADA","GBP","56022.23"
"ADA-JPY","ADA","JPY","6536.78"
"ADA-CAD","ADA","CAD","22221.92"
"ADA-AUD","ADA","AUD","63806.32"
"ADA-CHF","ADA","CHF","23836.66"
"ADA-SGD","ADA","SGD","14292.08"
"ADA-HKD","ADA","HKD","53415.93"
"ADA-KRW","ADA","KRW","55063.16"
"XRP-USD","XRP","USD","37935.7"
"XRP-EUR","XRP","EUR","47117.17"
"XRP-GBP","XRP","GBP","19322.0"
"XRP-JPY","XRP","JPY","65641.03"
"XRP-CAD","XRP","CAD","63644.35"
"XRP-AUD","XRP","AUD","9688.62"
"XRP-CHF","XRP","CHF","50624.15"
"XRP-SGD","XRP","SGD","8901.4"
"XRP-HKD","XRP","HKD","27536.39"
"XRP-KRW","XRP","KRW","21564.63"
"DOT-USD","DOT","USD","26393.25"
"DOT-EUR","DOT","EUR","23591.75"
"DOT-GBP","DOT","GBP","61546.44"
"DOT-JPY","DOT","JPY","12590.04"
"DOT-CAD","DOT","CAD","44869.91"
"DOT-AUD","DOT","AUD","69844.86"
"DOT-CHF","DOT","CHF","23896.13"
"DOT-SGD","DOT","SGD","29853.19"
"DOT-HKD","DOT","HKD","37984.86"
"DOT-KRW","DOT","KRW","43269.81"
"AVAX-USD","AVAX","USD","47226.27"
"AVAX-EUR","AVAX","EUR","12575.22"
"AVAX-GBP","AVAX","GBP","55143.63"
"AVAX-JPY","AVAX","JPY","10578.69"
"AVAX-CAD","AVAX","CAD","6453.26"
"AVAX-AUD","AVAX","AUD","57592.47"
"AVAX-CHF","AVAX","CHF","23082.25"
