"date","impressions","saves","pin_clicks","outbound_clicks","profile_visits","follows"
"2024-01-01","27015","78","3243","91","330","87"
"2024-01-02","15493","267","3025","1839","363","89"
"2024-01-03","35984","266","2820","1180","603","25"
"2024-01-04","48612","471","4386","1169","776","15"
"2024-01-05","14900","486","2243","976","470","175"
"2024-01-06","17018","150","4778","725","804","142"
"2024-01-07","22413","118","909","263","771","17"
"2024-01-08","15121","458","497","1658","545","53"
"2024-01-09","9995","387","721","1851","190","26"
"2024-01-10","28469","61","3756","869","142","91"
"2024-01-11","6495","398","4757","943","211","173"
"2024-01-12","7047","337","296","313","812","163"
"2024-01-13","43901","317","4287","1312","834","63"
"2024-01-14","14818","58","1225","905","333","36"
"2024-01-15","43295","266","832","13","56","113"
"2024-01-16","19075","420","4526","1133","676","167"
"2024-01-17","35786","255","668","1852","9","91"
"2024-01-18","17261","277","2439","85","280","200"
"2024-01-19","16618","456","4605","1810","54","14"
"2024-01-20","36005","487","3167","847","420","84"
"2024-01-21","34517","498","682","654","868","53"
"2024-01-22","41272","137","3146","328","149","61"
"2024-01-23","16287","488","1777","798","282","198"
"2024-01-24","28641","303","2913","557","581","174"
"2024-01-25","20875","230","2996","1434","954","144"
"2024-01-26","9907","17","3021","625","535","142"
"2024-01-27","34843","195","471","967","923","54"
"2024-01-28","10348","198","3845","1241","89","104"
"2024-01-29","12606","348","516","1789","492","122"
"2024-01-30","11354","222","1103","756","190","53"
"2024-01-31","8976","30","4981","1265","666","103"
"2024-02-01","27886","84","3753","1837","908","34"
"2024-02-02","22785","414","324","1007","11","17"
"2024-02-03","9366","405","355","35","873","140"
"2024-02-04","19129","33","3946","758","959","132"
"2024-02-05","34040","92","1117","308","490","32"
"2024-02-06","45017","169","4249","667","606","157"
"2024-02-07","15168","461","568","1023","526","85"
"2024-02-08","33599","251","4187","1694","677","123"
"2024-02-09","13951","149","485","729","238","138"
"2024-02-10","26448","476","3977","1430","413","112"
"2024-02-11","30359","475","149","1394","192","123"
"2024-02-12","41754","428","1604","915","579","103"
"2024-02-13","31664","431","1209","1147","850","10"
"2024-02-14","13797","219","3681","1814","125","181"
"2024-02-15","38185","483","4774","1190","256","175"
"2024-02-16","26986","389","3074","1701","33","22"
"2024-02-17","12709","108","2806","999","538","37"
"2024-02-18","11926","110","2276","1845","626","189"
"2024-02-19","30709","488","349","1903","555","56"
"2024-02-20","20559","34","3611","320","385","36"
"2024-02-21","41423","198","1947","821","319","79"
"2024-02-22","5299","148","4463","1758","485","125"
"2024-02-23","29347","487","2452","703","583","187"
"2024-02-24","37606","151","1044","1036","549","58"
"2024-02-25","25342","273","93","1119","594","134"
"2024-02-26","34842","478","556","1210","778","49"
"2024-02-27","11391","20","3645","1235","399","72"
"2024-02-28","19661","380","4365","1577","888","16"
"2024-02-29","31682","435","2960","1957","846","90"
"2024-03-01","8992","427","2799","1719","726","58"
"2024-03-02","39869","43","1544","1574","987","89"
"2024-03-03","21572","80","2679","67","922","7"
"2024-03-04","13112","36","4507","1189","705","119"
"2024-03-05","13633","385","3946","1789","419","12"
"2024-03-06","43894","99","3903","1982","530","121"
"2024-03-07","4176","498","1679","1978","884","63"
"2024-03-08","9232","462","980","1726","659","86"
"2024-03-09","33327","405","1765","1298","413","53"
"2024-03-10","3102","110","1078","1056","844","88"
"2024-03-11","34891","386","3565","963","277","57"
"2024-03-12","41735","206","234","607","515","175"
"2024-03-13","41090","281","4315","490","247","100"
"2024-03-14","9507","386","4543","1414","664","29"
"2024-03-15","29255","384","2643","23","443","10"
"2024-03-16","45565","312","2454","1472","993","118"
"2024-03-17","4766","283","4236","1068","13","172"
"2024-03-18","44318","209","2879","157","866","59"
"2024-03-19","6022","309","1047","1824","787","70"
"2024-03-20","11206","299","3379","927","205","199"
"2024-03-21","1523","238","2121","810","819","140"
"2024-03-22","48178","209","1723","1113","998","96"
"2024-03-23","19930","209","677","134","919","190"
"2024-03-24","30367","290","860","361","462","116"
"2024-03-25","39908","141","1052","974","434","83"
"2024-03-26","21466","498","4247","1836","625","141"
"2024-03-27","33847","76","1854","1836","613","16"
"2024-03-28","27324","377","1237","998","35","75"
"2024-03-29","41453","61","2382","1966","656","30"
"2024-03-30","34695","488","3024","862","867","32"
"2024-03-31","16068","131","1740","1099","861","172"
"2024-04-01","16008","66","3338","1031","183","148"
"2024-04-02","3572","27","1972","936","143","174"
"2024-04-03","20605","338","4074","1787","60","189"
"2024-04-04","43886","309","2132","253","742","156"
"2024-04-05","23946","54","1652","117","500","76"
"2024-04-06","21943","197","1255","1931","613","8"
"2024-04-07","42103","14","1672","728","628","43"
"2024-04-08","42450","20","3053","1870","489","165"
"2024-04-09","2734","446","4584","412","595","174"
"2024-04-10","9114","433","1321","861","247","185"
"2024-04-11","643","491","1735","120","508","129"
"2024-04-12","49874","129","4121","145","860","164"
"2024-04-13","27334","412","2181","312","744","155"
"2024-04-14","18550","409","3349","216","150","161"
"2024-04-15","23628","340","4051","1259","899","137"
"2024-04-16","43989","348","1056","1739","711","42"
"2024-04-17","12874","107","1011","1412","431","7"
"2024-04-18","13553","36","4468","1470","626","153"
"2024-04-19","12623","357","3095","834","246","173"
"2024-04-20","5731","54","2441","1863","22","43"
"2024-04-21","48138","58","2914","439","51","130"
"2024-04-22","1466","423","2366","123","164","117"
"2024-04-23","27551","46","3873","1836","500","139"
"2024-04-24","7142","96","4250","1217","255","62"
"2024-04-25","9155","122","2308","1929","382","65"
"2024-04-26","9513","348","1245","1562","750","52"
"2024-04-27","44363","347","748","1541","488","174"
"2024-04-28","33226","274","949","1905","397","45"
"2024-04-29","7825","383","2296","1962","163","121"
"2024-04-30","27707","195","3587","703","448","5"
"2024-05-01","31809","227","1285","148","705","65"
"2024-05-02","8409","219","1840","1781","320","14"
"2024-05-03","44957","81","575","591","191","21"
"2024-05-04","1995","203","1035","259","872","67"
"2024-05-05","5039","33","3242","1972","289","82"
"2024-05-06","22612","496","4173","391","6","6"
"2024-05-07","45254","303","2136","1559","65","177"
"2024-05-08","8829","412","2265","529","367","31"
"2024-05-09","25097","59","4936","639","833","104"
"2024-05-10","22298","136","3857","15","639","38"
"2024-05-11","14773","391","4240","1379","482","155"
"2024-05-12","34462","430","1971","1656","971","46"
"2024-05-13","41474","124","1438","1551","753","62"
"2024-05-14","47148","204","3663","910","859","6"
"2024-05-15","39660","292","4705","1688","379","52"
"2024-05-16","20039","85","2950","1429","792","16"
"2024-05-17","33022","40","1047","403","829","181"
"2024-05-18","21261","266","4420","1758","93","173"
"2024-05-19","10793","71","3108","776","943","194"
"2024-05-20","23444","78","2213","1155","590","158"
"2024-05-21","16864","450","61","1802","769","129"
"2024-05-22","31467","73","1721","36","777","26"
"2024-05-23","26992","56","4602","1080","980","6"
"2024-05-24","20731","404","613","222","719","46"
"2024-05-25","4792","348","1119","798","125","12"
"2024-05-26","39182","353","87","880","706","30"
"2024-05-27","3680","372","1170","1495","585","199"
"2024-05-28","26051","251","2241","1935","428","180"
"2024-05-29","39440","250","3645","1057","25","49"
