"date","requests","delivered","opens","unique_opens","clicks","unique_clicks","bounces","spam_reports","unsubscribes"
"2026-10-09","105","150","22","68","12","9","1","0","0"
"2026-10-08","199","133","25","65","17","25","3","0","0"
"2026-10-07","176","154","21","58","16","3","4","0","0"
"2026-10-06","56","54","63","21","26","22","0","0","0"
"2026-10-05","190","100","25","68","25","22","1","0","0"
"2026-10-04","142","57","95","79","6","14","2","0","0"
"2026-10-03","160","120","59","24","23","21","5","0","0"
"2026-10-02","123","62","36","48","11","16","0","0","0"
"2026-10-01","150","57","67","16","27","8","4","0","0"
"2026-09-30","199","55","76","66","7","21","0","0","0"
"2026-09-29","179","73","59","41","18","18","4","0","0"
"2026-09-28","117","48","50","32","7","17","3","0","0"
"2026-09-27","121","189","31","30","29","18","3","0","0"
"2026-09-26","162","130","67","17","27","24","0","0","0"
"2026-09-25","121","93","83","58","25","9","5","0","0"
"2026-09-24","76","130","77","60","25","24","1","0","0"
"2026-09-23","95","127","26","46","22","15","0","0","0"
"2026-09-22","100","194","27","42","18","18","2","0","0"
"2026-09-21","192","154","76","61","17","18","2","0","0"
"2026-09-20","102","128","29","55","12","11","5","0","0"
"2026-09-19","176","117","45","32","20","3","4","0","0"
"2026-09-18","76","88","27","73","22","4","5","0","0"
"2026-09-17","56","98","83","26","5","6","0","0","0"
"2026-09-16","113","81","20","79","9","10","2","0","0"
"2026-09-15","74","148","21","18","23","17","2","0","0"
"2026-09-14","175","178","88","60","8","15","3","0","0"
"2026-09-13","71","189","22","78","17","11","2","0","0"
"2026-09-12","118","57","55","43","30","21","2","0","0"
"2026-09-11","152","64","75","33","9","25","1","0","0"
"2026-09-10","169","158","36","70","8","3","2","0","0"
"2026-09-09","118","54","41","63","5","8","4","0","0"
"2026-09-08","127","150","65","57","23","7","0","0","0"
"2026-09-07","185","195","60","64","22","19","3","0","0"
"2026-09-06","114","192","47","39","26","21","3","0","0"
"2026-09-05","120","135","44","23","22","4","1","0","0"
"2026-09-04","109","183","57","71","18","5","5","0","0"
"2026-09-03","127","122","52","43","28","25","1","0","0"
"2026-09-02","162","104","68","19","24","4","4","0","0"
"2026-09-01","134","157","63","43","29","17","4","0","0"
"2026-08-31","128","158","70","42","8","19","5","0","0"
"2026-08-30","105","110","43","17","5","8","2","0","0"
"2026-08-29","92","169","88","58","10","9","2","0","0"
"2026-08-28","152","65","60","23","30","8","0","0","0"
"2026-08-27","159","170","71","15","21","22","3","0","0"
"2026-08-26","61","67","22","63","18","13","4","0","0"
"2026-08-25","164","173","40","54","9","14","3","0","0"
"2026-08-24","142","186","36","42","22","13","2","0","0"
"2026-08-23","60","121","57","58","5","25","1","0","0"
"2026-08-22","197","185","71","39","21","9","5","0","0"
"2026-08-21","114","141","69","17","21","6","2","0","0"
"2026-08-20","125","180","70","20","9","22","5","0","0"
"2026-08-19","153","129","48","38","26","20","5","0","0"
"2026-08-18","107","64","64","40","5","18","0","0","0"
"2026-08-17","169","71","99","20","30","12","5","0","0"
"2026-08-16","184","172","86","69","5","5","2","0","0"
"2026-08-15","65","176","48","45","13","13","0","0","0"
"2026-08-14","95","180","39","47","16","11","0","0","0"
"2026-08-13","180","98","45","78","22","19","0","0","0"
"2026-08-12","127","170","59","33","16","3","3","0","0"
"2026-08-11","128","101","87","32","6","9","4","0","0"
"2026-08-10","141","60","27","71","21","16","3","0","0"
"2026-08-09","164","130","62","15","6","13","1","0","0"
"2026-08-08","131","168","100","64","27","4","5","0","0"
"2026-08-07","106","145","77","41","11","15","0","0","0"
"2026-08-06","118","91","52","75","13","5","2","0","0"
"2026-08-05","73","156","48","34","24","13","3","0","0"
"2026-08-04","156","61","55","80","29","25","1","0","0"
"2026-08-03","117","106","73","53","22","13","0","0","0"
"2026-08-02","163","180","40","72","26","14","5","0","0"
"2026-08-01","176","166","45","22","29","15","0","0","0"
"2026-07-31","116","145","23","25","20","24","2","0","0"
"2026-07-30","72","141","59","18","28","4","0","0","0"
"2026-07-29","200","84","61","67","26","19","1","0","0"
"2026-07-28","134","154","36","72","21","10","5","0","0"
"2026-07-27","192","166","81","76","17","13","2","0","0"
"2026-07-26","50","79","48","53","20","6","2","0","0"
"2026-07-25","138","74","44","72","13","24","0","0","0"
"2026-07-24","82","181","40","68","16","23","3","0","0"
"2026-07-23","137","91","92","43","26","15","3","0","0"
"2026-07-22","142","144","42","73","16","11","2","0","0"
"2026-07-21","116","48","49","54","23","23","4","0","0"
"2026-07-20","196","108","97","72","16","22","2","0","0"
"2026-07-19","134","105","71","53","25","8","1","0","0"
"2026-07-18","62","193","53","71","6","13","2","0","0"
"2026-07-17","116","171","70","60","21","25","5","0","0"
"2026-07-16","101","47","28","74","17","25","4","0","0"
"2026-07-15","92","159","27","49","12","19","4","0","0"
"2026-07-14","134","82","86","72","7","14","5","0","0"
"2026-07-13","182","104","54","49","12","3","1","0","0"
"2026-07-12","199","164","50","55","14","11","1","0","0"
"2026-04-02","161","277","130","53","66","47","6","5","2"
"2026-04-03","199","101","106","94","24","52","7","1","0"
"2026-04-04","279","479","58","72","39","76","1","2","0"
"2026-04-05","250","338","187","136","33","13","2","5","1"
"2026-04-06","206","236","170","18","21","54","3","3","3"
"2026-04-07","172","263","57","74","65","58","4","0","3"
"2026-04-08","420","441","115","117","60","3","10","2","3"
"2026-04-09","279","305","64","38","24","80","2","5","0"
"2026-04-10","83","359","197","32","16","40","6","5","3"
"2026-04-11","118","376","142","139","2","34","2","3","2"
"2026-04-12","429","342","71","109","3","52","10","2","1"
"2026-04-13","248","191","55","124","20","55","6","2","0"
"2026-04-14","77","157","143","131","84","69","3","5","2"
"2026-04-15","326","58","156","99","84","20","5","2","0"
"2026-04-16","171","307","104","25","63","4","3","5","0"
"2026-04-17","347","231","101","130","26","38","6","2","1"
"2026-04-18","490","422","69","117","99","27","7","0","1"
"2026-04-19","380","172","36","94","57","19","6","3","1"
"2026-04-20","122","436","106","25","53","34","3","1","2"
"2026-04-21","175","57","47","25","53","17","2","3","3"
"2026-04-22","193","67","119","25","53","46","0","4","3"
"2026-04-23","297","407","82","101","24","56","8","5","1"
"2026-04-24","464","75","61","15","4","21","8","0","3"
"2026-04-25","275","99","44","81","61","31","1","1","1"
"2026-04-26","293","241","122","93","100","20","10","3","2"
"2026-04-27","322","136","168","112","71","62","6","2","3"
"2026-04-28","392","78","12","59","24","30","8","3","1"
"2026-04-29","260","222","30","36","2","8","7","4","3"
"2026-04-30","231","328","48","34","19","15","6","5","3"
"2026-05-01","425","365","112","5","71","60","4","0","1"
