id,name,country,state,lat,lon,timezone
2911315,Husum,DE,SH,54.48,9.05,3600
1001,Orbit coral 2,791,pending,53.7731,6.2977,1001
1002,Pine tidal 3,433,open,52.7466,11.6123,1002
1003,Alpha summit 4,811,pending,51.9155,12.4697,1003
1004,Frost jade 5,860,active,48.7215,9.7078,1004
1005,Umber frost 6,107,closed,54.3670,11.1600,1005
1006,Grove orbit 7,229,open,48.6991,6.3150,1006
1007,Jade iris 8,440,standard,50.6949,13.2886,1007
1008,Orbit meadow 9,186,active,53.3155,12.1387,1008
1009,Zephyr iris 10,253,open,49.5956,13.1525,1009
1010,Umber iris 11,406,standard,50.0785,7.0919,1010
1011,Alpha meadow 12,467,standard,53.9308,6.6756,1011
1012,Quartz frost 13,785,closed,51.1124,13.7032,1012
1013,Violet meadow 14,161,closed,54.4740,10.6512,1013
1014,Bravo haze 15,91,general,47.1808,8.8987,1014
1015,Cedar quartz 16,495,open,50.2602,9.4818,1015
1016,Grove harbor 17,814,active,50.4624,6.5761,1016
1017,Iris alpha 18,218,active,53.2946,7.3523,1017
1018,Iris cedar 19,77,open,51.4553,6.2356,1018
1019,Harbor quartz 20,673,standard,54.6675,11.1654,1019
1020,Jade quartz 21,119,active,48.3065,10.9546,1020
1021,River jade 22,743,pending,49.4023,12.4061,1021
1022,Iris coral 23,722,standard,49.1615,6.4653,1022
1023,Cedar delta 24,558,active,49.0293,6.6488,1023
1024,Ember iris 25,818,closed,47.8893,8.2437,1024
1025,Umber zephyr 26,689,closed,48.0963,12.9697,1025
1026,Pine frost 27,379,open,48.2216,11.6094,1026
1027,Bravo zephyr 28,496,pending,53.0308,12.5087,1027
1028,Iris meadow 29,528,standard,47.3130,14.5113,1028
1029,Jade iris 30,285,active,53.2017,14.5318,1029
1030,Violet summit 31,143,closed,54.8080,12.7947,1030
1031,Violet bravo 32,560,standard,49.6106,11.2685,1031
1032,Pine willow 33,134,active,47.6584,11.2713,1032
1033,Harbor coral 34,797,standard,51.5160,12.0685,1033
1034,Zephyr alpha 35,167,standard,51.1753,10.3550,1034
1035,Quartz iris 36,718,standard,54.8475,8.0624,1035
1036,Frost haze 37,194,standard,54.7522,6.9504,1036
1037,Bravo delta 38,851,open,54.3744,13.0064,1037
1038,Tidal bravo 39,799,active,48.3320,9.0746,1038
1039,Orbit violet 40,471,open,54.0879,12.7629,1039
1040,Delta orbit 41,446,standard,49.2480,8.3871,1040
1041,Alpha zephyr 42,60,open,47.0397,11.3395,1041
1042,Summit tidal 43,644,open,53.8789,13.7479,1042
1043,Harbor umber 44,399,closed,53.4576,10.7331,1043
1044,Kelp harbor 45,27,standard,52.8005,14.7607,1044
1045,Quartz haze 46,810,general,52.2953,6.1948,1045
1046,Iris violet 47,440,closed,52.9078,10.8615,1046
1047,Iris kelp 48,183,standard,49.4312,10.8281,1047
1048,Coral orbit 49,527,standard,49.0010,11.2469,1048
1049,Jade frost 50,45,general,51.8218,9.4500,1049
1050,Coral willow 51,315,pending,47.9855,14.1480,1050
1051,Zephyr tidal 52,747,pending,48.9830,6.4780,1051
1052,Violet haze 53,105,general,52.9521,8.5799,1052
1053,Haze frost 54,306,open,48.2065,6.6482,1053
1054,Zephyr harbor 55,514,standard,50.1298,14.6365,1054
1055,Delta frost 56,568,standard,52.4730,14.2710,1055
1056,Bravo ember 57,887,standard,53.7679,10.8239,1056
1057,Meadow river 58,9,closed,47.4102,10.6145,1057
1058,Tidal coral 59,134,general,47.3079,8.5015,1058
1059,Coral alpha 60,872,pending,50.2061,7.5926,1059
1060,Umber tidal 61,276,standard,47.9292,10.3604,1060
1061,Kelp umber 62,813,pending,54.4845,11.1512,1061
1062,Pine jade 63,807,active,49.4987,6.4239,1062
1063,Iris kelp 64,192,open,47.3711,13.2467,1063
1064,Cedar iris 65,307,standard,51.0964,13.2063,1064
1065,River harbor 66,590,pending,50.5619,8.1023,1065
1066,Willow orbit 67,15,standard,48.6260,7.8471,1066
1067,Willow tidal 68,207,general,47.7628,6.6884,1067
1068,Summit umber 69,57,closed,48.3153,10.9186,1068
1069,Bravo quartz 70,386,closed,48.6025,10.7547,1069
1070,Coral umber 71,706,general,49.2324,6.9933,1070
1071,Bravo willow 72,565,open,47.1707,7.1243,1071
1072,Ember willow 73,890,closed,51.4049,12.8116,1072
1073,Haze coral 74,664,pending,54.7903,8.0976,1073
1074,Pine willow 75,154,pending,48.8003,12.4912,1074
1075,Summit cedar 76,882,closed,49.4554,9.4279,1075
1076,Umber violet 77,158,closed,49.1332,11.1941,1076
1077,Jade jade 78,727,general,54.2448,6.2522,1077
1078,Quartz harbor 79,59,active,51.4020,13.1649,1078
1079,Summit umber 80,850,open,48.2426,12.4987,1079
1080,Coral harbor 81,588,standard,54.9401,14.2348,1080
1081,Frost summit 82,318,general,50.2322,8.8694,1081
1082,Meadow grove 83,42,open,51.1245,14.6838,1082
1083,Iris quartz 84,203,general,48.2826,8.8649,1083
1084,River violet 85,730,general,52.7938,10.1681,1084
1085,Summit summit 86,774,standard,48.2863,9.9825,1085
1086,Delta haze 87,848,open,49.9523,8.9112,1086
1087,Meadow bravo 88,425,pending,53.2434,6.1804,1087
1088,Haze iris 89,179,pending,51.0647,13.5580,1088
1089,Kelp umber 90,833,general,54.0647,6.0286,1089
1090,Haze willow 91,354,open,49.7647,9.6023,1090
1091,Pine willow 92,378,general,52.0939,12.2051,1091
1092,Zephyr frost 93,415,pending,50.6399,9.7518,1092
1093,River haze 94,407,active,53.3854,13.6546,1093
1094,Ember harbor 95,40,open,49.9319,14.2133,1094
1095,Umber meadow 96,560,standard,50.3624,9.4636,1095
1096,River delta 97,90,standard,49.1490,6.6999,1096
1097,Pine tidal 98,94,active,49.6043,6.1902,1097
1098,Willow haze 99,692,open,49.2404,13.6754,1098
1099,Tidal frost 100,106,closed,49.5092,8.2445,1099
