snapshot_id,week_start,vendor_id,vendor_name,grade,deliveries_scheduled,deliveries_on_time,stockout_events,quality_pass_rate,invoice_accuracy,avg_lead_time_hours,notes
HS-0001,2026-07-06,LK-01,Lakeside Fuel,regular_87,2,2,0,0.987,0.980,48.4,
HS-0002,2026-07-13,LK-01,Lakeside Fuel,regular_87,2,2,0,0.981,0.964,54.3,
HS-0003,2026-07-20,LK-01,Lakeside Fuel,regular_87,3,3,0,0.982,0.971,63.3,
HS-0004,2026-07-27,LK-01,Lakeside Fuel,regular_87,2,2,0,0.961,0.976,61.7,
HS-0005,2026-08-03,LK-01,Lakeside Fuel,regular_87,3,2,1,0.970,0.962,48.8,STOCKOUT: regular_87 not delivered; escalated to Sam
HS-0006,2026-08-10,LK-01,Lakeside Fuel,regular_87,2,1,0,0.972,0.963,45.7,
HS-0007,2026-08-17,LK-01,Lakeside Fuel,regular_87,2,2,0,0.960,0.971,63.3,
HS-0008,2026-08-24,LK-01,Lakeside Fuel,regular_87,2,2,0,0.986,0.989,50.5,
HS-0009,2026-08-31,LK-01,Lakeside Fuel,regular_87,2,2,0,0.984,0.989,61.5,
HS-0010,2026-09-07,LK-01,Lakeside Fuel,regular_87,2,1,1,0.964,0.957,53.9,STOCKOUT: regular_87 not delivered; escalated to Sam
HS-0011,2026-09-14,LK-01,Lakeside Fuel,regular_87,3,3,0,0.980,0.943,45.2,
HS-0012,2026-09-21,LK-01,Lakeside Fuel,regular_87,3,3,0,0.967,0.985,47.5,
HS-0013,2026-09-28,LK-01,Lakeside Fuel,regular_87,3,3,0,0.990,0.967,67.2,
HS-0014,2026-07-06,LK-01,Lakeside Fuel,mid_89,1,1,0,0.987,0.945,60.1,
HS-0015,2026-07-13,LK-01,Lakeside Fuel,mid_89,0,0,0,0.964,0.982,54.8,
HS-0016,2026-07-20,LK-01,Lakeside Fuel,mid_89,1,1,0,0.961,0.950,45.2,
HS-0017,2026-07-27,LK-01,Lakeside Fuel,mid_89,1,0,0,0.988,0.971,67.6,
HS-0018,2026-08-03,LK-01,Lakeside Fuel,mid_89,1,1,0,0.950,0.943,52.5,
HS-0019,2026-08-10,LK-01,Lakeside Fuel,mid_89,2,2,0,0.963,0.989,43.8,
HS-0020,2026-08-17,LK-01,Lakeside Fuel,mid_89,1,1,0,0.965,0.950,54.8,
HS-0021,2026-08-24,LK-01,Lakeside Fuel,mid_89,0,0,0,0.958,0.968,65.5,
HS-0022,2026-08-31,LK-01,Lakeside Fuel,mid_89,1,1,0,0.966,0.981,55.7,
HS-0023,2026-09-07,LK-01,Lakeside Fuel,mid_89,1,1,0,0.963,0.959,49.1,
HS-0024,2026-09-14,LK-01,Lakeside Fuel,mid_89,1,1,0,0.976,0.962,52.0,
HS-0025,2026-09-21,LK-01,Lakeside Fuel,mid_89,1,1,0,0.952,0.986,65.6,
HS-0026,2026-09-28,LK-01,Lakeside Fuel,mid_89,1,1,0,0.976,0.949,62.6,
HS-0027,2026-07-06,LK-01,Lakeside Fuel,premium_93,1,0,0,0.978,0.946,65.9,
HS-0028,2026-07-13,LK-01,Lakeside Fuel,premium_93,1,0,0,0.951,0.992,63.8,
HS-0029,2026-07-20,LK-01,Lakeside Fuel,premium_93,2,2,0,0.955,0.951,43.4,
HS-0030,2026-07-27,LK-01,Lakeside Fuel,premium_93,1,1,0,0.981,0.982,46.4,
HS-0031,2026-08-03,LK-01,Lakeside Fuel,premium_93,1,0,0,0.981,0.944,56.4,
HS-0032,2026-08-10,LK-01,Lakeside Fuel,premium_93,2,2,0,0.964,0.986,67.4,
HS-0033,2026-08-17,LK-01,Lakeside Fuel,premium_93,0,0,0,0.977,0.947,67.3,
HS-0034,2026-08-24,LK-01,Lakeside Fuel,premium_93,1,1,0,0.982,0.987,50.3,
HS-0035,2026-08-31,LK-01,Lakeside Fuel,premium_93,2,2,0,0.977,0.942,67.2,
HS-0036,2026-09-07,LK-01,Lakeside Fuel,premium_93,1,1,0,0.974,0.973,67.5,
HS-0037,2026-09-14,LK-01,Lakeside Fuel,premium_93,1,1,0,0.976,0.958,45.0,
HS-0038,2026-09-21,LK-01,Lakeside Fuel,premium_93,2,2,0,0.985,0.993,64.4,
HS-0039,2026-09-28,LK-01,Lakeside Fuel,premium_93,1,1,0,0.986,0.953,50.6,
HS-0040,2026-07-06,LK-01,Lakeside Fuel,diesel,0,0,0,0.987,0.955,61.5,
HS-0041,2026-07-13,LK-01,Lakeside Fuel,diesel,1,1,0,0.983,0.969,60.2,
HS-0042,2026-07-20,LK-01,Lakeside Fuel,diesel,1,1,0,0.955,0.968,63.3,
HS-0043,2026-07-27,LK-01,Lakeside Fuel,diesel,1,1,0,0.960,0.950,54.2,
HS-0044,2026-08-03,LK-01,Lakeside Fuel,diesel,1,1,0,0.952,0.965,51.5,
HS-0045,2026-08-10,LK-01,Lakeside Fuel,diesel,1,0,0,0.956,0.960,59.5,
HS-0046,2026-08-17,LK-01,Lakeside Fuel,diesel,2,2,0,0.989,0.942,56.6,
HS-0047,2026-08-24,LK-01,Lakeside Fuel,diesel,0,0,0,0.962,0.977,43.6,
HS-0048,2026-08-31,LK-01,Lakeside Fuel,diesel,1,1,0,0.970,0.995,55.5,
HS-0049,2026-09-07,LK-01,Lakeside Fuel,diesel,1,0,0,0.959,0.993,46.9,
HS-0050,2026-09-14,LK-01,Lakeside Fuel,diesel,2,2,0,0.962,0.993,65.3,
HS-0051,2026-09-21,LK-01,Lakeside Fuel,diesel,1,1,0,0.984,0.972,65.9,
HS-0052,2026-09-28,LK-01,Lakeside Fuel,diesel,1,1,0,0.987,0.992,65.8,
HS-0053,2026-07-06,LK-01,Lakeside Fuel,ethanol_e85,0,0,0,0.978,0.977,66.8,
HS-0054,2026-07-13,LK-01,Lakeside Fuel,ethanol_e85,2,2,0,0.959,0.951,60.2,
HS-0055,2026-07-20,LK-01,Lakeside Fuel,ethanol_e85,2,1,0,0.984,0.986,65.2,
HS-0056,2026-07-27,LK-01,Lakeside Fuel,ethanol_e85,1,1,0,0.961,0.952,50.0,
HS-0057,2026-08-03,LK-01,Lakeside Fuel,ethanol_e85,1,1,0,0.975,0.975,64.4,
HS-0058,2026-08-10,LK-01,Lakeside Fuel,ethanol_e85,1,1,0,0.978,0.975,47.9,
HS-0059,2026-08-17,LK-01,Lakeside Fuel,ethanol_e85,1,1,0,0.984,0.981,43.0,
HS-0060,2026-08-24,LK-01,Lakeside Fuel,ethanol_e85,0,0,0,0.962,0.965,49.2,
HS-0061,2026-08-31,LK-01,Lakeside Fuel,ethanol_e85,2,2,0,0.983,0.978,51.3,
HS-0062,2026-09-07,LK-01,Lakeside Fuel,ethanol_e85,1,1,0,0.985,0.960,52.5,
HS-0063,2026-09-14,LK-01,Lakeside Fuel,ethanol_e85,0,0,0,0.965,0.978,44.3,
HS-0064,2026-09-21,LK-01,Lakeside Fuel,ethanol_e85,1,1,0,0.978,0.952,45.2,
HS-0065,2026-09-28,LK-01,Lakeside Fuel,ethanol_e85,1,1,0,0.980,0.960,51.0,
HS-0066,2026-07-06,MP-01,Michigan Petroleum,regular_87,2,2,0,0.990,0.981,46.8,
HS-0067,2026-07-13,MP-01,Michigan Petroleum,regular_87,2,2,0,0.959,0.986,61.4,
HS-0068,2026-07-20,MP-01,Michigan Petroleum,regular_87,3,3,0,0.988,0.992,49.4,
HS-0069,2026-07-27,MP-01,Michigan Petroleum,regular_87,3,3,0,0.962,0.981,49.5,
HS-0070,2026-08-03,MP-01,Michigan Petroleum,regular_87,3,3,0,0.965,0.973,51.9,
HS-0071,2026-08-10,MP-01,Michigan Petroleum,regular_87,3,3,0,0.953,0.994,62.8,
HS-0072,2026-08-17,MP-01,Michigan Petroleum,regular_87,3,3,0,0.990,0.972,46.5,
HS-0073,2026-08-24,MP-01,Michigan Petroleum,regular_87,2,2,0,0.965,0.983,39.4,
HS-0074,2026-08-31,MP-01,Michigan Petroleum,regular_87,2,2,0,0.976,0.985,48.0,
HS-0075,2026-09-07,MP-01,Michigan Petroleum,regular_87,3,3,0,0.990,0.971,48.8,
HS-0076,2026-09-14,MP-01,Michigan Petroleum,regular_87,3,3,0,0.963,0.977,49.0,
HS-0077,2026-09-21,MP-01,Michigan Petroleum,regular_87,3,3,0,0.987,0.985,59.8,
HS-0078,2026-09-28,MP-01,Michigan Petroleum,regular_87,3,3,0,0.979,0.977,57.0,
HS-0079,2026-07-06,MP-01,Michigan Petroleum,mid_89,1,1,0,0.953,0.989,43.4,
HS-0080,2026-07-13,MP-01,Michigan Petroleum,mid_89,1,1,0,0.966,0.978,64.5,
HS-0081,2026-07-20,MP-01,Michigan Petroleum,mid_89,1,1,0,0.969,0.991,41.3,
HS-0082,2026-07-27,MP-01,Michigan Petroleum,mid_89,1,1,0,0.983,0.991,61.1,
