record_id,period_start,period_end,location,location_code,gross_sales_usd,transaction_count,avg_ticket_usd,fuel_gallons,convenience_pct,notes
SQ-0001,2026-07-01,2026-07-01,Greenfield Fuel & Market,GF,16539,994,16.64,1445,0.536,
SQ-0002,2026-07-01,2026-07-01,Schaefer Quick Stop,SF,9720,597,16.28,887,0.561,
SQ-0003,2026-07-01,2026-07-01,Warren Road Express,WR,10604,636,16.67,1063,0.533,
SQ-0004,2026-07-02,2026-07-02,Greenfield Fuel & Market,GF,18591,1014,18.33,1369,0.433,
SQ-0005,2026-07-02,2026-07-02,Schaefer Quick Stop,SF,8434,503,16.77,908,0.526,
SQ-0006,2026-07-02,2026-07-02,Warren Road Express,WR,10290,630,16.33,931,0.557,
SQ-0007,2026-07-03,2026-07-03,Greenfield Fuel & Market,GF,20258,1204,16.83,1445,0.523,weekend surge
SQ-0008,2026-07-03,2026-07-03,Schaefer Quick Stop,SF,10384,602,17.25,992,0.497,weekend surge
SQ-0009,2026-07-03,2026-07-03,Warren Road Express,WR,12251,721,16.99,1384,0.513,weekend surge
SQ-0010,2026-07-04,2026-07-04,Greenfield Fuel & Market,GF,24201,1370,17.66,1959,0.471,holiday weekend
SQ-0011,2026-07-04,2026-07-04,Schaefer Quick Stop,SF,12490,697,17.92,1221,0.455,holiday weekend
SQ-0012,2026-07-04,2026-07-04,Warren Road Express,WR,13954,860,16.23,1575,0.563,holiday weekend
SQ-0013,2026-07-05,2026-07-05,Greenfield Fuel & Market,GF,23662,1393,16.99,1578,0.513,
SQ-0014,2026-07-05,2026-07-05,Schaefer Quick Stop,SF,11849,663,17.87,939,0.458,
SQ-0015,2026-07-05,2026-07-05,Warren Road Express,WR,13700,751,18.24,1202,0.437,
SQ-0016,2026-07-06,2026-07-06,Greenfield Fuel & Market,GF,18417,1014,18.16,1528,0.442,
SQ-0017,2026-07-06,2026-07-06,Schaefer Quick Stop,SF,8939,490,18.24,839,0.436,
SQ-0018,2026-07-06,2026-07-06,Warren Road Express,WR,10408,573,18.16,1029,0.442,
SQ-0019,2026-07-07,2026-07-07,Greenfield Fuel & Market,GF,16369,904,18.11,1418,0.446,
SQ-0020,2026-07-07,2026-07-07,Schaefer Quick Stop,SF,9598,595,16.13,881,0.572,
SQ-0021,2026-07-07,2026-07-07,Warren Road Express,WR,10197,615,16.58,1173,0.539,
SQ-0022,2026-07-08,2026-07-08,Greenfield Fuel & Market,GF,16433,919,17.88,1294,0.458,
SQ-0023,2026-07-08,2026-07-08,Schaefer Quick Stop,SF,8718,544,16.03,728,0.578,
SQ-0024,2026-07-08,2026-07-08,Warren Road Express,WR,10275,601,17.10,920,0.505,
SQ-0025,2026-07-09,2026-07-09,Greenfield Fuel & Market,GF,17313,1049,16.50,1167,0.544,
SQ-0026,2026-07-09,2026-07-09,Schaefer Quick Stop,SF,8539,481,17.75,696,0.465,
SQ-0027,2026-07-09,2026-07-09,Warren Road Express,WR,10943,646,16.94,959,0.515,
SQ-0028,2026-07-10,2026-07-10,Greenfield Fuel & Market,GF,20119,1184,16.99,1782,0.513,weekend surge
SQ-0029,2026-07-10,2026-07-10,Schaefer Quick Stop,SF,11159,683,16.34,875,0.557,weekend surge
SQ-0030,2026-07-10,2026-07-10,Warren Road Express,WR,11607,656,17.69,1360,0.469,weekend surge
SQ-0031,2026-07-11,2026-07-11,Greenfield Fuel & Market,GF,22711,1280,17.74,1771,0.466,
SQ-0032,2026-07-11,2026-07-11,Schaefer Quick Stop,SF,12656,781,16.20,1008,0.565,
SQ-0033,2026-07-11,2026-07-11,Warren Road Express,WR,14720,909,16.19,1469,0.567,
SQ-0034,2026-07-12,2026-07-12,Greenfield Fuel & Market,GF,21091,1138,18.53,1511,0.422,
SQ-0035,2026-07-12,2026-07-12,Schaefer Quick Stop,SF,10873,653,16.65,991,0.535,
SQ-0036,2026-07-12,2026-07-12,Warren Road Express,WR,13721,851,16.12,1417,0.571,
SQ-0037,2026-07-13,2026-07-13,Greenfield Fuel & Market,GF,16555,1021,16.21,1202,0.564,
SQ-0038,2026-07-13,2026-07-13,Schaefer Quick Stop,SF,8630,479,18.02,930,0.450,
SQ-0039,2026-07-13,2026-07-13,Warren Road Express,WR,10818,598,18.09,1067,0.445,
SQ-0040,2026-07-14,2026-07-14,Greenfield Fuel & Market,GF,17327,988,17.54,1257,0.478,
SQ-0041,2026-07-14,2026-07-14,Schaefer Quick Stop,SF,10112,568,17.80,844,0.464,
SQ-0042,2026-07-14,2026-07-14,Warren Road Express,WR,9857,600,16.43,1120,0.549,
SQ-0043,2026-07-15,2026-07-15,Greenfield Fuel & Market,GF,16592,941,17.63,1486,0.473,
SQ-0044,2026-07-15,2026-07-15,Schaefer Quick Stop,SF,9719,566,17.17,815,0.502,
SQ-0045,2026-07-15,2026-07-15,Warren Road Express,WR,10612,620,17.12,1193,0.505,
SQ-0046,2026-07-16,2026-07-16,Greenfield Fuel & Market,GF,18190,1031,17.64,1194,0.472,
SQ-0047,2026-07-16,2026-07-16,Schaefer Quick Stop,SF,8446,461,18.32,920,0.434,
SQ-0048,2026-07-16,2026-07-16,Warren Road Express,WR,10112,546,18.52,1028,0.422,
SQ-0049,2026-07-17,2026-07-17,Greenfield Fuel & Market,GF,22078,1206,18.31,1502,0.434,weekend surge
SQ-0050,2026-07-17,2026-07-17,Schaefer Quick Stop,SF,11647,713,16.34,879,0.557,
SQ-0051,2026-07-17,2026-07-17,Warren Road Express,WR,13006,761,17.09,1322,0.506,weekend surge
SQ-0052,2026-07-18,2026-07-18,Greenfield Fuel & Market,GF,22393,1243,18.02,1746,0.450,
SQ-0053,2026-07-18,2026-07-18,Schaefer Quick Stop,SF,11458,650,17.63,1161,0.473,
SQ-0054,2026-07-18,2026-07-18,Warren Road Express,WR,14875,823,18.07,1503,0.446,
SQ-0055,2026-07-19,2026-07-19,Greenfield Fuel & Market,GF,21884,1330,16.45,1830,0.549,
SQ-0056,2026-07-19,2026-07-19,Schaefer Quick Stop,SF,10696,633,16.90,1008,0.520,
SQ-0057,2026-07-19,2026-07-19,Warren Road Express,WR,13974,853,16.38,1198,0.553,
SQ-0058,2026-07-20,2026-07-20,Greenfield Fuel & Market,GF,17227,1045,16.49,1416,0.546,
SQ-0059,2026-07-20,2026-07-20,Schaefer Quick Stop,SF,10099,564,17.91,785,0.456,
SQ-0060,2026-07-20,2026-07-20,Warren Road Express,WR,10451,582,17.96,1173,0.454,
SQ-0061,2026-07-21,2026-07-21,Greenfield Fuel & Market,GF,16136,964,16.74,1393,0.529,
SQ-0062,2026-07-21,2026-07-21,Schaefer Quick Stop,SF,9519,564,16.88,802,0.520,
SQ-0063,2026-07-21,2026-07-21,Warren Road Express,WR,10162,559,18.18,1163,0.441,
SQ-0064,2026-07-22,2026-07-22,Greenfield Fuel & Market,GF,16907,921,18.36,1352,0.431,
SQ-0065,2026-07-22,2026-07-22,Schaefer Quick Stop,SF,9644,532,18.13,753,0.444,
SQ-0066,2026-07-22,2026-07-22,Warren Road Express,WR,11751,720,16.32,1166,0.558,
SQ-0067,2026-07-23,2026-07-23,Greenfield Fuel & Market,GF,18493,1050,17.61,1395,0.474,
SQ-0068,2026-07-23,2026-07-23,Schaefer Quick Stop,SF,9153,513,17.84,824,0.459,
SQ-0069,2026-07-23,2026-07-23,Warren Road Express,WR,11330,672,16.86,1095,0.522,
SQ-0070,2026-07-24,2026-07-24,Greenfield Fuel & Market,GF,22580,1354,16.68,1425,0.533,weekend surge
SQ-0071,2026-07-24,2026-07-24,Schaefer Quick Stop,SF,10920,674,16.20,1071,0.566,weekend surge
SQ-0072,2026-07-24,2026-07-24,Warren Road Express,WR,12922,808,15.99,1136,0.580,weekend surge
SQ-0073,2026-07-25,2026-07-25,Greenfield Fuel & Market,GF,23456,1296,18.10,1769,0.446,
SQ-0074,2026-07-25,2026-07-25,Schaefer Quick Stop,SF,12240,725,16.88,962,0.519,
SQ-0075,2026-07-25,2026-07-25,Warren Road Express,WR,14585,794,18.37,1606,0.430,
SQ-0076,2026-07-26,2026-07-26,Greenfield Fuel & Market,GF,21115,1269,16.64,1914,0.536,
SQ-0077,2026-07-26,2026-07-26,Schaefer Quick Stop,SF,12804,725,17.66,867,0.472,
SQ-0078,2026-07-26,2026-07-26,Warren Road Express,WR,14537,833,17.45,1343,0.483,
SQ-0079,2026-07-27,2026-07-27,Greenfield Fuel & Market,GF,16914,1003,16.86,1188,0.520,
SQ-0080,2026-07-27,2026-07-27,Schaefer Quick Stop,SF,9045,558,16.21,777,0.567,
SQ-0081,2026-07-27,2026-07-27,Warren Road Express,WR,9963,572,17.42,985,0.486,
SQ-0082,2026-07-28,2026-07-28,Greenfield Fuel & Market,GF,18029,1061,16.99,1342,0.512,
SQ-0083,2026-07-28,2026-07-28,Schaefer Quick Stop,SF,8890,485,18.33,711,0.432,
SQ-0084,2026-07-28,2026-07-28,Warren Road Express,WR,11485,651,17.64,949,0.472,
SQ-0085,2026-07-29,2026-07-29,Greenfield Fuel & Market,GF,18316,1039,17.63,1263,0.473,
SQ-0086,2026-07-29,2026-07-29,Schaefer Quick Stop,SF,10082,556,18.13,708,0.444,
SQ-0087,2026-07-29,2026-07-29,Warren Road Express,WR,10322,590,17.49,1052,0.480,
SQ-0088,2026-07-30,2026-07-30,Greenfield Fuel & Market,GF,15998,957,16.72,1427,0.531,
SQ-0089,2026-07-30,2026-07-30,Schaefer Quick Stop,SF,8768,506,17.33,805,0.490,
SQ-0090,2026-07-30,2026-07-30,Warren Road Express,WR,10275,564,18.22,1141,0.439,
SQ-0091,2026-07-31,2026-07-31,Greenfield Fuel & Market,GF,18704,1014,18.45,1760,0.426,weekend surge
SQ-0092,2026-07-31,2026-07-31,Schaefer Quick Stop,SF,10511,649,16.20,946,0.566,weekend surge
SQ-0093,2026-07-31,2026-07-31,Warren Road Express,WR,11624,645,18.02,1133,0.451,
SQ-0094,2026-08-01,2026-08-01,Greenfield Fuel & Market,GF,23286,1409,16.53,1958,0.543,
SQ-0095,2026-08-01,2026-08-01,Schaefer Quick Stop,SF,13604,774,17.58,1258,0.477,
SQ-0096,2026-08-01,2026-08-01,Warren Road Express,WR,14797,866,17.09,1257,0.507,
