schedule_id,name,time_zone,escalation_policy_id,current_oncall_user_id,oncall_start,oncall_end
PDSCH_business_hours,Business hours (M-F 07:00-18:00 CT),America/Chicago,PDEP_owner_only,PDU_jae,2026-09-30T07:00:00-05:00,2026-09-30T18:00:00-05:00
PDSCH_after_hours,After-hours (P1 only),America/Chicago,PDEP_owner_only,PDU_jae,2026-09-30T18:00:00-05:00,2026-10-01T07:00:00-05:00
sch_c7tm27bi,Schedule 6opd,America/New_York,desc 48oynwdxh5,usr_e3zx,2025-03-07T10:43:00,2025-08-31T05:02:00
sch_01v8uc87,Schedule 4im5,America/New_York,desc 0eijc0kx8c,usr_ywd9,2025-02-23T06:29:00,2025-10-28T09:08:00
sch_vmjre0rx,Schedule q6gc,America/New_York,desc ep805j4zt7,usr_nmhx,2026-05-26T15:04:00,2025-10-29T12:02:00
sch_72mq35wc,Schedule xhou,America/New_York,desc ixf05lv58w,usr_5ja2,2025-05-01T08:44:00,2025-06-16T09:03:00
sch_729cku1m,Schedule qgp7,America/New_York,desc jkwjeg39cw,usr_tcey,2025-07-29T03:24:00,2026-08-14T03:52:00
sch_drgd0s6a,Schedule xby7,America/New_York,desc cgfjx2w1yw,usr_y84m,2026-02-26T09:53:00,2025-02-01T19:02:00
sch_nb52oq53,Schedule 3w6k,America/New_York,desc k15h79uimy,usr_f5w4,2026-04-25T08:20:00,2026-03-29T02:13:00
sch_es5hl3e2,Schedule n5pl,America/New_York,desc wbbxeuham8,usr_wf21,2026-05-31T09:37:00,2026-04-29T11:19:00
sch_lo6y2hgr,Schedule gemm,America/New_York,desc 4oep8q4ocu,usr_evcu,2026-01-30T09:38:00,2025-07-14T17:10:00
sch_vd6r21mh,Schedule mt5w,America/New_York,desc k68sxkwa16,usr_nf0a,2026-05-25T18:05:00,2026-04-17T03:50:00
sch_gfonphyl,Schedule rfwl,America/New_York,desc jw2g3ztxtf,usr_ae7h,2025-12-01T07:09:00,2025-10-16T05:09:00
sch_saexomez,Schedule 2d96,America/New_York,desc t6pmglw8qp,usr_7j2f,2026-06-11T01:59:00,2025-08-18T16:19:00
sch_prx9oqlw,Schedule s8p4,America/New_York,desc kfrawtfcf3,usr_b2gc,2026-02-14T11:33:00,2026-04-05T01:52:00
sch_wc5qkytz,Schedule yd7k,America/New_York,desc hyu43ql5xi,usr_f6d7,2025-11-04T14:52:00,2025-09-09T22:00:00
sch_70oxfv4m,Schedule ci6b,America/New_York,desc 1ux2ei7b5d,usr_te9x,2026-05-18T11:13:00,2025-10-11T14:19:00
sch_62tljeq4,Schedule k2cc,America/New_York,desc yec4vjdpwr,usr_yk3g,2026-02-19T20:43:00,2025-08-02T18:54:00
sch_zqobbhh5,Schedule 2fjz,America/New_York,desc odapl0ric0,usr_ft6w,2026-03-26T13:07:00,2026-06-12T15:56:00
sch_pmwkwx2k,Schedule 46wm,America/New_York,desc fh1sqwxl5c,usr_hyxe,2026-07-23T14:50:00,2025-06-04T13:41:00
sch_lpcaqxm7,Schedule sfnk,America/New_York,desc wlabqcckv2,usr_rwn1,2025-08-26T09:40:00,2026-03-20T01:16:00
sch_7jtea7s5,Schedule 36t2,America/New_York,desc gr68uvv7wq,usr_mj67,2026-02-20T17:27:00,2025-12-16T22:47:00
sch_dix21osn,Schedule kwbl,America/New_York,desc cxcyznct7p,usr_gic2,2025-12-26T00:57:00,2025-04-04T07:31:00
sch_ql6y8jkp,Schedule 8le3,America/New_York,desc kjcjhyvpqi,usr_dbrl,2025-02-06T11:23:00,2026-07-16T11:24:00
sch_fh24hned,Schedule c2om,America/New_York,desc zu2k7xdfvc,usr_7gih,2026-04-14T12:19:00,2025-05-16T00:38:00
sch_gyl9xuxu,Schedule x0xe,America/New_York,desc m661nemwu0,usr_f5ps,2025-11-23T16:09:00,2026-09-30T15:10:00
sch_xxanx8mk,Schedule j8qx,America/New_York,desc v0byyiawjy,usr_cddz,2025-08-02T16:11:00,2026-07-23T21:23:00
sch_fsrclnk7,Schedule bojj,America/New_York,desc wq6tg7h9jt,usr_x3b3,2025-03-23T01:28:00,2025-10-19T00:41:00
sch_14dlkzvs,Schedule dkte,America/New_York,desc v88acb9gw1,usr_vv6j,2025-01-18T17:34:00,2026-05-24T15:41:00
sch_k1hx1pbh,Schedule kzpg,America/New_York,desc 66wf5gr7fn,usr_v87b,2026-06-02T06:42:00,2025-12-12T13:33:00
sch_oocshnk2,Schedule w366,America/New_York,desc mc2dnxh27d,usr_zd0n,2026-01-02T17:10:00,2025-02-26T07:26:00
sch_golo77xe,Schedule myhe,America/New_York,desc z9v95qepgi,usr_g09x,2025-05-27T01:49:00,2025-05-03T12:22:00
sch_ppe2eukp,Schedule myr0,America/New_York,desc g5w0ngq3lo,usr_8kec,2026-08-03T19:26:00,2026-08-05T01:40:00
sch_mrlji5rw,Schedule rfac,America/New_York,desc ihaxvjl49x,usr_twcu,2026-05-28T04:00:00,2026-02-09T16:22:00
sch_gtuhefgz,Schedule cow6,America/New_York,desc e06rsdlzzd,usr_zdr1,2025-01-07T21:34:00,2026-09-22T07:38:00
sch_p370spbr,Schedule vsd2,America/New_York,desc 147xpkv3hb,usr_qepc,2026-09-07T16:26:00,2026-01-08T10:29:00
sch_rx3xpnnb,Schedule 3ygk,America/New_York,desc b680kwun5p,usr_zcpe,2025-07-23T16:24:00,2026-06-04T08:16:00
sch_tliolyyu,Schedule myrj,America/New_York,desc rujr3d7pfu,usr_t31e,2025-12-06T21:35:00,2026-03-05T08:03:00
sch_sxv4vq5d,Schedule 6e2y,America/New_York,desc qa3dvkrw4z,usr_dx1p,2025-02-24T14:20:00,2026-09-27T05:08:00
