album_id,name,artist_id,album_type,release_date,total_tracks,label
alb_001,Album 001,art_002,album,2021-06-15,11,Various
alb_002,Album 002,art_003,album,2022-06-15,12,Various
alb_003,Album 003,art_004,album,2023-06-15,13,Various
alb_004,Album 004,art_005,album,2024-06-15,10,Various
alb_005,Album 005,art_006,album,2025-06-15,11,Various
alb_006,Album 006,art_007,album,2020-06-15,12,Various
alb_007,Album 007,art_008,album,2021-06-15,13,Various
alb_008,Album 008,art_009,album,2022-06-15,10,Various
alb_009,Album 009,art_010,album,2023-06-15,11,Various
alb_010,Album 010,art_011,album,2024-06-15,12,Various
alb_011,Album 011,art_012,album,2025-06-15,13,Various
alb_012,Album 012,art_013,album,2020-06-15,10,Various
alb_013,Album 013,art_014,album,2021-06-15,11,Various
alb_014,Album 014,art_015,album,2022-06-15,12,Various
alb_015,Album 015,art_001,album,2023-06-15,13,Various
alb_016,Album 016,art_002,album,2024-06-15,10,Various
alb_017,Album 017,art_003,album,2025-06-15,11,Various
alb_018,Album 018,art_004,album,2020-06-15,12,Various
alb_019,Album 019,art_005,album,2021-06-15,13,Various
alb_020,Album 020,art_006,album,2022-06-15,10,Various
