device_id,motion_alerts,ding_alerts,person_alerts,package_alerts
rd-000,True,True,True,True
rd-001,True,True,True,True
rd-002,True,True,True,True
rd-003,True,True,True,True
rd-004,True,True,True,True
rd-005,True,True,True,True
rd-006,True,True,True,True
rd-007,True,True,True,True
rd-008,True,True,True,True
rd-009,True,True,True,True
rd-010,True,True,True,True
rd-011,True,True,True,True
rd-012,True,True,True,True
rd-013,True,True,True,True
rd-014,True,True,True,True
rd-015,True,True,True,True
rd-016,True,True,True,True
rd-017,True,True,True,True
rd-018,True,True,True,True
rd-019,True,True,True,True
rd-020,True,True,True,True
rd-021,True,True,True,True
rd-022,True,True,True,True
rd-023,True,True,True,True
rd-024,True,True,True,True
rd-025,True,True,True,True
rd-026,True,True,True,True
rd-027,True,True,True,True
rd-028,True,True,True,True
rd-029,True,True,True,True
rd-030,True,True,True,True
rd-031,True,True,True,True
rd-032,True,True,True,True
rd-033,True,True,True,True
rd-034,True,True,True,True
rd-035,True,True,True,True
rd-036,True,True,True,True
rd-037,True,True,True,True
rd-038,True,True,True,True
rd-039,True,True,True,True
rd-040,True,True,True,True
rd-041,True,True,True,True
rd-042,True,True,True,True
rd-043,True,True,True,True
rd-044,True,True,True,True
rd-045,True,True,True,True
rd-046,True,True,True,True
rd-047,True,True,True,True
rd-048,True,True,True,True
rd-049,True,True,True,True
rd-050,True,True,True,True
rd-051,True,True,True,True
rd-052,True,True,True,True
rd-053,True,True,True,True
rd-054,True,True,True,True
rd-055,True,True,True,True
rd-056,True,True,True,True
rd-057,True,True,True,True
rd-058,True,True,True,True
rd-059,True,True,True,True
rd-060,True,True,True,True
rd-061,True,True,True,True
rd-062,True,True,True,True
rd-063,True,True,True,True
rd-064,True,True,True,True
rd-065,True,True,True,True
rd-066,True,True,True,True
rd-067,True,True,True,True
rd-068,True,True,True,True
rd-069,True,True,True,True
rd-070,True,True,True,True
rd-071,True,True,True,True
rd-072,True,True,True,True
rd-073,True,True,True,True
rd-074,True,True,True,True
rd-075,True,True,True,True
rd-076,True,True,True,True
rd-077,True,True,True,True
rd-078,True,True,True,True
rd-079,True,True,True,True
rd-080,True,True,True,True
rd-081,True,True,True,True
rd-082,True,True,True,True
rd-083,True,True,True,True
rd-084,True,True,True,True
rd-085,True,True,True,True
rd-086,True,True,True,True
rd-087,True,True,True,True
rd-088,True,True,True,True
rd-089,True,True,True,True
rd-090,True,True,True,True
rd-091,True,True,True,True
rd-092,True,True,True,True
rd-093,True,True,True,True
rd-094,True,True,True,True
rd-095,True,True,True,True
rd-096,True,True,True,True
rd-097,True,True,True,True
rd-098,True,True,True,True
rd-099,True,True,True,True
rd-100,True,True,True,True
rd-101,True,True,True,True
rd-102,True,True,True,True
rd-103,True,True,True,True
rd-104,True,True,True,True
