listing_id,shop_id,title,description,price,currency_code,quantity,taxonomy_id,tags,materials,who_made,when_made,state,shop_section_id,processing_min,processing_max,item_weight,item_weight_unit,item_length,item_width,item_height,item_dimensions_unit,views,num_favorers,shipping_profile_id,return_policy_id,is_supply,is_customizable,is_personalizable,created_timestamp,updated_timestamp,ending_timestamp
5300000,29457183,Coil-built stoneware mug,"Handmade coil-built stoneware mug, coil-built stoneware.",38.0,USD,15,68887421,pottery;stoneware;handmade,stoneware clay;glaze,i_did,made_to_order,active,1200,1,3,1.5,lb,6,5,5,in,817,45,90001,70001,false,true,false,2025-03-01T12:00:00-05:00,2026-09-01T12:00:00-05:00,2027-03-01T12:00:00-05:00
5300001,29457183,Speckled dinner bowl,"Handmade speckled dinner bowl, coil-built stoneware.",42.0,USD,3,68887421,pottery;stoneware;handmade,stoneware clay;glaze,i_did,made_to_order,active,1201,1,3,2.01,lb,6,5,5,in,687,18,90001,70001,false,true,false,2025-03-01T12:00:00-05:00,2026-09-01T12:00:00-05:00,2027-03-01T12:00:00-05:00
5300002,29457183,Tall carafe with cork,"Handmade tall carafe with cork, coil-built stoneware.",68.0,USD,15,68887421,pottery;stoneware;handmade,stoneware clay;glaze,i_did,made_to_order,active,1202,1,3,2.06,lb,6,5,5,in,607,7,90001,70001,false,true,false,2025-03-01T12:00:00-05:00,2026-09-01T12:00:00-05:00,2027-03-01T12:00:00-05:00
5300003,29457183,Small planter with drip tray,"Handmade small planter with drip tray, coil-built stoneware.",34.0,USD,16,68887421,pottery;stoneware;handmade,stoneware clay;glaze,i_did,made_to_order,active,1203,1,3,1.5,lb,6,5,5,in,830,26,90001,70001,false,true,false,2025-03-01T12:00:00-05:00,2026-09-01T12:00:00-05:00,2027-03-01T12:00:00-05:00
5300004,29457183,Wide serving platter,"Handmade wide serving platter, coil-built stoneware.",95.0,USD,13,68887421,pottery;stoneware;handmade,stoneware clay;glaze,i_did,made_to_order,active,1204,1,3,0.8,lb,6,5,5,in,171,50,90001,70001,false,true,false,2025-03-01T12:00:00-05:00,2026-09-01T12:00:00-05:00,2027-03-01T12:00:00-05:00
5300005,29457183,Pour-over coffee dripper,"Handmade pour-over coffee dripper, coil-built stoneware.",56.0,USD,2,68887421,pottery;stoneware;handmade,stoneware clay;glaze,i_did,made_to_order,active,1205,1,3,1.74,lb,6,5,5,in,625,9,90001,70001,false,true,false,2025-03-01T12:00:00-05:00,2026-09-01T12:00:00-05:00,2027-03-01T12:00:00-05:00
5300006,29457183,Berry colander,"Handmade berry colander, coil-built stoneware.",48.0,USD,19,68887421,pottery;stoneware;handmade,stoneware clay;glaze,i_did,made_to_order,active,1206,1,3,1.32,lb,6,5,5,in,678,44,90001,70001,false,true,false,2025-03-01T12:00:00-05:00,2026-09-01T12:00:00-05:00,2027-03-01T12:00:00-05:00
5300007,29457183,Matte black tumbler,"Handmade matte black tumbler, coil-built stoneware.",30.0,USD,17,68887421,pottery;stoneware;handmade,stoneware clay;glaze,i_did,made_to_order,active,1207,1,3,1.42,lb,6,5,5,in,592,6,90001,70001,false,true,false,2025-03-01T12:00:00-05:00,2026-09-01T12:00:00-05:00,2027-03-01T12:00:00-05:00
5300008,29457183,Handled soup crock,"Handmade handled soup crock, coil-built stoneware.",52.0,USD,18,68887421,pottery;stoneware;handmade,stoneware clay;glaze,i_did,made_to_order,active,1208,1,3,0.97,lb,6,5,5,in,605,42,90001,70001,false,true,false,2025-03-01T12:00:00-05:00,2026-09-01T12:00:00-05:00,2027-03-01T12:00:00-05:00
5300009,29457183,Spoon rest set,"Handmade spoon rest set, coil-built stoneware.",22.0,USD,6,68887421,pottery;stoneware;handmade,stoneware clay;glaze,i_did,made_to_order,active,1209,1,3,1.28,lb,6,5,5,in,874,40,90001,70001,false,true,false,2025-03-01T12:00:00-05:00,2026-09-01T12:00:00-05:00,2027-03-01T12:00:00-05:00
