date,title,explanation,url,hdurl,media_type,copyright
2026-10-01,Autumn sky,A view,https://apod/1.jpg,https://apod/1_hd.jpg,image,NASA
2026-01-02,Lunar Crescent 1,A view from the cosmos.,https://apod.example/1.jpg,https://apod.example/1_hd.jpg,image,Public Domain
2026-01-03,Star Cluster 2,A view from the cosmos.,https://apod.example/2.jpg,https://apod.example/2_hd.jpg,image,Public Domain
2026-01-04,Lunar Crescent 3,A view from the cosmos.,https://apod.example/3.jpg,https://apod.example/3_hd.jpg,image,Public Domain
2026-01-05,Star Cluster 4,A view from the cosmos.,https://apod.example/4.jpg,https://apod.example/4_hd.jpg,image,ESA
2026-01-06,Nebula Glow 5,A view from the cosmos.,https://apod.example/5.jpg,https://apod.example/5_hd.jpg,image,Public Domain
2026-01-07,Nebula Glow 6,A view from the cosmos.,https://apod.example/6.jpg,https://apod.example/6_hd.jpg,image,NASA
2026-01-08,Spiral Galaxy 7,A view from the cosmos.,https://apod.example/7.jpg,https://apod.example/7_hd.jpg,image,ESA
2026-01-09,Spiral Galaxy 8,A view from the cosmos.,https://apod.example/8.jpg,https://apod.example/8_hd.jpg,image,Public Domain
2026-01-10,Lunar Crescent 9,A view from the cosmos.,https://apod.example/9.jpg,https://apod.example/9_hd.jpg,image,NASA
2026-01-11,Lunar Crescent 10,A view from the cosmos.,https://apod.example/10.jpg,https://apod.example/10_hd.jpg,image,NASA
2026-01-12,Star Cluster 11,A view from the cosmos.,https://apod.example/11.jpg,https://apod.example/11_hd.jpg,image,Public Domain
2026-01-13,Star Cluster 12,A view from the cosmos.,https://apod.example/12.jpg,https://apod.example/12_hd.jpg,image,NASA
2026-01-14,Aurora Sky 13,A view from the cosmos.,https://apod.example/13.jpg,https://apod.example/13_hd.jpg,image,NASA
2026-01-15,Lunar Crescent 14,A view from the cosmos.,https://apod.example/14.jpg,https://apod.example/14_hd.jpg,image,NASA
2026-01-16,Nebula Glow 15,A view from the cosmos.,https://apod.example/15.jpg,https://apod.example/15_hd.jpg,image,Public Domain
2026-01-17,Spiral Galaxy 16,A view from the cosmos.,https://apod.example/16.jpg,https://apod.example/16_hd.jpg,image,NASA
2026-01-18,Lunar Crescent 17,A view from the cosmos.,https://apod.example/17.jpg,https://apod.example/17_hd.jpg,image,Public Domain
2026-01-19,Star Cluster 18,A view from the cosmos.,https://apod.example/18.jpg,https://apod.example/18_hd.jpg,image,NASA
2026-01-20,Lunar Crescent 19,A view from the cosmos.,https://apod.example/19.jpg,https://apod.example/19_hd.jpg,image,NASA
2026-01-21,Spiral Galaxy 20,A view from the cosmos.,https://apod.example/20.jpg,https://apod.example/20_hd.jpg,image,ESA
2026-01-22,Spiral Galaxy 21,A view from the cosmos.,https://apod.example/21.jpg,https://apod.example/21_hd.jpg,image,Public Domain
2026-01-23,Aurora Sky 22,A view from the cosmos.,https://apod.example/22.jpg,https://apod.example/22_hd.jpg,image,Public Domain
2026-01-24,Nebula Glow 23,A view from the cosmos.,https://apod.example/23.jpg,https://apod.example/23_hd.jpg,image,NASA
2026-01-25,Lunar Crescent 24,A view from the cosmos.,https://apod.example/24.jpg,https://apod.example/24_hd.jpg,image,ESA
2026-01-26,Nebula Glow 25,A view from the cosmos.,https://apod.example/25.jpg,https://apod.example/25_hd.jpg,image,ESA
2026-01-27,Lunar Crescent 26,A view from the cosmos.,https://apod.example/26.jpg,https://apod.example/26_hd.jpg,image,Public Domain
2026-01-28,Lunar Crescent 27,A view from the cosmos.,https://apod.example/27.jpg,https://apod.example/27_hd.jpg,image,ESA
2026-02-01,Lunar Crescent 28,A view from the cosmos.,https://apod.example/28.jpg,https://apod.example/28_hd.jpg,image,ESA
2026-02-02,Aurora Sky 29,A view from the cosmos.,https://apod.example/29.jpg,https://apod.example/29_hd.jpg,image,Public Domain
2026-02-03,Lunar Crescent 30,A view from the cosmos.,https://apod.example/30.jpg,https://apod.example/30_hd.jpg,image,ESA
2026-02-04,Spiral Galaxy 31,A view from the cosmos.,https://apod.example/31.jpg,https://apod.example/31_hd.jpg,image,NASA
2026-02-05,Lunar Crescent 32,A view from the cosmos.,https://apod.example/32.jpg,https://apod.example/32_hd.jpg,image,Public Domain
2026-02-06,Star Cluster 33,A view from the cosmos.,https://apod.example/33.jpg,https://apod.example/33_hd.jpg,image,NASA
2026-02-07,Nebula Glow 34,A view from the cosmos.,https://apod.example/34.jpg,https://apod.example/34_hd.jpg,image,ESA
2026-02-08,Star Cluster 35,A view from the cosmos.,https://apod.example/35.jpg,https://apod.example/35_hd.jpg,image,NASA
2026-02-09,Aurora Sky 36,A view from the cosmos.,https://apod.example/36.jpg,https://apod.example/36_hd.jpg,image,Public Domain
2026-02-10,Star Cluster 37,A view from the cosmos.,https://apod.example/37.jpg,https://apod.example/37_hd.jpg,image,NASA
2026-02-11,Spiral Galaxy 38,A view from the cosmos.,https://apod.example/38.jpg,https://apod.example/38_hd.jpg,image,NASA
2026-02-12,Nebula Glow 39,A view from the cosmos.,https://apod.example/39.jpg,https://apod.example/39_hd.jpg,image,NASA
2026-02-13,Lunar Crescent 40,A view from the cosmos.,https://apod.example/40.jpg,https://apod.example/40_hd.jpg,image,NASA
2026-02-14,Aurora Sky 41,A view from the cosmos.,https://apod.example/41.jpg,https://apod.example/41_hd.jpg,image,NASA
2026-02-15,Nebula Glow 42,A view from the cosmos.,https://apod.example/42.jpg,https://apod.example/42_hd.jpg,image,Public Domain
