id,order_id,customer_id,amount,currency,status,source_type,location_id,receipt_number,created_at
sqp_8000,sqo_7000,sqc_5000,3800,USD,COMPLETED,CARD,L_TULSA_MARKET,RCPT9000,2026-07-12T13:00:00-05:00
sqp_8001,sqo_7001,sqc_5001,4200,USD,COMPLETED,CARD,L_TULSA_MARKET,RCPT9001,2026-08-08T13:01:00-05:00
sqp_8002,sqo_7002,sqc_5002,6800,USD,COMPLETED,CARD,L_TULSA_MARKET,RCPT9002,2026-09-24T13:02:00-05:00
sqp_8003,sqo_7003,sqc_5003,3400,USD,COMPLETED,CARD,L_TULSA_MARKET,RCPT9003,2026-08-27T13:03:00-05:00
sqp_8004,sqo_7004,sqc_5004,9500,USD,COMPLETED,CARD,L_TULSA_MARKET,RCPT9004,2026-09-22T13:04:00-05:00
sqp_8005,sqo_7005,sqc_5005,5600,USD,COMPLETED,CARD,L_TULSA_MARKET,RCPT9005,2026-09-13T13:05:00-05:00
sqp_8006,sqo_7006,sqc_5006,4800,USD,COMPLETED,CARD,L_TULSA_MARKET,RCPT9006,2026-09-04T13:06:00-05:00
sqp_8007,sqo_7007,sqc_5007,6000,USD,COMPLETED,CARD,L_TULSA_MARKET,RCPT9007,2026-08-03T13:07:00-05:00
sqp_8008,sqo_7008,sqc_5008,5200,USD,COMPLETED,CARD,L_TULSA_MARKET,RCPT9008,2026-08-21T13:08:00-05:00
sqp_8009,sqo_7009,sqc_5009,2200,USD,COMPLETED,CARD,L_TULSA_MARKET,RCPT9009,2026-08-13T13:09:00-05:00
sqp_8010,sqo_7010,sqc_5010,3800,USD,COMPLETED,CARD,L_TULSA_MARKET,RCPT9010,2026-09-13T13:10:00-05:00
sqp_8011,sqo_7011,sqc_5011,4200,USD,COMPLETED,CARD,L_TULSA_MARKET,RCPT9011,2026-07-01T13:11:00-05:00
sqp_8012,sqo_7012,sqc_5012,6800,USD,COMPLETED,CARD,L_TULSA_MARKET,RCPT9012,2026-07-05T13:12:00-05:00
sqp_8013,sqo_7013,sqc_5013,6800,USD,COMPLETED,CARD,L_TULSA_MARKET,RCPT9013,2026-08-11T13:13:00-05:00
