event_ts	error_type	station_id	count_per_event_group	severity	last_seen	notes
2026-09-01T09:00:00-05:00	KioskTimeoutError	station-01	1	warning	2026-09-01T09:00:00-05:00	Audio fetch timeout > 8s
2026-09-02T10:07:00-05:00	WebGLContextLost	station-02	2	warning	2026-09-02T10:07:00-05:00	Driver crash on photo zoom
2026-09-03T11:14:00-05:00	TouchEventDebounceFailure	station-03	3	info	2026-09-03T11:14:00-05:00	Double-tap registered as drag
2026-09-04T12:21:00-05:00	NetworkTimeout	station-04	4	warning	2026-09-04T12:21:00-05:00	cdn.contentful.com unreachable 2s
2026-09-05T13:28:00-05:00	DonationCardDecline	station-05	5	info	2026-09-05T13:28:00-05:00	Card declined; user redirected to retry
2026-09-06T14:35:00-05:00	ImageAssetMissing	station-06	6	warning	2026-09-06T14:35:00-05:00	Hero image 404 on asset retry
2026-09-07T15:42:00-05:00	AudioPlaybackBuffer	station-07	7	info	2026-09-07T15:42:00-05:00	Minor buffer hiccup, recovered
2026-09-08T16:49:00-05:00	LocalStorageFull	station-multi	8	warning	2026-09-08T16:49:00-05:00	PWA cache eviction triggered
2026-09-09T17:56:00-05:00	KioskTimeoutError	station-01	1	warning	2026-09-09T17:56:00-05:00	Audio fetch timeout > 8s
2026-09-10T18:03:00-05:00	WebGLContextLost	station-02	2	warning	2026-09-10T18:03:00-05:00	Driver crash on photo zoom
2026-09-11T19:10:00-05:00	TouchEventDebounceFailure	station-03	3	info	2026-09-11T19:10:00-05:00	Double-tap registered as drag
2026-09-12T20:17:00-05:00	NetworkTimeout	station-04	4	warning	2026-09-12T20:17:00-05:00	cdn.contentful.com unreachable 2s
2026-09-13T09:24:00-05:00	DonationCardDecline	station-05	5	info	2026-09-13T09:24:00-05:00	Card declined; user redirected to retry
2026-09-14T10:31:00-05:00	ImageAssetMissing	station-06	6	warning	2026-09-14T10:31:00-05:00	Hero image 404 on asset retry
2026-09-15T11:38:00-05:00	AudioPlaybackBuffer	station-07	7	info	2026-09-15T11:38:00-05:00	Minor buffer hiccup, recovered
2026-09-16T12:45:00-05:00	LocalStorageFull	station-multi	8	warning	2026-09-16T12:45:00-05:00	PWA cache eviction triggered
2026-09-17T13:52:00-05:00	KioskTimeoutError	station-01	1	warning	2026-09-17T13:52:00-05:00	Audio fetch timeout > 8s
2026-09-18T14:59:00-05:00	WebGLContextLost	station-02	2	warning	2026-09-18T14:59:00-05:00	Driver crash on photo zoom
2026-09-19T15:06:00-05:00	TouchEventDebounceFailure	station-03	3	info	2026-09-19T15:06:00-05:00	Double-tap registered as drag
2026-09-20T16:13:00-05:00	NetworkTimeout	station-04	4	warning	2026-09-20T16:13:00-05:00	cdn.contentful.com unreachable 2s
2026-09-21T17:20:00-05:00	DonationCardDecline	station-05	5	info	2026-09-21T17:20:00-05:00	Card declined; user redirected to retry
2026-09-22T18:27:00-05:00	ImageAssetMissing	station-06	6	warning	2026-09-22T18:27:00-05:00	Hero image 404 on asset retry
2026-09-23T19:34:00-05:00	AudioPlaybackBuffer	station-07	7	info	2026-09-23T19:34:00-05:00	Minor buffer hiccup, recovered
2026-09-24T20:41:00-05:00	LocalStorageFull	station-multi	8	warning	2026-09-24T20:41:00-05:00	PWA cache eviction triggered
2026-09-25T09:48:00-05:00	KioskTimeoutError	station-01	1	warning	2026-09-25T09:48:00-05:00	Audio fetch timeout > 8s
2026-09-26T10:55:00-05:00	WebGLContextLost	station-02	2	warning	2026-09-26T10:55:00-05:00	Driver crash on photo zoom
2026-09-27T11:02:00-05:00	TouchEventDebounceFailure	station-03	3	info	2026-09-27T11:02:00-05:00	Double-tap registered as drag
2026-09-28T12:09:00-05:00	NetworkTimeout	station-04	4	warning	2026-09-28T12:09:00-05:00	cdn.contentful.com unreachable 2s
2026-09-29T13:16:00-05:00	DonationCardDecline	station-05	5	info	2026-09-29T13:16:00-05:00	Card declined; user redirected to retry
2026-09-30T14:23:00-05:00	ImageAssetMissing	station-06	6	warning	2026-09-30T14:23:00-05:00	Hero image 404 on asset retry
2026-09-01T15:30:00-05:00	AudioPlaybackBuffer	station-07	7	info	2026-09-01T15:30:00-05:00	Minor buffer hiccup, recovered
2026-09-02T16:37:00-05:00	LocalStorageFull	station-multi	8	warning	2026-09-02T16:37:00-05:00	PWA cache eviction triggered
2026-09-03T17:44:00-05:00	KioskTimeoutError	station-01	1	warning	2026-09-03T17:44:00-05:00	Audio fetch timeout > 8s
2026-09-04T18:51:00-05:00	WebGLContextLost	station-02	2	warning	2026-09-04T18:51:00-05:00	Driver crash on photo zoom
2026-09-05T19:58:00-05:00	TouchEventDebounceFailure	station-03	3	info	2026-09-05T19:58:00-05:00	Double-tap registered as drag
2026-09-06T20:05:00-05:00	NetworkTimeout	station-04	4	warning	2026-09-06T20:05:00-05:00	cdn.contentful.com unreachable 2s
2026-09-07T09:12:00-05:00	DonationCardDecline	station-05	5	info	2026-09-07T09:12:00-05:00	Card declined; user redirected to retry
