asset_id,symbol,qty,avg_entry_price,current_price,side,market_value,cost_basis,unrealized_pl
b0b6dd9d-8b9b-48a9-ba46-b9d54906e415,AAPL,40,178.50,191.25,long,7650.00,7140.00,510.00
f30d734c-2806-4d0d-b145-f9fee271c5cd,MSFT,25,402.10,418.60,long,10465.00,10052.50,412.50
b6d1aa75-5c14-4920-aef3-7eb33a01c123,TSLA,30,242.00,228.75,long,6862.50,7260.00,-397.50
69b6d1aa-5c14-4920-aef3-7eb33a01c456,NVDA,18,118.40,131.90,long,2374.20,2131.20,243.00
0d1aa75b-5c14-4920-aef3-7eb33a01c789,AMZN,55,182.30,188.45,long,10364.75,10026.50,338.25
bnz3Uy1PBIx6hIySCCPOq9xu5yrzmIVRowtO,TSLA,305,97.37,0,long,8242,0,-397.50
bVlEu6IVYaJVqXOB0VCth4CmC5UyoXgXo54n,TSLA,129,0,206.62,long,0,14.24,243.00
bf34uPTlPJ4rIimr38D4CKPjOp0AAkfwSqC6,TSLA,356,3099,128.78,long,0,0,510.00
69b6d1aa-5c14-4920-aef3-7eb33a01c457,NVDA,178,1128.01,137.09,long,3842.94,4470.46,403.27
69b6d1aa-5c14-4920-aef3-7eb33a01c458,AMZN,225,2016.46,336.10,long,5853.46,607.85,275.06
69b6d1aa-5c14-4920-aef3-7eb33a01c459,TSLA,165,1501.09,235.25,long,4170.35,2442.98,-203.06
69b6d1aa-5c14-4920-aef3-7eb33a01c460,AAPL,50,2752.89,275.54,long,2235.75,2372.93,-389.14
69b6d1aa-5c14-4920-aef3-7eb33a01c461,TSLA,251,2773.45,106.52,long,2547.49,4697.83,-334.96
69b6d1aa-5c14-4920-aef3-7eb33a01c462,AAPL,324,699.06,316.79,long,7796.97,9153.05,-22.06
69b6d1aa-5c14-4920-aef3-7eb33a01c463,TSLA,338,1473.48,29.41,long,9859.00,7236.75,414.61
69b6d1aa-5c14-4920-aef3-7eb33a01c464,AMZN,345,734.33,224.97,long,3627.42,4306.79,101.03
69b6d1aa-5c14-4920-aef3-7eb33a01c465,NVDA,166,2811.28,146.30,long,4758.21,111.35,-362.19
69b6d1aa-5c14-4920-aef3-7eb33a01c466,TSLA,235,1509.15,64.97,long,7506.27,7861.39,-282.91
69b6d1aa-5c14-4920-aef3-7eb33a01c467,TSLA,257,1779.37,289.30,long,9706.10,4081.20,288.99
69b6d1aa-5c14-4920-aef3-7eb33a01c468,TSLA,248,1781.49,16.48,long,7312.72,7938.30,-223.49
69b6d1aa-5c14-4920-aef3-7eb33a01c469,AMZN,63,258.93,410.51,long,8168.88,2114.31,197.18
69b6d1aa-5c14-4920-aef3-7eb33a01c470,AMZN,210,603.03,329.91,long,9329.05,485.44,-274.05
69b6d1aa-5c14-4920-aef3-7eb33a01c471,AMZN,34,1304.48,159.57,long,9221.02,5254.21,-237.80
69b6d1aa-5c14-4920-aef3-7eb33a01c472,TSLA,202,2556.93,201.05,long,6151.54,5631.73,325.88
69b6d1aa-5c14-4920-aef3-7eb33a01c473,TSLA,228,104.94,361.29,long,1487.95,9151.64,-178.15
69b6d1aa-5c14-4920-aef3-7eb33a01c474,MSFT,21,1483.77,227.93,long,5681.70,9896.90,-74.35
69b6d1aa-5c14-4920-aef3-7eb33a01c475,TSLA,157,1084.40,106.88,long,6838.36,3889.74,469.23
69b6d1aa-5c14-4920-aef3-7eb33a01c476,TSLA,281,1415.74,403.03,long,9540.10,6140.51,259.67
69b6d1aa-5c14-4920-aef3-7eb33a01c477,TSLA,317,1062.64,195.39,long,8887.70,6832.88,-270.51
69b6d1aa-5c14-4920-aef3-7eb33a01c478,TSLA,63,2740.65,26.42,long,166.90,1084.66,465.05
69b6d1aa-5c14-4920-aef3-7eb33a01c479,MSFT,80,2562.48,96.36,long,9820.52,7349.00,-285.60
69b6d1aa-5c14-4920-aef3-7eb33a01c480,TSLA,266,11.52,70.49,long,2555.77,6299.41,484.58
69b6d1aa-5c14-4920-aef3-7eb33a01c481,TSLA,257,1144.87,141.40,long,8921.95,704.84,373.43
