city_id,dt,dt_txt,temp,feels_like,temp_min,temp_max,pressure,humidity,weather_id,weather_main,weather_description,weather_icon,wind_speed,wind_deg,clouds,pop
5224151,1762858800,2026-11-11 15:00:00,8.4,6.0,6.2,8.4,1015,66,802,Clouds,scattered clouds,03d,3.6,215,35,0.0
5224151,1762869600,2026-11-11 18:00:00,6.1,3.4,4.0,6.1,1016,72,803,Clouds,broken clouds,04n,3.8,220,70,0.1
5224151,1762880400,2026-11-11 21:00:00,3.8,0.6,2.4,3.8,1017,80,500,Rain,light rain,10n,3.2,225,88,0.5
5224151,1762891200,2026-11-12 00:00:00,1.4,-2.2,0.5,1.4,1018,86,600,Snow,light snow,13n,3.0,230,92,0.6
5217617,1762858800,2026-11-11 15:00:00,8.7,6.3,6.5,8.7,1015,65,802,Clouds,scattered clouds,03d,3.4,220,30,0.0
5217617,1762869600,2026-11-11 18:00:00,6.4,3.7,4.3,6.4,1016,71,803,Clouds,broken clouds,04n,3.6,225,68,0.1
5217617,1762880400,2026-11-11 21:00:00,4.1,0.9,2.7,4.1,1017,78,500,Rain,light rain,10n,3.0,230,86,0.4
5217617,1762891200,2026-11-12 00:00:00,1.7,-1.9,0.8,1.7,1018,84,600,Snow,light snow,13n,2.8,232,90,0.5
5217346,1762858800,2026-11-11 15:00:00,9.0,6.6,6.8,9.0,1015,63,802,Clouds,scattered clouds,03d,3.2,232,40,0.0
5217346,1762869600,2026-11-11 18:00:00,6.8,4.0,4.6,6.8,1016,69,803,Clouds,broken clouds,04n,3.4,236,72,0.1
5217346,1762880400,2026-11-11 21:00:00,4.4,1.2,2.9,4.4,1017,76,500,Rain,light rain,10n,2.9,240,84,0.4
5217346,1762891200,2026-11-12 00:00:00,2.0,-1.6,1.0,2.0,1018,82,600,Snow,light snow,13n,2.6,242,88,0.4
5222937,1762858800,2026-11-11 15:00:00,8.6,6.2,6.4,8.6,1015,66,802,Clouds,scattered clouds,03d,3.3,228,35,0.0
5222937,1762869600,2026-11-11 18:00:00,6.3,3.6,4.2,6.3,1016,72,803,Clouds,broken clouds,04n,3.5,232,68,0.1
5222937,1762880400,2026-11-11 21:00:00,4.0,0.8,2.6,4.0,1017,79,500,Rain,light rain,10n,3.0,236,85,0.5
5222937,1762891200,2026-11-12 00:00:00,1.6,-2.0,0.7,1.6,1018,85,600,Snow,light snow,13n,2.8,238,90,0.5
5223681,1762858800,2026-11-11 15:00:00,8.3,5.9,6.1,8.3,1015,67,802,Clouds,scattered clouds,03d,3.7,218,30,0.0
5223681,1762869600,2026-11-11 18:00:00,6.0,3.3,3.9,6.0,1016,73,803,Clouds,broken clouds,04n,3.9,222,66,0.1
5223681,1762880400,2026-11-11 21:00:00,3.7,0.5,2.3,3.7,1017,81,500,Rain,light rain,10n,3.3,226,88,0.5
5223681,1762891200,2026-11-12 00:00:00,1.3,-2.3,0.4,1.3,1018,87,600,Snow,light snow,13n,3.1,230,92,0.6
5237451,1762858800,2026-11-11 15:00:00,-1.0,-5.2,-2.4,-1.0,1010,80,600,Snow,light snow,13d,5.0,298,90,0.6
5237451,1762869600,2026-11-11 18:00:00,-2.6,-7.4,-3.8,-2.6,1011,84,601,Snow,snow,13n,5.4,302,92,0.7
5237451,1762880400,2026-11-11 21:00:00,-4.2,-9.6,-5.4,-4.2,1012,88,601,Snow,snow,13n,5.8,306,95,0.7
5237451,1762891200,2026-11-12 00:00:00,-5.6,-11.2,-6.8,-5.6,1013,90,602,Snow,heavy snow,13n,6.2,310,98,0.8
