date,day_of_week,high_f,low_f,precipitation_percent,wind_mph,pressure_mb,notes
2026-10-04,Sunday,88,74,20,10,1015,Partly cloudy - typical October morning
2026-10-05,Monday,89,75,30,12,1013,Scattered afternoon storms
2026-10-06,Tuesday,87,74,45,14,1010,Ophelia outer bands possible - low probability
2026-10-07,Wednesday,86,73,35,12,1012,Post-Ophelia recovery pattern
2026-10-08,Thursday,88,74,20,10,1014,Return to typical October weather
2026-10-09,Friday,89,75,15,8,1016,Clear and warm
2026-10-10,Saturday,88,74,20,10,1015,Family day - typical weather
2026-10-11,Sunday,87,73,25,10,1014,Partly cloudy
2026-10-12,Monday,86,72,30,12,1013,Front approaches
2026-10-13,Tuesday,84,71,40,14,1010,Cooler front brings scattered rain
