food_id,food_name,brand,serving_size,serving_unit,calories,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g,potassium_mg,is_verified
1001,Blackstrap molasses,,1,tbsp,58,0,0,0,11,15,0,11,0,498,true
1002,Beef sirloin,,4,oz,241,14,5.6,89,64,0,0,0,30,340,true
1003,Cooked spinach,,1,cup,41,0.5,0.1,0,126,7,4,0.9,5,839,true
1004,Lentils (cooked),,1,cup,230,0.8,0.1,0,4,40,15.6,3.6,18,731,true
1005,Fortified breakfast cereal,,1,cup,120,1,0,0,190,25,3,7,2,150,true
1006,Tofu (firm),,4,oz,144,8,1.2,0,15,3,2,1,17,238,true
1007,Kimchi,,1,cup,32,0.3,0,0,747,6,2.4,3,2,200,true
1008,White rice (cooked),,1,cup,205,0.4,0.1,0,2,45,0.6,0,4,55,true
1009,Salmon (Atlantic),,4,oz,206,12,2.7,63,60,0,0,0,29,401,true
1010,Kale (raw),,1,cup,33,0.6,0.1,0,25,7,1.3,1.6,2,299,true
1011,Steel-cut oats (cooked),,1,cup,158,2.5,0.5,0,9,27,4,0.6,6,164,true
1012,Grilled chicken breast,,4,oz,165,3.6,1,85,74,0,0,0,31,256,true
1013,Large egg,,1,large,72,5,1.6,186,71,0.4,0,0.2,6.3,69,true
1014,Galbi (Korean short rib),,4,oz,290,20,8.4,80,540,4,0,3,22,315,false
1015,Broccoli (roasted),,1,cup,55,0.6,0.1,0,64,11,5,2.6,3.7,457,true
