catalog_object_id,location_id,quantity,state
VAR_LATTE_R,LOC_MAIN,9999,IN_STOCK
VAR_COLDBREW_R,LOC_MAIN,9999,IN_STOCK
VAR_CROISSANT_R,LOC_MAIN,48,IN_STOCK
VAR_BAGEL_R,LOC_MAIN,60,IN_STOCK
VAR_MUG_R,LOC_MAIN,35,IN_STOCK
VAR_BEANS_12,LOC_MAIN,82,IN_STOCK
VAR_TEA_TIN,LOC_MAIN,12,IN_STOCK
VAR_CAPP_R,LOC_MAIN,9999,IN_STOCK
VAR_ESPRESSO_R,LOC_MAIN,9999,IN_STOCK
VAR_MOCHA_R,LOC_MAIN,9999,IN_STOCK
VAR_DRIP_R,LOC_MAIN,9999,IN_STOCK
VAR_CHAI_R,LOC_MAIN,9999,IN_STOCK
VAR_MATCHA_R,LOC_MAIN,9999,IN_STOCK
VAR_HOTCHOC_R,LOC_MAIN,9999,IN_STOCK
VAR_MUFFIN_R,LOC_MAIN,24,IN_STOCK
VAR_COOKIE_R,LOC_MAIN,40,IN_STOCK
VAR_CINN_R,LOC_MAIN,0,SOLD_OUT
VAR_SCONE_R,LOC_MAIN,18,IN_STOCK
VAR_TOTE_R,LOC_MAIN,27,IN_STOCK
VAR_GIFT_25,LOC_MAIN,100,IN_STOCK
