pair,altname,wsname,base,quote,pair_decimals,lot_decimals,ordermin,status
XXBTZCAD,BTCCAD,XBT/CAD,XXBT,ZCAD,2,8,0.0001,online
XETHZCAD,ETHCAD,ETH/CAD,XETH,ZCAD,2,8,0.0001,online
SOLZCAD,SOLCAD,SOL/CAD,SOL,ZCAD,2,8,0.0001,online
ADAZCAD,ADACAD,ADA/CAD,ADA,ZCAD,2,8,0.0001,online
DOT4CAD,DOT4CAD,DOT4/CAD,DOT4,CAD,5,8,0.0001,online
MATIC5CAD,MATIC5CAD,MATIC5/CAD,MATIC5,CAD,5,8,0.0001,online
AVAX6CAD,AVAX6CAD,AVAX6/CAD,AVAX6,CAD,5,8,0.0001,online
LINK7CAD,LINK7CAD,LINK7/CAD,LINK7,CAD,5,8,0.0001,online
UNI8CAD,UNI8CAD,UNI8/CAD,UNI8,CAD,5,8,0.0001,online
ATOM9CAD,ATOM9CAD,ATOM9/CAD,ATOM9,CAD,5,8,0.0001,online
XRP10CAD,XRP10CAD,XRP10/CAD,XRP10,CAD,5,8,0.0001,online
LTC11CAD,LTC11CAD,LTC11/CAD,LTC11,CAD,5,8,0.0001,online
BCH12CAD,BCH12CAD,BCH12/CAD,BCH12,CAD,5,8,0.0001,online
ALGO13CAD,ALGO13CAD,ALGO13/CAD,ALGO13,CAD,5,8,0.0001,online
XLM14CAD,XLM14CAD,XLM14/CAD,XLM14,CAD,5,8,0.0001,online
FIL15CAD,FIL15CAD,FIL15/CAD,FIL15,CAD,5,8,0.0001,online
NEAR16CAD,NEAR16CAD,NEAR16/CAD,NEAR16,CAD,5,8,0.0001,online
APT17CAD,APT17CAD,APT17/CAD,APT17,CAD,5,8,0.0001,online
ARB18CAD,ARB18CAD,ARB18/CAD,ARB18,CAD,5,8,0.0001,online
OP19CAD,OP19CAD,OP19/CAD,OP19,CAD,5,8,0.0001,online
BTC20CAD,BTC20CAD,BTC20/CAD,BTC20,CAD,5,8,0.0001,online
ETH21CAD,ETH21CAD,ETH21/CAD,ETH21,CAD,5,8,0.0001,online
SOL22CAD,SOL22CAD,SOL22/CAD,SOL22,CAD,5,8,0.0001,online
ADA23CAD,ADA23CAD,ADA23/CAD,ADA23,CAD,5,8,0.0001,online
DOT24CAD,DOT24CAD,DOT24/CAD,DOT24,CAD,5,8,0.0001,online
MATIC25CAD,MATIC25CAD,MATIC25/CAD,MATIC25,CAD,5,8,0.0001,online
AVAX26CAD,AVAX26CAD,AVAX26/CAD,AVAX26,CAD,5,8,0.0001,online
LINK27CAD,LINK27CAD,LINK27/CAD,LINK27,CAD,5,8,0.0001,online
UNI28CAD,UNI28CAD,UNI28/CAD,UNI28,CAD,5,8,0.0001,online
ATOM29CAD,ATOM29CAD,ATOM29/CAD,ATOM29,CAD,5,8,0.0001,online
XRP30CAD,XRP30CAD,XRP30/CAD,XRP30,CAD,5,8,0.0001,online
LTC31CAD,LTC31CAD,LTC31/CAD,LTC31,CAD,5,8,0.0001,online
BCH32CAD,BCH32CAD,BCH32/CAD,BCH32,CAD,5,8,0.0001,online
ALGO33CAD,ALGO33CAD,ALGO33/CAD,ALGO33,CAD,5,8,0.0001,online
XLM34CAD,XLM34CAD,XLM34/CAD,XLM34,CAD,5,8,0.0001,online
FIL35CAD,FIL35CAD,FIL35/CAD,FIL35,CAD,5,8,0.0001,online
NEAR36CAD,NEAR36CAD,NEAR36/CAD,NEAR36,CAD,5,8,0.0001,online
APT37CAD,APT37CAD,APT37/CAD,APT37,CAD,5,8,0.0001,online
ARB38CAD,ARB38CAD,ARB38/CAD,ARB38,CAD,5,8,0.0001,online
OP39CAD,OP39CAD,OP39/CAD,OP39,CAD,5,8,0.0001,online
BTC40CAD,BTC40CAD,BTC40/CAD,BTC40,CAD,5,8,0.0001,online
ETH41CAD,ETH41CAD,ETH41/CAD,ETH41,CAD,5,8,0.0001,online
SOL42CAD,SOL42CAD,SOL42/CAD,SOL42,CAD,5,8,0.0001,online
ADA43CAD,ADA43CAD,ADA43/CAD,ADA43,CAD,5,8,0.0001,online
DOT44CAD,DOT44CAD,DOT44/CAD,DOT44,CAD,5,8,0.0001,online
MATIC45CAD,MATIC45CAD,MATIC45/CAD,MATIC45,CAD,5,8,0.0001,online
AVAX46CAD,AVAX46CAD,AVAX46/CAD,AVAX46,CAD,5,8,0.0001,online
LINK47CAD,LINK47CAD,LINK47/CAD,LINK47,CAD,5,8,0.0001,online
UNI48CAD,UNI48CAD,UNI48/CAD,UNI48,CAD,5,8,0.0001,online
ATOM49CAD,ATOM49CAD,ATOM49/CAD,ATOM49,CAD,5,8,0.0001,online
XRP50CAD,XRP50CAD,XRP50/CAD,XRP50,CAD,5,8,0.0001,online
LTC51CAD,LTC51CAD,LTC51/CAD,LTC51,CAD,5,8,0.0001,online
BCH52CAD,BCH52CAD,BCH52/CAD,BCH52,CAD,5,8,0.0001,online
ALGO53CAD,ALGO53CAD,ALGO53/CAD,ALGO53,CAD,5,8,0.0001,online
XLM54CAD,XLM54CAD,XLM54/CAD,XLM54,CAD,5,8,0.0001,online
FIL55CAD,FIL55CAD,FIL55/CAD,FIL55,CAD,5,8,0.0001,online
NEAR56CAD,NEAR56CAD,NEAR56/CAD,NEAR56,CAD,5,8,0.0001,online
APT57CAD,APT57CAD,APT57/CAD,APT57,CAD,5,8,0.0001,online
ARB58CAD,ARB58CAD,ARB58/CAD,ARB58,CAD,5,8,0.0001,online
OP59CAD,OP59CAD,OP59/CAD,OP59,CAD,5,8,0.0001,online
BTC60CAD,BTC60CAD,BTC60/CAD,BTC60,CAD,5,8,0.0001,online
ETH61CAD,ETH61CAD,ETH61/CAD,ETH61,CAD,5,8,0.0001,online
SOL62CAD,SOL62CAD,SOL62/CAD,SOL62,CAD,5,8,0.0001,online
ADA63CAD,ADA63CAD,ADA63/CAD,ADA63,CAD,5,8,0.0001,online
DOT64CAD,DOT64CAD,DOT64/CAD,DOT64,CAD,5,8,0.0001,online
MATIC65CAD,MATIC65CAD,MATIC65/CAD,MATIC65,CAD,5,8,0.0001,online
AVAX66CAD,AVAX66CAD,AVAX66/CAD,AVAX66,CAD,5,8,0.0001,online
LINK67CAD,LINK67CAD,LINK67/CAD,LINK67,CAD,5,8,0.0001,online
UNI68CAD,UNI68CAD,UNI68/CAD,UNI68,CAD,5,8,0.0001,online
ATOM69CAD,ATOM69CAD,ATOM69/CAD,ATOM69,CAD,5,8,0.0001,online
XRP70CAD,XRP70CAD,XRP70/CAD,XRP70,CAD,5,8,0.0001,online
LTC71CAD,LTC71CAD,LTC71/CAD,LTC71,CAD,5,8,0.0001,online
BCH72CAD,BCH72CAD,BCH72/CAD,BCH72,CAD,5,8,0.0001,online
ALGO73CAD,ALGO73CAD,ALGO73/CAD,ALGO73,CAD,5,8,0.0001,online
XLM74CAD,XLM74CAD,XLM74/CAD,XLM74,CAD,5,8,0.0001,online
FIL75CAD,FIL75CAD,FIL75/CAD,FIL75,CAD,5,8,0.0001,online
NEAR76CAD,NEAR76CAD,NEAR76/CAD,NEAR76,CAD,5,8,0.0001,online
APT77CAD,APT77CAD,APT77/CAD,APT77,CAD,5,8,0.0001,online
ARB78CAD,ARB78CAD,ARB78/CAD,ARB78,CAD,5,8,0.0001,online
OP79CAD,OP79CAD,OP79/CAD,OP79,CAD,5,8,0.0001,online
BTC80CAD,BTC80CAD,BTC80/CAD,BTC80,CAD,5,8,0.0001,online
ETH81CAD,ETH81CAD,ETH81/CAD,ETH81,CAD,5,8,0.0001,online
SOL82CAD,SOL82CAD,SOL82/CAD,SOL82,CAD,5,8,0.0001,online
ADA83CAD,ADA83CAD,ADA83/CAD,ADA83,CAD,5,8,0.0001,online
DOT84CAD,DOT84CAD,DOT84/CAD,DOT84,CAD,5,8,0.0001,online
MATIC85CAD,MATIC85CAD,MATIC85/CAD,MATIC85,CAD,5,8,0.0001,online
AVAX86CAD,AVAX86CAD,AVAX86/CAD,AVAX86,CAD,5,8,0.0001,online
LINK87CAD,LINK87CAD,LINK87/CAD,LINK87,CAD,5,8,0.0001,online
UNI88CAD,UNI88CAD,UNI88/CAD,UNI88,CAD,5,8,0.0001,online
ATOM89CAD,ATOM89CAD,ATOM89/CAD,ATOM89,CAD,5,8,0.0001,online
XRP90CAD,XRP90CAD,XRP90/CAD,XRP90,CAD,5,8,0.0001,online
LTC91CAD,LTC91CAD,LTC91/CAD,LTC91,CAD,5,8,0.0001,online
BCH92CAD,BCH92CAD,BCH92/CAD,BCH92,CAD,5,8,0.0001,online
ALGO93CAD,ALGO93CAD,ALGO93/CAD,ALGO93,CAD,5,8,0.0001,online
XLM94CAD,XLM94CAD,XLM94/CAD,XLM94,CAD,5,8,0.0001,online
FIL95CAD,FIL95CAD,FIL95/CAD,FIL95,CAD,5,8,0.0001,online
NEAR96CAD,NEAR96CAD,NEAR96/CAD,NEAR96,CAD,5,8,0.0001,online
APT97CAD,APT97CAD,APT97/CAD,APT97,CAD,5,8,0.0001,online
ARB98CAD,ARB98CAD,ARB98/CAD,ARB98,CAD,5,8,0.0001,online
OP99CAD,OP99CAD,OP99/CAD,OP99,CAD,5,8,0.0001,online
BTC100CAD,BTC100CAD,BTC100/CAD,BTC100,CAD,5,8,0.0001,online
ETH101CAD,ETH101CAD,ETH101/CAD,ETH101,CAD,5,8,0.0001,online
SOL102CAD,SOL102CAD,SOL102/CAD,SOL102,CAD,5,8,0.0001,online
ADA103CAD,ADA103CAD,ADA103/CAD,ADA103,CAD,5,8,0.0001,online
DOT104CAD,DOT104CAD,DOT104/CAD,DOT104,CAD,5,8,0.0001,online
