id,capture_id,status,amount_value,currency_code,note_to_payer,create_time
REF00000,CAP000000,COMPLETED,10.00,CAD,Partial refund,2026-03-01T00:00:00Z
REF00001,CAP000001,COMPLETED,10.00,CAD,Partial refund,2026-03-02T00:00:00Z
REF00002,CAP000002,COMPLETED,10.00,CAD,Partial refund,2026-03-03T00:00:00Z
REF00003,CAP000003,COMPLETED,10.00,CAD,Partial refund,2026-03-04T00:00:00Z
REF00004,CAP000004,COMPLETED,10.00,CAD,Partial refund,2026-03-05T00:00:00Z
REF00005,CAP000005,COMPLETED,10.00,CAD,Partial refund,2026-03-06T00:00:00Z
REF00006,CAP000006,COMPLETED,10.00,CAD,Partial refund,2026-03-07T00:00:00Z
REF00007,CAP000007,COMPLETED,10.00,CAD,Partial refund,2026-03-08T00:00:00Z
REF00008,CAP000008,COMPLETED,10.00,CAD,Partial refund,2026-03-09T00:00:00Z
REF00009,CAP000009,COMPLETED,10.00,CAD,Partial refund,2026-03-10T00:00:00Z
REF00010,CAP000010,COMPLETED,10.00,CAD,Partial refund,2026-03-11T00:00:00Z
REF00011,CAP000011,COMPLETED,10.00,CAD,Partial refund,2026-03-12T00:00:00Z
REF00012,CAP000012,COMPLETED,10.00,CAD,Partial refund,2026-03-13T00:00:00Z
REF00013,CAP000013,COMPLETED,10.00,CAD,Partial refund,2026-03-14T00:00:00Z
REF00014,CAP000014,COMPLETED,10.00,CAD,Partial refund,2026-03-15T00:00:00Z
REF00015,CAP000015,COMPLETED,10.00,CAD,Partial refund,2026-03-16T00:00:00Z
REF00016,CAP000016,COMPLETED,10.00,CAD,Partial refund,2026-03-17T00:00:00Z
REF00017,CAP000017,COMPLETED,10.00,CAD,Partial refund,2026-03-18T00:00:00Z
REF00018,CAP000018,COMPLETED,10.00,CAD,Partial refund,2026-03-19T00:00:00Z
REF00019,CAP000019,COMPLETED,10.00,CAD,Partial refund,2026-03-20T00:00:00Z
REF00020,CAP000020,COMPLETED,10.00,CAD,Partial refund,2026-03-21T00:00:00Z
REF00021,CAP000021,COMPLETED,10.00,CAD,Partial refund,2026-03-22T00:00:00Z
REF00022,CAP000022,COMPLETED,10.00,CAD,Partial refund,2026-03-23T00:00:00Z
REF00023,CAP000023,COMPLETED,10.00,CAD,Partial refund,2026-03-24T00:00:00Z
REF00024,CAP000024,COMPLETED,10.00,CAD,Partial refund,2026-03-25T00:00:00Z
REF00025,CAP000025,COMPLETED,10.00,CAD,Partial refund,2026-03-26T00:00:00Z
REF00026,CAP000026,COMPLETED,10.00,CAD,Partial refund,2026-03-27T00:00:00Z
REF00027,CAP000027,COMPLETED,10.00,CAD,Partial refund,2026-03-28T00:00:00Z
REF00028,CAP000028,COMPLETED,10.00,CAD,Partial refund,2026-03-29T00:00:00Z
REF00029,CAP000029,COMPLETED,10.00,CAD,Partial refund,2026-03-30T00:00:00Z
REF00030,CAP000030,COMPLETED,10.00,CAD,Partial refund,2026-03-31T00:00:00Z
REF00031,CAP000031,COMPLETED,10.00,CAD,Partial refund,2026-04-01T00:00:00Z
REF00032,CAP000032,COMPLETED,10.00,CAD,Partial refund,2026-04-02T00:00:00Z
REF00033,CAP000033,COMPLETED,10.00,CAD,Partial refund,2026-04-03T00:00:00Z
REF00034,CAP000034,COMPLETED,10.00,CAD,Partial refund,2026-04-04T00:00:00Z
REF00035,CAP000035,COMPLETED,10.00,CAD,Partial refund,2026-04-05T00:00:00Z
REF00036,CAP000036,COMPLETED,10.00,CAD,Partial refund,2026-04-06T00:00:00Z
REF00037,CAP000037,COMPLETED,10.00,CAD,Partial refund,2026-04-07T00:00:00Z
REF00038,CAP000038,COMPLETED,10.00,CAD,Partial refund,2026-04-08T00:00:00Z
REF00039,CAP000039,COMPLETED,10.00,CAD,Partial refund,2026-04-09T00:00:00Z
REF00040,CAP000040,COMPLETED,10.00,CAD,Partial refund,2026-04-10T00:00:00Z
REF00041,CAP000041,COMPLETED,10.00,CAD,Partial refund,2026-04-11T00:00:00Z
