id,order_id,customer_id,amount,currency,status,source_type,location_id,receipt_number,created_at
SQPAY00000,SQORD00000,SQCUS00000,1200,CAD,COMPLETED,CARD,LOC001,R00000,2026-06-01T00:00:00Z
SQPAY00001,SQORD00001,SQCUS00001,1200,CAD,COMPLETED,CARD,LOC001,R00001,2026-06-01T04:00:00Z
SQPAY00002,SQORD00002,SQCUS00002,1200,CAD,COMPLETED,CARD,LOC001,R00002,2026-06-01T08:00:00Z
SQPAY00003,SQORD00003,SQCUS00003,1200,CAD,COMPLETED,CARD,LOC001,R00003,2026-06-01T12:00:00Z
SQPAY00004,SQORD00004,SQCUS00004,1200,CAD,COMPLETED,CARD,LOC001,R00004,2026-06-01T16:00:00Z
SQPAY00005,SQORD00005,SQCUS00005,1200,CAD,COMPLETED,CARD,LOC001,R00005,2026-06-01T20:00:00Z
SQPAY00006,SQORD00006,SQCUS00006,1200,CAD,COMPLETED,CARD,LOC001,R00006,2026-06-02T00:00:00Z
SQPAY00007,SQORD00007,SQCUS00007,1200,CAD,COMPLETED,CARD,LOC001,R00007,2026-06-02T04:00:00Z
SQPAY00008,SQORD00008,SQCUS00008,1200,CAD,COMPLETED,CARD,LOC001,R00008,2026-06-02T08:00:00Z
SQPAY00009,SQORD00009,SQCUS00009,1200,CAD,COMPLETED,CARD,LOC001,R00009,2026-06-02T12:00:00Z
SQPAY00010,SQORD00010,SQCUS00010,1200,CAD,COMPLETED,CARD,LOC001,R00010,2026-06-02T16:00:00Z
SQPAY00011,SQORD00011,SQCUS00011,1200,CAD,COMPLETED,CARD,LOC001,R00011,2026-06-02T20:00:00Z
SQPAY00012,SQORD00012,SQCUS00012,1200,CAD,COMPLETED,CARD,LOC001,R00012,2026-06-03T00:00:00Z
SQPAY00013,SQORD00013,SQCUS00013,1200,CAD,COMPLETED,CARD,LOC001,R00013,2026-06-03T04:00:00Z
SQPAY00014,SQORD00014,SQCUS00014,1200,CAD,COMPLETED,CARD,LOC001,R00014,2026-06-03T08:00:00Z
SQPAY00015,SQORD00015,SQCUS00015,1200,CAD,COMPLETED,CARD,LOC001,R00015,2026-06-03T12:00:00Z
SQPAY00016,SQORD00016,SQCUS00016,1200,CAD,COMPLETED,CARD,LOC001,R00016,2026-06-03T16:00:00Z
SQPAY00017,SQORD00017,SQCUS00017,1200,CAD,COMPLETED,CARD,LOC001,R00017,2026-06-03T20:00:00Z
SQPAY00018,SQORD00018,SQCUS00018,1200,CAD,COMPLETED,CARD,LOC001,R00018,2026-06-04T00:00:00Z
SQPAY00019,SQORD00019,SQCUS00019,1200,CAD,COMPLETED,CARD,LOC001,R00019,2026-06-04T04:00:00Z
SQPAY00020,SQORD00020,SQCUS00020,1200,CAD,COMPLETED,CARD,LOC001,R00020,2026-06-04T08:00:00Z
SQPAY00021,SQORD00021,SQCUS00021,1200,CAD,COMPLETED,CARD,LOC001,R00021,2026-06-04T12:00:00Z
SQPAY00022,SQORD00022,SQCUS00022,1200,CAD,COMPLETED,CARD,LOC001,R00022,2026-06-04T16:00:00Z
SQPAY00023,SQORD00023,SQCUS00023,1200,CAD,COMPLETED,CARD,LOC001,R00023,2026-06-04T20:00:00Z
SQPAY00024,SQORD00024,SQCUS00024,1200,CAD,COMPLETED,CARD,LOC001,R00024,2026-06-05T00:00:00Z
SQPAY00025,SQORD00025,SQCUS00025,1200,CAD,COMPLETED,CARD,LOC001,R00025,2026-06-05T04:00:00Z
SQPAY00026,SQORD00026,SQCUS00026,1200,CAD,COMPLETED,CARD,LOC001,R00026,2026-06-05T08:00:00Z
SQPAY00027,SQORD00027,SQCUS00027,1200,CAD,COMPLETED,CARD,LOC001,R00027,2026-06-05T12:00:00Z
SQPAY00028,SQORD00028,SQCUS00028,1200,CAD,COMPLETED,CARD,LOC001,R00028,2026-06-05T16:00:00Z
SQPAY00029,SQORD00029,SQCUS00029,1200,CAD,COMPLETED,CARD,LOC001,R00029,2026-06-05T20:00:00Z
SQPAY00030,SQORD00030,SQCUS00030,1200,CAD,COMPLETED,CARD,LOC001,R00030,2026-06-06T00:00:00Z
SQPAY00031,SQORD00031,SQCUS00031,1200,CAD,COMPLETED,CARD,LOC001,R00031,2026-06-06T04:00:00Z
SQPAY00032,SQORD00032,SQCUS00032,1200,CAD,COMPLETED,CARD,LOC001,R00032,2026-06-06T08:00:00Z
SQPAY00033,SQORD00033,SQCUS00033,1200,CAD,COMPLETED,CARD,LOC001,R00033,2026-06-06T12:00:00Z
SQPAY00034,SQORD00034,SQCUS00034,1200,CAD,COMPLETED,CARD,LOC001,R00034,2026-06-06T16:00:00Z
SQPAY00035,SQORD00035,SQCUS00035,1200,CAD,COMPLETED,CARD,LOC001,R00035,2026-06-06T20:00:00Z
SQPAY00036,SQORD00036,SQCUS00036,1200,CAD,COMPLETED,CARD,LOC001,R00036,2026-06-07T00:00:00Z
SQPAY00037,SQORD00037,SQCUS00037,1200,CAD,COMPLETED,CARD,LOC001,R00037,2026-06-07T04:00:00Z
SQPAY00038,SQORD00038,SQCUS00038,1200,CAD,COMPLETED,CARD,LOC001,R00038,2026-06-07T08:00:00Z
SQPAY00039,SQORD00039,SQCUS00039,1200,CAD,COMPLETED,CARD,LOC001,R00039,2026-06-07T12:00:00Z
SQPAY00040,SQORD00040,SQCUS00040,1200,CAD,COMPLETED,CARD,LOC001,R00040,2026-06-07T16:00:00Z
SQPAY00041,SQORD00041,SQCUS00041,1200,CAD,COMPLETED,CARD,LOC001,R00041,2026-06-07T20:00:00Z
SQPAY00042,SQORD00042,SQCUS00042,1200,CAD,COMPLETED,CARD,LOC001,R00042,2026-06-08T00:00:00Z
SQPAY00043,SQORD00043,SQCUS00043,1200,CAD,COMPLETED,CARD,LOC001,R00043,2026-06-08T04:00:00Z
SQPAY00044,SQORD00044,SQCUS00044,1200,CAD,COMPLETED,CARD,LOC001,R00044,2026-06-08T08:00:00Z
SQPAY00045,SQORD00045,SQCUS00045,1200,CAD,COMPLETED,CARD,LOC001,R00045,2026-06-08T12:00:00Z
SQPAY00046,SQORD00046,SQCUS00046,1200,CAD,COMPLETED,CARD,LOC001,R00046,2026-06-08T16:00:00Z
SQPAY00047,SQORD00047,SQCUS00047,1200,CAD,COMPLETED,CARD,LOC001,R00047,2026-06-08T20:00:00Z
SQPAY00048,SQORD00048,SQCUS00048,1200,CAD,COMPLETED,CARD,LOC001,R00048,2026-06-09T00:00:00Z
SQPAY00049,SQORD00049,SQCUS00049,1200,CAD,COMPLETED,CARD,LOC001,R00049,2026-06-09T04:00:00Z
SQPAY00050,SQORD00050,SQCUS00050,1200,CAD,COMPLETED,CARD,LOC001,R00050,2026-06-09T08:00:00Z
SQPAY00051,SQORD00051,SQCUS00051,1200,CAD,COMPLETED,CARD,LOC001,R00051,2026-06-09T12:00:00Z
SQPAY00052,SQORD00052,SQCUS00052,1200,CAD,COMPLETED,CARD,LOC001,R00052,2026-06-09T16:00:00Z
SQPAY00053,SQORD00053,SQCUS00053,1200,CAD,COMPLETED,CARD,LOC001,R00053,2026-06-09T20:00:00Z
SQPAY00054,SQORD00054,SQCUS00054,1200,CAD,COMPLETED,CARD,LOC001,R00054,2026-06-10T00:00:00Z
SQPAY00055,SQORD00055,SQCUS00055,1200,CAD,COMPLETED,CARD,LOC001,R00055,2026-06-10T04:00:00Z
SQPAY00056,SQORD00056,SQCUS00056,1200,CAD,COMPLETED,CARD,LOC001,R00056,2026-06-10T08:00:00Z
SQPAY00057,SQORD00057,SQCUS00057,1200,CAD,COMPLETED,CARD,LOC001,R00057,2026-06-10T12:00:00Z
SQPAY00058,SQORD00058,SQCUS00058,1200,CAD,COMPLETED,CARD,LOC001,R00058,2026-06-10T16:00:00Z
SQPAY00059,SQORD00059,SQCUS00059,1200,CAD,COMPLETED,CARD,LOC001,R00059,2026-06-10T20:00:00Z
SQPAY00060,SQORD00060,SQCUS00060,1200,CAD,COMPLETED,CARD,LOC001,R00060,2026-06-11T00:00:00Z
SQPAY00061,SQORD00061,SQCUS00061,1200,CAD,COMPLETED,CARD,LOC001,R00061,2026-06-11T04:00:00Z
SQPAY00062,SQORD00062,SQCUS00062,1200,CAD,COMPLETED,CARD,LOC001,R00062,2026-06-11T08:00:00Z
SQPAY00063,SQORD00063,SQCUS00063,1200,CAD,COMPLETED,CARD,LOC001,R00063,2026-06-11T12:00:00Z
SQPAY00064,SQORD00064,SQCUS00064,1200,CAD,COMPLETED,CARD,LOC001,R00064,2026-06-11T16:00:00Z
SQPAY00065,SQORD00065,SQCUS00065,1200,CAD,COMPLETED,CARD,LOC001,R00065,2026-06-11T20:00:00Z
SQPAY00066,SQORD00066,SQCUS00066,1200,CAD,COMPLETED,CARD,LOC001,R00066,2026-06-12T00:00:00Z
