id,product,unit_amount,currency,recurring_interval,active,nickname
price_0000,prod_0000,1999,cad,year,true,Plan 0
price_0001,prod_0001,1999,cad,year,true,Plan 1
price_0002,prod_0002,9900,cad,,true,Plan 2
price_0003,prod_0003,1999,cad,month,true,Plan 3
price_0004,prod_0004,1999,cad,year,true,Plan 4
price_0005,prod_0005,999,cad,year,true,Plan 5
price_0006,prod_0006,9900,cad,year,true,Plan 6
price_0007,prod_0007,4999,cad,month,true,Plan 7
price_0008,prod_0008,999,cad,,true,Plan 8
price_0009,prod_0009,4999,cad,,true,Plan 9
price_0010,prod_0010,1999,cad,year,true,Plan 10
price_0011,prod_0011,9900,cad,month,true,Plan 11
price_0012,prod_0012,999,cad,month,true,Plan 12
price_0013,prod_0013,999,cad,year,true,Plan 13
price_0014,prod_0014,999,cad,year,true,Plan 14
price_0015,prod_0015,1999,cad,month,true,Plan 15
price_0016,prod_0016,999,cad,year,true,Plan 16
price_0017,prod_0017,999,cad,year,true,Plan 17
price_0018,prod_0018,999,cad,month,true,Plan 18
price_0019,prod_0019,999,cad,month,true,Plan 19
price_0020,prod_0020,1999,cad,,true,Plan 20
price_0021,prod_0021,1999,cad,year,true,Plan 21
price_0022,prod_0022,999,cad,,true,Plan 22
price_0023,prod_0023,9900,cad,year,true,Plan 23
price_0024,prod_0024,9900,cad,,true,Plan 24
price_0025,prod_0025,9900,cad,,true,Plan 25
price_0026,prod_0026,999,cad,,true,Plan 26
price_0027,prod_0027,999,cad,,true,Plan 27
price_0028,prod_0028,1999,cad,,true,Plan 28
price_0029,prod_0029,1999,cad,,true,Plan 29
price_0030,prod_0000,1999,cad,month,true,Plan 30
price_0031,prod_0001,9900,cad,year,true,Plan 31
price_0032,prod_0002,1999,cad,month,true,Plan 32
price_0033,prod_0003,1999,cad,month,true,Plan 33
price_0034,prod_0004,1999,cad,,true,Plan 34
price_0035,prod_0005,999,cad,,true,Plan 35
price_0036,prod_0006,4999,cad,,true,Plan 36
price_0037,prod_0007,999,cad,year,true,Plan 37
price_0038,prod_0008,4999,cad,month,true,Plan 38
price_0039,prod_0009,1999,cad,year,true,Plan 39
price_ext00040,prod_ext0000,500,cad,month,true,Plan 40
price_ext00041,prod_ext0001,5000,cad,month,true,Plan 41
price_ext00042,prod_ext0002,500,cad,year,true,Plan 42
price_ext00043,prod_ext0003,2500,cad,year,true,Plan 43
price_ext00044,prod_ext0004,5000,cad,year,true,Plan 44
price_ext00045,prod_ext0005,1000,cad,,true,Plan 45
