id,channel_id,author_id,author_username,content,timestamp,pinned
M_DSC_TARA_TRAVEL_01,CH_CBRA_TRAVEL,U_TARA_REDHAWK,tara.redhawk,Anyone hauling Tumalo -> Madras early Sat? @midori.kelley I'm leaving 6am from my place if you want to convoy,2026-10-19T22:14:00Z,False
M_DSC_MK_TRAVEL_01,CH_CBRA_TRAVEL,9871224400110055,midori.kelley,Yes please. Hikari + Sundowner 2H. I'll text you on personal. Meeting at Madras Cafe for biscuits before load-in.,2026-10-19T22:31:00Z,False
M_DSC_MOD_MADRAS_01,CH_CBRA_MADRAS_FINAL,U_CBRA_MOD_001,cbra.dmunro,ADDENDUM 2026-10-22: gate-in moved to 09:30 AM Pacific (was 09:00). Body of confirmation PDFs is OUT OF DATE - 09:30 SUPERSEDES 09:00. Please update your printouts.,2026-10-22T15:02:00Z,True
M_DSC_MK_MADRAS_01,CH_CBRA_MADRAS_FINAL,9871224400110055,midori.kelley,Confirmed - updated my checklist. Hauling with @tara.redhawk,2026-10-22T16:18:00Z,False
M_DSC_VET_BVD_01,CH_VET_BOVINE_BOOSTERS,U_VET_MOD_001,drchen.equine,Reminder: vendor lead times for Zoetis fall boosters are running 5+ weeks on the IBR/BVD bolus SKU. Plan your Q4 orders accordingly. De-identified discussion only.,2026-09-04T17:40:00Z,True
M_AUTO_00001,CH_VET_BOVINE_BOOSTERS,9871224400110055,midori.kelley,Anyone hauling Tumalo -> Madras early Sat?,2026-10-03T22:43:00.000Z,True
M_AUTO_00002,CH_CBRA_GENERAL,9871224400110055,midori.kelley,Anyone hauling Tumalo -> Madras early Sat?,2025-04-17T23:19:00.000Z,True
M_AUTO_00003,CH_CBRA_TRAVEL,9871224400110055,midori.kelley,Posting my time: Open 4D / 17.18 / placed 2nd,2025-11-11T22:46:00.000Z,False
M_AUTO_00004,CH_CBRA_GEAR,U_CBRA_DMUNRO,cbra.dmunro,Anyone hauling Tumalo -> Madras early Sat?,2025-01-27T22:19:00.000Z,False
M_AUTO_00005,CH_CBRA_GEAR,9871224400110055,midori.kelley,Anyone hauling Tumalo -> Madras early Sat?,2026-02-03T22:12:00.000Z,True
M_AUTO_00006,CH_CBRA_GEAR,U_DRCHEN_EQUINE,drchen.equine,Reminder: Zoetis fall booster lead times 5+ weeks. De-identified only.,2025-05-21T23:15:00.000Z,False
M_AUTO_00007,CH_CBRA_GEAR,U_TARA_REDHAWK,tara.redhawk,Best pads for a high-withered mare?,2024-06-23T21:16:00.000Z,False
M_AUTO_00008,CH_CBRA_GEAR,U_TARA_REDHAWK,tara.redhawk,Anyone hauling Tumalo -> Madras early Sat?,2024-11-06T10:33:00.000Z,False
M_AUTO_00009,CH_CBRA_GENERAL,U_TARA_REDHAWK,tara.redhawk,"Season-best 17.18 at Redmond, so proud of her",2026-08-30T07:57:00.000Z,True
M_AUTO_00010,CH_CBRA_GENERAL,U_CBRA_DMUNRO,cbra.dmunro,"Convoy leaving 6am, meet at the park & ride",2024-04-08T21:59:00.000Z,False
M_AUTO_00011,CH_CBRA_RESULTS,U_TARA_REDHAWK,tara.redhawk,Reminder: Zoetis fall booster lead times 5+ weeks. De-identified only.,2026-04-20T23:28:00.000Z,False
M_AUTO_00012,CH_CBRA_TRAVEL,U_DRCHEN_EQUINE,drchen.equine,Hikari felt great in the warm-up pen,2026-04-17T21:26:00.000Z,False
M_AUTO_00013,CH_CBRA_TRAVEL,U_DRCHEN_EQUINE,drchen.equine,Great ground at Sisters this year,2025-11-02T14:40:00.000Z,False
M_AUTO_00014,CH_VET_BOVINE_BOOSTERS,9871224400110055,midori.kelley,Reminder: Zoetis fall booster lead times 5+ weeks. De-identified only.,2026-07-18T08:58:00.000Z,False
M_AUTO_00015,CH_CBRA_GEAR,U_CBRA_DMUNRO,cbra.dmunro,Anyone hauling Tumalo -> Madras early Sat?,2026-02-16T16:23:00.000Z,False
M_AUTO_00016,CH_CBRA_GENERAL,9871224400110055,midori.kelley,Anyone hauling Tumalo -> Madras early Sat?,2026-03-27T13:06:00.000Z,False
M_AUTO_00017,CH_VET_BOVINE_BOOSTERS,9871224400110055,midori.kelley,"Gate-in is 09:30 per the addendum, not 09:00",2025-01-26T23:29:00.000Z,False
M_AUTO_00018,CH_CBRA_TRAVEL,U_DRCHEN_EQUINE,drchen.equine,"Convoy leaving 6am, meet at the park & ride",2025-06-01T09:36:00.000Z,True
M_AUTO_00019,CH_CBRA_GENERAL,U_DRCHEN_EQUINE,drchen.equine,Reminder: Zoetis fall booster lead times 5+ weeks. De-identified only.,2024-04-30T21:34:00.000Z,False
M_AUTO_00020,CH_CBRA_RESULTS,U_DRCHEN_EQUINE,drchen.equine,Best pads for a high-withered mare?,2025-04-19T12:16:00.000Z,False
M_AUTO_00021,CH_CBRA_GENERAL,U_CBRA_DMUNRO,cbra.dmunro,Best pads for a high-withered mare?,2026-05-31T16:47:00.000Z,True
M_AUTO_00022,CH_VET_BOVINE_BOOSTERS,9871224400110055,midori.kelley,Posting my time: Open 4D / 17.18 / placed 2nd,2025-09-16T15:13:00.000Z,False
M_AUTO_00023,CH_CBRA_RESULTS,U_DRCHEN_EQUINE,drchen.equine,Hikari felt great in the warm-up pen,2026-06-04T15:51:00.000Z,False
M_AUTO_00024,CH_CBRA_TRAVEL,U_DRCHEN_EQUINE,drchen.equine,Hikari felt great in the warm-up pen,2026-05-06T09:40:00.000Z,False
M_AUTO_00025,CH_CBRA_GENERAL,U_CBRA_DMUNRO,cbra.dmunro,Great ground at Sisters this year,2026-05-15T22:20:00.000Z,False
M_AUTO_00026,CH_CBRA_GEAR,U_DRCHEN_EQUINE,drchen.equine,Reminder: Zoetis fall booster lead times 5+ weeks. De-identified only.,2025-02-23T20:42:00.000Z,False
M_AUTO_00027,CH_CBRA_GENERAL,U_CBRA_DMUNRO,cbra.dmunro,Who's running at La Pine next weekend?,2026-03-07T18:11:00.000Z,False
M_AUTO_00028,CH_CBRA_TRAVEL,U_TARA_REDHAWK,tara.redhawk,Anyone hauling Tumalo -> Madras early Sat?,2025-08-30T21:11:00.000Z,True
M_AUTO_00029,CH_CBRA_GEAR,U_DRCHEN_EQUINE,drchen.equine,Great ground at Sisters this year,2026-08-20T10:32:00.000Z,True
