id,product,unit_amount,currency,recurring_interval,active,nickname
price_intensive,prod_cle_intensive,45000,usd,,true,Intensive $450
price_roundtable,prod_cle_roundtable,37500,usd,,true,Roundtable $375
price_202,prod_102,38500,usd,month,true,Tier 2
price_203,prod_103,39000,usd,,true,Tier 3
price_204,prod_104,39500,usd,month,true,Tier 4
price_205,prod_105,40000,usd,,true,Tier 5
price_206,prod_106,40500,usd,month,true,Tier 6
price_207,prod_107,41000,usd,,true,Tier 7
price_208,prod_108,41500,usd,month,true,Tier 8
price_209,prod_109,42000,usd,,true,Tier 9
price_210,prod_110,42500,usd,month,true,Tier 10
price_211,prod_111,43000,usd,,true,Tier 11
price_212,prod_112,43500,usd,month,true,Tier 12
price_213,prod_113,44000,usd,,true,Tier 13
price_214,prod_114,44500,usd,month,true,Tier 14
price_215,prod_115,45000,usd,,true,Tier 15
price_216,prod_cle_intensive,45500,usd,month,true,Tier 16
price_217,prod_cle_roundtable,46000,usd,,true,Tier 17
price_218,prod_102,46500,usd,month,true,Tier 18
price_219,prod_103,47000,usd,,true,Tier 19
