id,name,rating,price,category,category_title,latitude,longitude,city,state,address,phone,review_count,is_closed,image_url
yelp_001,East Glacier Feed Store,4,$,Feed Store,,0.0,0.0,,,"240 Main St, Browning MT",406-555-9172,136,false,
yelp_002,East Glacier Veterinary,1,$$,Veterinary,,0.0,0.0,,,"714 Main St, Browning MT",406-555-8168,48,false,
yelp_003,Browning Hardware,1,$$,Hardware,,0.0,0.0,,,"572 Main St, Browning MT",406-555-9841,47,false,
yelp_004,Cut Bank Restaurant,4,$,Restaurant,,0.0,0.0,,,"295 Main St, Browning MT",406-555-1463,178,false,
yelp_005,East Glacier Gas Station,0,$$,Gas Station,,0.0,0.0,,,"486 Main St, Browning MT",406-555-5238,51,false,
yelp_006,Cut Bank Grocery,5,$$,Grocery,,0.0,0.0,,,"924 Main St, Browning MT",406-555-4882,146,false,
yelp_007,East Glacier Auto Repair,3,$,Auto Repair,,0.0,0.0,,,"736 Main St, Browning MT",406-555-1629,151,false,
yelp_008,Cut Bank Church,3,$$,Church,,0.0,0.0,,,"794 Main St, Browning MT",406-555-7946,113,false,
yelp_009,Cut Bank Library,8,$$,Library,,0.0,0.0,,,"727 Main St, Browning MT",406-555-5607,33,false,
yelp_010,Cut Bank Post Office,8,$,Post Office,,0.0,0.0,,,"869 Main St, Browning MT",406-555-8809,18,false,
yelp_011,Browning Feed Store,0,$$,Feed Store,,0.0,0.0,,,"205 Main St, Browning MT",406-555-9846,43,false,
yelp_012,Browning Veterinary,9,$$,Veterinary,,0.0,0.0,,,"844 Main St, Browning MT",406-555-8601,81,false,
yelp_013,East Glacier Hardware,9,$,Hardware,,0.0,0.0,,,"879 Main St, Browning MT",406-555-7541,15,false,
yelp_014,Cut Bank Restaurant,0,$$,Restaurant,,0.0,0.0,,,"888 Main St, Browning MT",406-555-2229,158,false,
yelp_015,Cut Bank Gas Station,0,$$,Gas Station,,0.0,0.0,,,"235 Main St, Browning MT",406-555-5878,107,false,
yelp_016,Cut Bank Grocery,2,$,Grocery,,0.0,0.0,,,"430 Main St, Browning MT",406-555-4342,94,false,
yelp_017,East Glacier Auto Repair,6,$$,Auto Repair,,0.0,0.0,,,"748 Main St, Browning MT",406-555-1836,105,false,
yelp_018,Cut Bank Church,5,$$,Church,,0.0,0.0,,,"965 Main St, Browning MT",406-555-8974,198,false,
yelp_019,East Glacier Library,7,$,Library,,0.0,0.0,,,"871 Main St, Browning MT",406-555-7920,182,false,
yelp_020,Cut Bank Post Office,7,$$,Post Office,,0.0,0.0,,,"393 Main St, Browning MT",406-555-1950,56,false,
yelp_021,East Glacier Feed Store,5,$$,Feed Store,,0.0,0.0,,,"881 Main St, Browning MT",406-555-4140,188,false,
yelp_022,Cut Bank Veterinary,6,$,Veterinary,,0.0,0.0,,,"177 Main St, Browning MT",406-555-2273,65,false,
yelp_023,East Glacier Hardware,7,$$,Hardware,,0.0,0.0,,,"273 Main St, Browning MT",406-555-1322,32,false,
yelp_024,East Glacier Restaurant,8,$$,Restaurant,,0.0,0.0,,,"202 Main St, Browning MT",406-555-9662,161,false,
yelp_025,East Glacier Gas Station,0,$,Gas Station,,0.0,0.0,,,"543 Main St, Browning MT",406-555-7634,31,false,
yelp_026,Cut Bank Grocery,6,$$,Grocery,,0.0,0.0,,,"400 Main St, Browning MT",406-555-7011,189,false,
yelp_027,Cut Bank Auto Repair,4,$$,Auto Repair,,0.0,0.0,,,"663 Main St, Browning MT",406-555-5629,65,false,
yelp_028,Browning Church,8,$,Church,,0.0,0.0,,,"406 Main St, Browning MT",406-555-2774,179,false,
yelp_029,Browning Library,3,$$,Library,,0.0,0.0,,,"760 Main St, Browning MT",406-555-6533,27,false,
yelp_030,Cut Bank Post Office,0,$$,Post Office,,0.0,0.0,,,"535 Main St, Browning MT",406-555-9647,64,false,
biz_031,Mountain Cafe,2,$$$,shopping,Shopping,49.2042,-112.6798,Browning,MT,119 Main St,(406) 555-5792,101,false,
biz_032,Frontier Pizza,9,$,services,Services,49.3077,-113.0307,Great Falls,MT,644 Main St,(406) 555-2442,50,false,
biz_033,Frontier Bakery,9,$$$,shopping,Shopping,47.5430,-113.5052,Great Falls,MT,412 Main St,(406) 555-6465,128,false,
biz_034,Rocky Restaurant,4,$$,restaurants,Restaurants,48.2108,-113.3953,Great Falls,MT,382 Main St,(406) 555-2015,68,false,
biz_035,Rocky Diner,9,$,services,Services,47.8034,-112.2056,Cut Bank,MT,189 Main St,(406) 555-7262,136,false,
biz_036,Wolf Grill,1,$,shopping,Shopping,48.3529,-113.3752,Great Falls,MT,437 Main St,(406) 555-8359,141,false,
biz_037,Prairie Grill,8,$$$,automotive,Automotive,48.8681,-113.5954,Cut Bank,MT,416 Main St,(406) 555-9582,37,false,
biz_038,Rocky Restaurant,8,$,automotive,Automotive,48.1350,-112.8853,Browning,MT,288 Main St,(406) 555-6203,40,false,
biz_039,Mountain Steakhouse,9,$$,shopping,Shopping,48.3860,-112.1325,East Glacier,MT,255 Main St,(406) 555-4079,30,false,
biz_040,Prairie Restaurant,4,$$$,restaurants,Restaurants,48.7339,-112.7888,Great Falls,MT,336 Main St,(406) 555-4804,62,false,
biz_041,Mountain Steakhouse,2,$$,restaurants,Restaurants,47.7682,-112.3077,Shelby,MT,829 Main St,(406) 555-7126,50,false,
