Item	Qty	Unit	Unit_Price_USD	Line_Total_USD	Store	Section
Black beans dry	2	lb	2.49	4.98	Taylor's Market	Pantry
Smoked pork shoulder	3	lb	4.99	14.97	Taylor's Market	Meat
Linguica sausage	1.5	lb	7.49	11.24	Taylor's Market	Meat
Smoked bacon	0.5	lb	6.99	3.50	Taylor's Market	Meat
Carne seca dried beef	1	lb	12.99	12.99	Taylor's Market	Meat
Collard greens	2	bunch	2.29	4.58	Taylor's Market	Produce
Navel oranges	6	ea	0.69	4.14	Taylor's Market	Produce
White rice	1	bag	5.49	5.49	Taylor's Market	Pantry
Yellow onion	3	ea	0.79	2.37	Taylor's Market	Produce
Garlic	2	head	0.89	1.78	Taylor's Market	Produce
Bay leaves	1	jar	3.99	3.99	Taylor's Market	Pantry
Cassava flour farofa	1	bag	4.49	4.49	Taylor's Market	Pantry
Tapioca starch polvilho	2	bag	3.99	7.98	Taylor's Market	Baking
Minas style cheese	1	lb	8.99	8.99	Taylor's Market	Dairy
Eggs	1	dozen	4.29	4.29	Taylor's Market	Dairy
Whole milk	1	gal	4.59	4.59	Taylor's Market	Dairy
Sweetened condensed milk	2	can	1.99	3.98	Taylor's Market	Baking
Cocoa powder	1	box	4.49	4.49	Taylor's Market	Baking
Chocolate sprinkles	1	bag	3.49	3.49	Taylor's Market	Baking
SUBTOTAL				112.33	Taylor's Market
TOTAL				112.33	Taylor's Market	CA grocery food tax exempt
