id,name,id_card,id_board,items
64x7jshrb09ickrv67i892fl,QA,580z14kkaoz65xfow66bzsdx,vmurybhqcrlzt8msn9lb2bzn,[ ] Cross-check with Trello|[ ] Tag in Airtable
96rver5nhikke3nkv7318dft,QA,qtwn4o13mt09vydczcffk1u7,vmurybhqcrlzt8msn9lb2bzn,[ ] Merge to main|[x] Ravi drops draft
670rj7ev9vvlfrxxrg8xe21y,Delivery,mv4ja2cvxluo62nilzm25wzz,vmurybhqcrlzt8msn9lb2bzn,[ ] Bounce final wav|[x] PR opened
lq7ubhhdhx8c59x7w4kje33x,Steps,um49cj2ymkx6b8z7q7x6as6m,vmurybhqcrlzt8msn9lb2bzn,[ ] File in Notion|[ ] Tag in Airtable
o1zrkq8hmj3yxbuabvplzjd6,Sign-off,qqlp47acukby7y60pzucw20d,rjfkz3c00bhzr8uttvoh5uup,[x] File in Notion|[ ] Tag in Airtable|[ ] Add to weekly log
rlaxvgl8zjnobygxfr990sdr,Steps,e2ghz22jhc432plt4w1h52qx,rjfkz3c00bhzr8uttvoh5uup,[ ] File in Notion|[x] Tag in Airtable|[ ] Cross-check with Trello
7us1mcaa31k6vxshogynlxkn,Milestone tasks,zf2f0gtpjx0z0emqxphnv7wx,rjfkz3c00bhzr8uttvoh5uup,[ ] File in Notion|[x] Add to weekly log
ue7t5m3o4iffsxyvyu8o72h9,Pre-flight,21ifql8tt398b87gbksjhoft,rjfkz3c00bhzr8uttvoh5uup,[ ] File in Notion|[ ] Cross-check with Trello
0ulkdbvhmas2clcqafx6bofn,Sign-off,38oe9mij0mts9jjccfjahg99,rjfkz3c00bhzr8uttvoh5uup,[ ] File in Notion|[ ] Tag in Airtable
6swlgtmg7o4vm7cvwdl2925c,QA,efdg57vmx0xv1n7ws93emsjt,nd02l988lu483vdgn007c618,[ ] File in Notion|[ ] Tag in Airtable|[x] Add to weekly log
zkdarx7xqrmq5hzfh2zpq4ri,Sign-off,kxg12ulnuicfticv3nfrgz2f,nd02l988lu483vdgn007c618,[ ] Tag in Airtable|[ ] Add to weekly log
p7mqu1pirx8fw82ilnenu976,Delivery,3yidb05gojcpqnvw59ki7htm,nd02l988lu483vdgn007c618,[ ] File in Notion|[ ] Tag in Airtable|[ ] Add to weekly log
mvclj3e5zjuu422clqxuzi87,QA,jfi6rvhftinbxheruop0m3sv,nd02l988lu483vdgn007c618,[x] File in Notion|[x] Add to weekly log|[ ] Tag in Airtable|[x] Cross-check with Trello
1l0pbxqdfgvasmvsd6kbso53,Milestone tasks,f6mkh7cu6qu5qj1fmbzybll7,nd02l988lu483vdgn007c618,[x] Cross-check with Trello|[ ] File in Notion|[ ] Add to weekly log|[ ] Tag in Airtable
dlppy9pw8b31zswc5ekpcpw1,Milestone tasks,q4ugc4k6cowti0nxslzupocs,nd02l988lu483vdgn007c618,[ ] Bounce final wav|[x] Merge to main
qelcrtzadguh72remde8c5q2,Sign-off,wyobniyq5rumwtkdcoxmfwxj,srqrlky4qf51lq6goakt4giy,[x] Tag in Airtable|[x] Cross-check with Trello|[x] File in Notion|[x] Add to weekly log
o0f9on2z10weiqlhpympfoaq,Delivery,c704fjwisjof2ow2kac5bsor,srqrlky4qf51lq6goakt4giy,[ ] Add to weekly log|[x] Tag in Airtable
5l4hkzqe58821zjahxtiy4zi,Steps,n74unfw2kvl115s02ygid69i,srqrlky4qf51lq6goakt4giy,[ ] File in Notion|[x] Add to weekly log|[x] Tag in Airtable|[x] Cross-check with Trello
nr6bf7mu6b8rzzb0edlkemdi,Steps,z5zz23psb0tpip705jiaoofa,y5ydagxoymm0xteo9cn2upmh,[ ] Tag in Airtable|[ ] Add to weekly log
vkhioqhxt7y3b8apsjyrgwt7,QA,3b5oa4h6trdvi8xvtyq1gxk4,y5ydagxoymm0xteo9cn2upmh,[x] File in Notion|[x] Add to weekly log|[ ] Cross-check with Trello|[x] Tag in Airtable
1bynx3hhnue7gqal8uamzwzf,Delivery,ocax5zmwnb8f9skmgnedbbei,y5ydagxoymm0xteo9cn2upmh,[ ] Cross-check with Trello|[ ] Tag in Airtable|[ ] File in Notion|[x] Add to weekly log
evz24xt62lsxgw30v0pisxrd,Steps,bt195kv242v1newnrlagzb20,f3hicyg3wpwtow41lvrzhvcf,[ ] File in Notion|[x] Add to weekly log
seqt6aw0mitovzsa0wdwnmhb,Pre-flight,a4egwdum85adkjofd9s8x6kg,f3hicyg3wpwtow41lvrzhvcf,[x] Tag in Airtable|[ ] Add to weekly log|[ ] File in Notion
43rnntz3oxjo2rq4h3h8cttn,QA,d2nstrlfsu305ll9ufup8suu,0gimhdujpn1blj8ntry4y4mc,[ ] File in Notion|[x] Tag in Airtable
q17jfou3wr5tz463gmv69hem,Sign-off,6qq17thlnj6qwqetwl6p8y03,0gimhdujpn1blj8ntry4y4mc,[ ] Add to weekly log|[x] Tag in Airtable|[x] File in Notion
ylrghgev6rep451koyv2rj4i,QA,tpor02gfn2guxegd4ayeth5i,36fpiijtnojz330dwghj4goo,[ ] Tag in Airtable|[ ] File in Notion|[ ] Add to weekly log|[x] Cross-check with Trello
en1zv7y3mak5pjbaz0derrxx,QA,wd1yjft379h81gjtzt8hkpwe,36fpiijtnojz330dwghj4goo,[x] Add to weekly log|[ ] Tag in Airtable|[ ] Cross-check with Trello
g3xmfm28rw2g9ftv6qv8hga5,Steps,ecusaa1lqqhfhpezdww3j5cy,36fpiijtnojz330dwghj4goo,[x] Merge to main|[ ] Angela reviews|[x] PR opened|[ ] Ravi drops draft|[x] Bounce final wav
a57n6cmowse6p3s9absf9no0,Steps,pjdtiaw83ok4tvyuww2apokg,36fpiijtnojz330dwghj4goo,[x] Add to weekly log|[ ] Tag in Airtable
lf5eg6n0r5ywk9pvwt4fmtny,Sign-off,znch94599n8swfk7rek1ud0y,36fpiijtnojz330dwghj4goo,[x] Cross-check with Trello|[ ] Tag in Airtable|[x] File in Notion|[x] Add to weekly log
kxeikxvbjvgybpk9jl1sgllu,Sign-off,foqp94046vm5l7galctnad0u,36fpiijtnojz330dwghj4goo,[x] Ravi drops draft|[ ] Bounce final wav|[ ] Angela reviews|[x] Merge to main|[x] PR opened
qffm26kwigzekh0f9r9lafw3,Pre-flight,gmdwv9gks65bl4vv44c4a1z6,36fpiijtnojz330dwghj4goo,[x] Ravi drops draft|[ ] Bounce final wav|[x] Merge to main
el91h7yr71twf9mfednt8mat,Sign-off,0ags119ng6qiwhi4iq7p2f6k,36fpiijtnojz330dwghj4goo,[x] Ravi drops draft|[ ] PR opened|[x] Angela reviews|[ ] Bounce final wav
zd6c4ik2hmj5zk6vd6gytrg6,Steps,g7lchfvhqghxbkujq2ntke0r,36fpiijtnojz330dwghj4goo,[ ] Tag in Airtable|[x] Add to weekly log
barls11e2m0gaqememdb12zo,QA,1cdakomvbaj5aim7cdqlmw80,36fpiijtnojz330dwghj4goo,[x] Cross-check with Trello|[x] Tag in Airtable
ejp85kertqybjetfinzqu78j,Delivery,pbge8gwihc0p1yj2mtnw90g2,36fpiijtnojz330dwghj4goo,[x] Tag in Airtable|[ ] Cross-check with Trello|[x] File in Notion|[ ] Add to weekly log
48jlyxpqz1sz709inddegli4,Delivery,i1yriyytiasb3ikf6rsvh4zq,36fpiijtnojz330dwghj4goo,[x] File in Notion|[x] Add to weekly log
fbdzosbis466nn25umlj5gsi,Milestone tasks,229qwu2i0r1xvgpiu297ziw0,36fpiijtnojz330dwghj4goo,[ ] Tag in Airtable|[ ] Add to weekly log
tcrn5nqzz8bvqyaylfqbm1rk,Steps,36a6waxf72kh8731azdv4i24,36fpiijtnojz330dwghj4goo,[ ] Tag in Airtable|[x] Cross-check with Trello
9r0w4gwklc8yx1tysqdnex0e,Pre-flight,wvw72eb09syknuo8dnybqcyc,36fpiijtnojz330dwghj4goo,[x] Tag in Airtable|[ ] File in Notion|[x] Cross-check with Trello|[x] Add to weekly log
j4gs63z5z294uep18t3llhyq,Steps,lp3i9y4p75ez86qsvc1vary2,36fpiijtnojz330dwghj4goo,[ ] File in Notion|[x] Cross-check with Trello|[ ] Add to weekly log
kisyl8dmv35qh3f9k60xukwp,Pre-flight,dk381mp38zq67qigk9wjmtlx,36fpiijtnojz330dwghj4goo,[x] File in Notion|[ ] Cross-check with Trello|[ ] Add to weekly log|[x] Tag in Airtable
gjyqstjvj87wkuuxjrjecr6u,Steps,q23x9018mooew2stohozz1jq,36fpiijtnojz330dwghj4goo,[ ] Add to weekly log|[ ] Tag in Airtable
