id,school,country,band,eng_strength,cost_index,red_flag
rec-univ-001,University of Lagos,Nigeria,Match,3,1.0,False
rec-univ-002,Covenant University,Nigeria,Safety,3,1.4,False
rec-univ-003,Ahmadu Bello University,Nigeria,Match,3,0.9,False
rec-univ-004,University of Ibadan,Nigeria,Match,3,1.0,False
rec-univ-005,Imperial College London,UK,Reach,5,7.8,False
rec-univ-006,University of Cambridge,UK,Reach,5,7.2,False
rec-univ-007,University of Manchester,UK,Match,4,6.9,True
rec-univ-008,University of Sheffield,UK,Match,4,6.5,False
rec-univ-009,MIT,US,Reach,5,9.2,False
rec-univ-010,Caltech,US,Reach,5,8.9,True
rec-univ-011,Georgia Tech,US,Match,5,7.4,False
rec-univ-012,Purdue,US,Match,4,7.1,False
rec-univ-013,University of Waterloo,Canada,Match,5,5.8,False
rec-univ-014,University of Toronto,Canada,Match,5,6.2,False
rec-univ-015,McGill,Canada,Match,4,5.6,False
rec-univ-016,IIT Bombay,India,Reach,5,1.6,False
rec-univ-017,IIT Delhi,India,Reach,5,1.6,False
rec-univ-018,IIT Madras,India,Reach,5,1.6,False
rec-univ-019,BITS Pilani,India,Match,5,2.1,False
rec-univ-020,IIT Kanpur,India,Reach,5,1.6,False
