iata_code,name,city_name,city_code,country_name,country_code,latitude,longitude,timezone
LOS,Murtala Muhammed International,Lagos,LOS,Nigeria,NG,6.5774,3.3212,Africa/Lagos
LHR,Heathrow,London,LON,United Kingdom,GB,51.4700,-0.4543,Europe/London
JFK,John F Kennedy,New York,NYC,United States,US,40.6413,-73.7781,America/New_York
BOS,Boston Logan,Boston,BOS,United States,US,42.3656,-71.0096,America/New_York
DEN,Denver International,Denver,DEN,United States,US,39.8561,-104.6737,America/Denver
YYZ,Toronto Pearson,Toronto,YTO,Canada,CA,43.6777,-79.6248,America/Toronto
YUL,Montreal Trudeau,Montreal,YMQ,Canada,CA,45.4706,-73.7408,America/Toronto
YKF,Waterloo Region,Waterloo,YKF,Canada,CA,43.4608,-80.3781,America/Toronto
BOM,Chhatrapati Shivaji,Mumbai,BOM,India,IN,19.0896,72.8656,Asia/Kolkata
DEL,Indira Gandhi,New Delhi,DEL,India,IN,28.5562,77.1000,Asia/Kolkata
MAA,Chennai International,Chennai,MAA,India,IN,12.9941,80.1709,Asia/Kolkata
MUC,Munich Airport,Munich,MUC,Germany,DE,48.3538,11.7861,Europe/Berlin
