date	status	walk_ins	sales_count	day_total_usd
2026-01-05	closed (sourcing)	0	0	0
2026-01-06	closed (sourcing)	0	0	0
2026-01-07	open 10 to 5	9	1	1850
2026-01-08	open 10 to 5	14	2	4200
2026-01-09	open 10 to 5	11	1	980
2026-01-10	open 10 to 5	22	3	9400
2026-01-11	open 10 to 5	18	2	5600
2026-01-12	closed (sourcing)	0	0	0
2026-01-13	closed (sourcing)	0	0	0
2026-01-14	open 10 to 5	9	1	1850
2026-01-15	open 10 to 5	14	2	4200
2026-01-16	open 10 to 5	11	1	980
2026-01-17	open 10 to 5	22	3	9400
2026-01-18	open 10 to 5	18	2	5600
