product_id,retailer_id,name,brand,category,unit_size,price,in_stock,sale_price,image_url
PROD_9e6d49c2,RETA_f9c74a3a,Carlos Whitfield,brand_0,Office Supplies,111,16.00,true,16.00,https://instacart.example.com/dashboard/0
PROD_38612f6e,RETA_c4923583,June (68),brand_1,Software,128,33.31,false,33.31,https://instacart.example.com/reports/1
PROD_80137e18,RETA_a613a6d5,Karen (1983),brand_2,Consulting,145,50.62,false,50.62,https://instacart.example.com/settings/2
PROD_6b8d285e,RETA_3d381dc2,David (1981),brand_3,Marketing,162,67.93,true,67.93,https://instacart.example.com/profile/3
PROD_ceb581ec,RETA_3cea3d2d,Ethan (2014),brand_4,Travel,179,84.24,false,84.24,https://instacart.example.com/projects/4
PROD_b13392fc,RETA_da35d105,Maya (2016),brand_5,Equipment,196,101.55,false,101.55,https://instacart.example.com/analytics/5
PROD_1afe28f6,RETA_dd8fa7c6,Kevin (1986),brand_6,Training,213,118.86,true,118.86,https://instacart.example.com/documents/6
PROD_ff23839c,RETA_80c95927,Robert (1998),brand_7,Subscriptions,230,135.17,false,135.17,https://instacart.example.com/team/7
PROD_a61336a7,RETA_007002a0,Helen (2007),brand_8,Shipping,247,152.48,true,152.48,https://instacart.example.com/calendar/8
PROD_fd2791d2,RETA_bf9b3e0e,Linda (1957),brand_9,Utilities,264,169.79,true,169.79,https://instacart.example.com/inbox/9
PROD_d301bbf0,RETA_8c831225,Frank (1958),brand_10,Professional Services,281,186.10,false,186.10,https://instacart.example.com/dashboard/10
PROD_5a967593,RETA_e51a90ee,Connie (1960),brand_11,Insurance,298,203.41,true,203.41,https://instacart.example.com/reports/11
PROD_f64a40bc,RETA_f4dac116,Doug (1954),brand_12,Maintenance,315,220.72,false,220.72,https://instacart.example.com/settings/12
PROD_cfa323d1,RETA_3a9d61c0,Elena (1960),brand_13,Legal,332,237.03,false,237.03,https://instacart.example.com/profile/13
PROD_a58e746d,RETA_dfdc9fc3,The family),brand_14,Advertising,349,254.34,true,254.34,https://instacart.example.com/projects/14
PROD_1ddfb992,RETA_a27a464d,Dr. (52),brand_15,Technology,366,271.65,false,271.65,https://instacart.example.com/analytics/15
PROD_dad52110,RETA_6e1698cd,Dr. (59),brand_16,Meals & Entertainment,383,288.96,true,288.96,https://instacart.example.com/documents/16
PROD_3100b72c,RETA_e37abb03,Dr. (48),brand_17,Rent,400,305.27,true,305.27,https://instacart.example.com/team/17
PROD_00128da5,RETA_9de9557b,William Davis,brand_18,Telecommunications,417,322.58,false,322.58,https://instacart.example.com/calendar/18
PROD_ca170885,RETA_0a9876ad,Dorothy Lee,brand_19,Cloud Services,434,339.89,true,339.89,https://instacart.example.com/inbox/19
PROD_9715e5fb,RETA_9c44fc7e,Andrew King,brand_20,Printing & Reproduction,451,356.20,false,356.20,https://instacart.example.com/dashboard/20
PROD_1130c581,RETA_f8373511,Nicole Campbell,brand_21,Security Services,468,373.51,false,373.51,https://instacart.example.com/reports/21
PROD_dc4a2cf0,RETA_bbfa539a,Nicholas Reyes,brand_22,Janitorial & Cleaning,485,390.82,true,390.82,https://instacart.example.com/settings/22
PROD_0bcfee2d,RETA_bc859af4,Joan Reed,brand_23,Parking & Transportation,502,407.13,false,407.13,https://instacart.example.com/profile/23
PROD_32a20ad5,RETA_bb22c9bf,Patrick Bennett,brand_24,Research & Development,519,424.44,true,424.44,https://instacart.example.com/projects/24
PROD_cebf310a,RETA_f9579041,Grace Foster,brand_25,Licensing Fees,536,441.75,true,441.75,https://instacart.example.com/analytics/25
PROD_81a61d8e,RETA_baa8388d,Noah Hernandez,brand_26,Bank Fees & Charges,553,458.06,false,458.06,https://instacart.example.com/documents/26
PROD_70ee7871,RETA_68a5d7a0,Elizabeth White,brand_27,Payroll Processing,570,475.37,true,475.37,https://instacart.example.com/team/27
PROD_17f1243f,RETA_70e2cee3,Arthur Torres,brand_28,Accounting & Bookkeeping,587,492.68,true,492.68,https://instacart.example.com/calendar/28
PROD_0158a7d3,RETA_af31bd4f,Sharon Roberts,brand_29,Recruiting & Staffing,604,13.99,false,13.99,https://instacart.example.com/inbox/29
PROD_4369edd9,RETA_577e033b,Russell Morales,brand_30,Employee Benefits,621,30.30,true,30.30,https://instacart.example.com/dashboard/30
PROD_3ca839b9,RETA_79d48eb8,Heather Ramos,brand_31,Workers Compensation,638,47.61,false,47.61,https://instacart.example.com/reports/31
PROD_46658b82,RETA_90f42d39,Robert Ruiz,brand_32,Health & Safety,655,64.92,false,64.92,https://instacart.example.com/settings/32
PROD_a04dd29f,RETA_12d15612,Ann Smith,brand_33,Depreciation,672,81.23,true,81.23,https://instacart.example.com/profile/33
PROD_a00140b5,RETA_4b8d7b35,Steven Wilson,brand_34,Amortization,689,98.54,false,98.54,https://instacart.example.com/projects/34
