id,order_id,customer_id,amount,currency,status,source_type,location_id,receipt_number,created_at
sq_pay_98429869b6fc41,sq_order_c107c014e28a42,sq_cust_b1b595d63bd84e,1500,USD,CAPTURED,CARD,L_GEORGETOWN,R542930,2026-10-15T19:01:20.376785+00:00
sq_pay_295a4698d0ef4a,sq_order_27978f8656ef4f,sq_cust_d32fe7aecfa444,1500,USD,CAPTURED,CARD,L_BLAIRS,R547302,2026-12-16T10:57:57.534450+00:00
sq_pay_dfd2761dece340,sq_order_3afd6508ad244d,sq_cust_5983a2fe842048,1500,USD,CAPTURED,CARD,L_BOWIE,R522537,2027-01-08T00:02:28.201312+00:00
sq_pay_19f657f0587a46,sq_order_f39374d91fe642,sq_cust_43e5b18510cf44,1500,USD,CAPTURED,CARD,L_BLAIRS,R686679,2026-10-22T22:56:53.030873+00:00
sq_pay_979cda86ff0c47,sq_order_6c7b5c492fff44,sq_cust_0cf763c20a374c,1500,USD,CAPTURED,CARD,L_BLAIRS,R652164,2026-10-31T10:26:30.078850+00:00
sq_pay_105543b7251c48,sq_order_3e7d8b020b3c4f,sq_cust_a78fb1d973d247,1500,USD,CAPTURED,CARD,L_BOWIE,R657014,2027-01-15T10:39:40.318451+00:00
sq_pay_e9da83d9ae0041,sq_order_0b338fe8e26a4e,sq_cust_069c5faa70b341,1500,USD,CAPTURED,CARD,L_BOWIE,R611525,2027-02-18T04:06:46.534979+00:00
sq_pay_fc277a3d3b7e46,sq_order_6e27b44278f742,sq_cust_17704a842f6f43,1500,USD,CAPTURED,CARD,L_GEORGETOWN,R924025,2027-01-27T02:01:38.843657+00:00
sq_pay_5af5af240b5d41,sq_order_c90f2109e34146,sq_cust_144993a8058e4f,1500,USD,CAPTURED,CARD,L_GEORGETOWN,R441478,2026-10-19T20:40:15.128276+00:00
sq_pay_883dd488d8e447,sq_order_de61381338bb42,sq_cust_e69e8a76c87040,1500,USD,CAPTURED,CARD,L_SILVER_SPRING,R340678,2026-12-15T14:57:11.713677+00:00
sq_pay_b34c834e60e945,sq_order_277ef72b9ba44f,sq_cust_67cf9a4a9bc74a,1500,USD,CAPTURED,CARD,L_GEORGETOWN,R406474,2026-10-30T17:52:15.309325+00:00
sq_pay_48f1cf7e870f48,sq_order_56dd050a791e49,sq_cust_123b1d64ad0e48,1500,USD,CAPTURED,CARD,L_SILVER_SPRING,R787166,2027-03-05T16:14:00.613873+00:00
sq_pay_eae6c36a209c44,sq_order_bc3568fe12db48,sq_cust_79d56b3ae2774c,1500,USD,CAPTURED,CARD,L_BOWIE,R634497,2026-10-10T05:44:42.581653+00:00
sq_pay_f0a5ffa0545241,sq_order_738ac0756d5f49,sq_cust_c9ee2f2be83846,1500,USD,CAPTURED,CARD,L_GEORGETOWN,R899793,2027-01-26T02:27:59.696797+00:00
sq_pay_4d186e6186c147,sq_order_b030a1d8e7984a,sq_cust_9374fe85df054b,1500,USD,CAPTURED,CARD,L_BLAIRS,R563793,2027-02-08T17:44:47.318202+00:00
sq_pay_2ed203a183f54a,sq_order_3ceabf342dac49,sq_cust_eb4eb2f6648d4a,1500,USD,CAPTURED,CARD,L_BLAIRS,R206391,2027-02-10T15:18:45.115554+00:00
sq_pay_a621a94c730b4b,sq_order_84cb9e3b967f4a,sq_cust_4b0b83b6f76c4a,1500,USD,CAPTURED,CARD,L_SILVER_SPRING,R191037,2027-01-13T17:18:08.726941+00:00
sq_pay_a445d147a69a48,sq_order_a956f34451de44,sq_cust_825727ccb31742,1500,USD,CAPTURED,CARD,L_SILVER_SPRING,R406450,2026-11-12T16:21:26.798446+00:00
sq_pay_49a7f9566c9b4f,sq_order_0664004a2d4043,sq_cust_e905fe812e7744,1500,USD,CAPTURED,CARD,L_BOWIE,R470454,2027-01-16T09:43:12.222229+00:00
sq_pay_952bd4db9bda48,sq_order_37c4e60fafc247,sq_cust_c3a07863827f44,1500,USD,CAPTURED,CARD,L_BLAIRS,R261656,2026-12-10T16:48:50.314356+00:00
sq_pay_df80f100440247,sq_order_f185b02ce1ea47,sq_cust_3decf04288cd42,1500,USD,CAPTURED,CARD,L_BLAIRS,R491042,2027-03-03T09:31:57.686780+00:00
sq_pay_2c0e276e6ae448,sq_order_b1a9c06ca1d243,sq_cust_39d906d6566640,1500,USD,CAPTURED,CARD,L_BLAIRS,R159058,2027-02-17T18:50:22.396950+00:00
sq_pay_8f93425ef81646,sq_order_375a6acfb4be49,sq_cust_30a94759ac364e,1500,USD,CAPTURED,CARD,L_BOWIE,R938008,2027-02-11T23:43:17.677294+00:00
sq_pay_6883d89293fa49,sq_order_32d31161562041,sq_cust_aef33bb4fd6a4c,0,USD,REFUNDED,CARD,L_BLAIRS,R677628,2027-03-01T17:44:51.623394+00:00
sq_pay_1e35004c990445,sq_order_d13a5df712044f,sq_cust_649cea7634e946,1500,USD,CAPTURED,CARD,L_GEORGETOWN,R159876,2027-01-12T06:49:39.132293+00:00
sq_pay_6ecd9d5b53a549,sq_order_842937d24f7a4e,sq_cust_7f0d381933ab46,1500,USD,CAPTURED,CARD,L_BLAIRS,R714869,2026-11-06T01:38:43.000390+00:00
sq_pay_d28c3c4fd74046,sq_order_894c1fe680a042,sq_cust_2df7fc6c691148,1500,USD,CAPTURED,CARD,L_SILVER_SPRING,R823502,2026-11-01T22:14:18.121406+00:00
sq_pay_39377f0372894c,sq_order_7eb81a7a1f3649,sq_cust_ccb6317544574f,1500,USD,CAPTURED,CARD,L_SILVER_SPRING,R256592,2027-02-13T17:24:13.963756+00:00
sq_pay_be7c55baa4b743,sq_order_b31455e14f8f4c,sq_cust_3973a9b6234c49,1500,USD,CAPTURED,CARD,L_SILVER_SPRING,R973441,2026-10-09T03:37:06.833975+00:00
sq_pay_0149c01a062c45,sq_order_66a7cc01d33a4b,sq_cust_fe730dc8b2c545,1500,USD,CAPTURED,CARD,L_BLAIRS,R683449,2026-10-19T12:00:34.905245+00:00
sq_pay_6526bacc70904d,sq_order_b16519c418db40,sq_cust_8d500a0944ce40,1500,USD,CAPTURED,CARD,L_SILVER_SPRING,R626325,2027-02-07T17:06:02.183725+00:00
sq_pay_9982dbe8081c4c,sq_order_fe99797caf5947,sq_cust_4e419811360d4e,1500,USD,CAPTURED,CARD,L_BLAIRS,R289125,2026-12-19T13:13:34.947263+00:00
sq_pay_c518730f34a142,sq_order_10f9bf34dc3944,sq_cust_2d50a0b9a83546,1500,USD,CAPTURED,CARD,L_SILVER_SPRING,R899483,2026-12-02T09:18:19.358952+00:00
sq_pay_7956dda6894045,sq_order_0ac56167e9a647,sq_cust_4d2a647529fe47,1500,USD,CAPTURED,CARD,L_BLAIRS,R497435,2026-12-21T06:31:51.150684+00:00
sq_pay_5bb72bd03ab44d,sq_order_371f0815f5af47,sq_cust_a8e621c167c241,1500,USD,CAPTURED,CARD,L_SILVER_SPRING,R351802,2027-02-11T17:37:33.567693+00:00
sq_pay_265752d28f5b46,sq_order_a90b4127a80d4a,sq_cust_6a0f0f854b4f4d,1500,USD,CAPTURED,CARD,L_SILVER_SPRING,R140129,2027-03-17T23:19:39.526202+00:00
sq_pay_20211e6c83804e,sq_order_1e4388fe51184b,sq_cust_de01cdf8da0048,1500,USD,CAPTURED,CARD,L_BOWIE,R451112,2026-11-13T04:53:57.223162+00:00
sq_pay_d2de8d71e5ec49,sq_order_7e53cf1e181c40,sq_cust_7d458c5bde954f,1500,USD,CAPTURED,CARD,L_BOWIE,R730380,2027-01-26T14:54:32.977677+00:00
sq_pay_453e4adb82fe4b,sq_order_af8b40fd162f4b,sq_cust_d98354d68a714b,1500,USD,CAPTURED,CARD,L_BLAIRS,R213017,2027-03-31T08:17:05.587329+00:00
sq_pay_0971390bec5a47,sq_order_7b9b5db479b148,sq_cust_7c784d5599e745,1500,USD,CAPTURED,CARD,L_GEORGETOWN,R455476,2026-10-15T21:33:14.026679+00:00
sq_pay_e002b2870ac944,sq_order_9d04011a89a34a,sq_cust_30af7b97cd3342,1500,USD,CAPTURED,CARD,L_GEORGETOWN,R166598,2026-10-26T18:47:48.290051+00:00
sq_pay_d33110b4552943,sq_order_6430178ef29044,sq_cust_1cc978c54d3b4d,1500,USD,CAPTURED,CARD,L_BOWIE,R986657,2026-11-03T15:59:53.063572+00:00
sq_pay_def9525652214d,sq_order_4955630c3fb943,sq_cust_352f30f7b64c4d,1500,USD,CAPTURED,CARD,L_SILVER_SPRING,R100802,2027-02-10T01:35:13.036214+00:00
sq_pay_ea369c12c1b143,sq_order_6ae1812bb6b642,sq_cust_99b42e2b3ed84a,1500,USD,CAPTURED,CARD,L_BOWIE,R878315,2026-10-20T00:54:10.884876+00:00
sq_pay_b01095a1786445,sq_order_234a2db3036741,sq_cust_b4a5114480f247,1500,USD,CAPTURED,CARD,L_BOWIE,R870385,2026-11-24T18:58:35.622641+00:00
sq_pay_e8f3c4aae77740,sq_order_aa2a684db58642,sq_cust_6800fcc1c22841,1500,USD,CAPTURED,CARD,L_SILVER_SPRING,R671376,2026-12-17T15:15:44.647858+00:00
sq_pay_4cb1f2f8094c48,sq_order_e07f20dd965d47,sq_cust_60cb8d2607df44,1500,USD,CAPTURED,CARD,L_SILVER_SPRING,R534742,2026-12-01T04:57:35.122951+00:00
sq_pay_016cafe085f44c,sq_order_9d3d36c3dda043,sq_cust_1cd8019f31cd44,1500,USD,CAPTURED,CARD,L_BOWIE,R420986,2026-11-29T04:33:28.218424+00:00
sq_pay_a8c89177385342,sq_order_1f84f93290a048,sq_cust_d4c1257b4cab49,1500,USD,CAPTURED,CARD,L_SILVER_SPRING,R956613,2026-10-30T00:56:53.381350+00:00
sq_pay_224fc0e298744d,sq_order_2c939fead06e4c,sq_cust_02955a59097242,1500,USD,CAPTURED,CARD,L_GEORGETOWN,R138403,2026-11-26T09:47:20.763955+00:00
sq_pay_ed089323f1d944,sq_order_ab28eda62dd347,sq_cust_14c6a7c4cade4a,1500,USD,CAPTURED,CARD,L_BLAIRS,R332932,2026-12-22T12:39:08.674954+00:00
sq_pay_aa701e5193f94d,sq_order_e2608138234d43,sq_cust_7140917618384d,1500,USD,CAPTURED,CARD,L_BOWIE,R418243,2027-01-14T01:18:38.635589+00:00
