id,rover,sol,camera,camera_full_name,img_src,earth_date
100000,rover-00000,239,camera-00000,camera_full_name-00000,https://example.com/nasa-api/00000,2025-03-31T00:21:00Z
100007,rover-00001,346,camera-00001,camera_full_name-00001,https://example.com/nasa-api/00001,2025-10-24T23:39:00Z
100014,rover-00002,4,camera-00002,camera_full_name-00002,https://example.com/nasa-api/00002,2025-11-25T05:42:00Z
100021,rover-00003,98,camera-00003,camera_full_name-00003,https://example.com/nasa-api/00003,2026-05-29T06:16:00Z
100028,rover-00004,423,camera-00004,camera_full_name-00004,https://example.com/nasa-api/00004,2025-05-17T15:38:00Z
100035,rover-00005,62,camera-00005,camera_full_name-00005,https://example.com/nasa-api/00005,2025-02-17T07:48:00Z
100042,rover-00006,485,camera-00006,camera_full_name-00006,https://example.com/nasa-api/00006,2026-09-01T00:55:00Z
100049,rover-00007,264,camera-00007,camera_full_name-00007,https://example.com/nasa-api/00007,2025-08-12T20:31:00Z
100056,rover-00008,469,camera-00008,camera_full_name-00008,https://example.com/nasa-api/00008,2026-04-24T12:28:00Z
100063,rover-00009,302,camera-00009,camera_full_name-00009,https://example.com/nasa-api/00009,2025-11-03T22:51:00Z
100070,rover-00010,109,camera-00010,camera_full_name-00010,https://example.com/nasa-api/00010,2025-11-02T04:10:00Z
100077,rover-00011,366,camera-00011,camera_full_name-00011,https://example.com/nasa-api/00011,2025-04-21T02:57:00Z
100084,rover-00012,170,camera-00012,camera_full_name-00012,https://example.com/nasa-api/00012,2025-08-05T13:16:00Z
100091,rover-00013,220,camera-00013,camera_full_name-00013,https://example.com/nasa-api/00013,2026-10-28T19:47:00Z
100098,rover-00014,112,camera-00014,camera_full_name-00014,https://example.com/nasa-api/00014,2025-05-26T00:19:00Z
100105,rover-00015,349,camera-00015,camera_full_name-00015,https://example.com/nasa-api/00015,2026-10-11T17:14:00Z
100112,rover-00016,76,camera-00016,camera_full_name-00016,https://example.com/nasa-api/00016,2026-11-03T18:48:00Z
100119,rover-00017,188,camera-00017,camera_full_name-00017,https://example.com/nasa-api/00017,2024-12-10T16:11:00Z
100126,rover-00018,362,camera-00018,camera_full_name-00018,https://example.com/nasa-api/00018,2025-12-27T03:36:00Z
100133,rover-00019,225,camera-00019,camera_full_name-00019,https://example.com/nasa-api/00019,2024-10-09T16:58:00Z
100140,rover-00020,364,camera-00020,camera_full_name-00020,https://example.com/nasa-api/00020,2026-07-17T00:31:00Z
100147,rover-00021,74,camera-00021,camera_full_name-00021,https://example.com/nasa-api/00021,2024-10-27T11:18:00Z
100154,rover-00022,161,camera-00022,camera_full_name-00022,https://example.com/nasa-api/00022,2025-06-19T06:14:00Z
100161,rover-00023,418,camera-00023,camera_full_name-00023,https://example.com/nasa-api/00023,2025-05-08T17:07:00Z
100168,rover-00024,486,camera-00024,camera_full_name-00024,https://example.com/nasa-api/00024,2024-10-31T02:00:00Z
100175,rover-00025,130,camera-00025,camera_full_name-00025,https://example.com/nasa-api/00025,2026-06-24T23:08:00Z
100182,rover-00026,149,camera-00026,camera_full_name-00026,https://example.com/nasa-api/00026,2025-11-01T09:47:00Z
100189,rover-00027,400,camera-00027,camera_full_name-00027,https://example.com/nasa-api/00027,2024-11-19T03:42:00Z
100196,rover-00028,51,camera-00028,camera_full_name-00028,https://example.com/nasa-api/00028,2026-06-07T18:58:00Z
100203,rover-00029,207,camera-00029,camera_full_name-00029,https://example.com/nasa-api/00029,2026-09-01T06:33:00Z
100210,rover-00030,157,camera-00030,camera_full_name-00030,https://example.com/nasa-api/00030,2025-07-10T22:05:00Z
100217,rover-00031,122,camera-00031,camera_full_name-00031,https://example.com/nasa-api/00031,2026-01-01T11:06:00Z
100224,rover-00032,160,camera-00032,camera_full_name-00032,https://example.com/nasa-api/00032,2025-07-23T10:52:00Z
100231,rover-00033,378,camera-00033,camera_full_name-00033,https://example.com/nasa-api/00033,2025-02-27T21:14:00Z
100238,rover-00034,439,camera-00034,camera_full_name-00034,https://example.com/nasa-api/00034,2026-11-13T19:29:00Z
100245,rover-00035,386,camera-00035,camera_full_name-00035,https://example.com/nasa-api/00035,2026-07-18T07:49:00Z
100252,rover-00036,162,camera-00036,camera_full_name-00036,https://example.com/nasa-api/00036,2025-02-09T21:46:00Z
100259,rover-00037,84,camera-00037,camera_full_name-00037,https://example.com/nasa-api/00037,2025-11-15T14:11:00Z
100266,rover-00038,14,camera-00038,camera_full_name-00038,https://example.com/nasa-api/00038,2024-09-30T01:47:00Z
100273,rover-00039,282,camera-00039,camera_full_name-00039,https://example.com/nasa-api/00039,2026-03-29T07:15:00Z
100280,rover-00040,300,camera-00040,camera_full_name-00040,https://example.com/nasa-api/00040,2025-02-05T02:31:00Z
100287,rover-00041,101,camera-00041,camera_full_name-00041,https://example.com/nasa-api/00041,2024-11-29T18:44:00Z
100294,rover-00042,119,camera-00042,camera_full_name-00042,https://example.com/nasa-api/00042,2025-10-08T15:58:00Z
100301,rover-00043,145,camera-00043,camera_full_name-00043,https://example.com/nasa-api/00043,2025-06-13T08:50:00Z
100308,rover-00044,370,camera-00044,camera_full_name-00044,https://example.com/nasa-api/00044,2026-05-13T21:53:00Z
100315,rover-00045,313,camera-00045,camera_full_name-00045,https://example.com/nasa-api/00045,2024-11-08T04:38:00Z
100322,rover-00046,475,camera-00046,camera_full_name-00046,https://example.com/nasa-api/00046,2025-07-17T00:04:00Z
100329,rover-00047,466,camera-00047,camera_full_name-00047,https://example.com/nasa-api/00047,2024-11-08T05:38:00Z
100336,rover-00048,304,camera-00048,camera_full_name-00048,https://example.com/nasa-api/00048,2026-10-01T05:19:00Z
100343,rover-00049,212,camera-00049,camera_full_name-00049,https://example.com/nasa-api/00049,2026-05-02T14:14:00Z
100350,rover-00050,274,camera-00050,camera_full_name-00050,https://example.com/nasa-api/00050,2025-12-13T10:01:00Z
100357,rover-00051,176,camera-00051,camera_full_name-00051,https://example.com/nasa-api/00051,2026-02-22T13:00:00Z
100364,rover-00052,136,camera-00052,camera_full_name-00052,https://example.com/nasa-api/00052,2025-03-12T04:07:00Z
100371,rover-00053,262,camera-00053,camera_full_name-00053,https://example.com/nasa-api/00053,2025-12-02T13:05:00Z
100378,rover-00054,465,camera-00054,camera_full_name-00054,https://example.com/nasa-api/00054,2025-03-21T08:47:00Z
100385,rover-00055,118,camera-00055,camera_full_name-00055,https://example.com/nasa-api/00055,2026-06-20T19:25:00Z
100392,rover-00056,42,camera-00056,camera_full_name-00056,https://example.com/nasa-api/00056,2025-04-30T02:51:00Z
100399,rover-00057,131,camera-00057,camera_full_name-00057,https://example.com/nasa-api/00057,2025-12-07T07:25:00Z
100406,rover-00058,295,camera-00058,camera_full_name-00058,https://example.com/nasa-api/00058,2026-09-12T21:50:00Z
100413,rover-00059,227,camera-00059,camera_full_name-00059,https://example.com/nasa-api/00059,2025-01-02T06:02:00Z
100420,rover-00060,26,camera-00060,camera_full_name-00060,https://example.com/nasa-api/00060,2025-11-17T15:18:00Z
100427,rover-00061,336,camera-00061,camera_full_name-00061,https://example.com/nasa-api/00061,2025-04-12T15:14:00Z
100434,rover-00062,379,camera-00062,camera_full_name-00062,https://example.com/nasa-api/00062,2025-09-17T06:02:00Z
100441,rover-00063,51,camera-00063,camera_full_name-00063,https://example.com/nasa-api/00063,2025-01-09T05:26:00Z
100448,rover-00064,347,camera-00064,camera_full_name-00064,https://example.com/nasa-api/00064,2025-09-11T02:32:00Z
100455,rover-00065,470,camera-00065,camera_full_name-00065,https://example.com/nasa-api/00065,2025-02-25T01:34:00Z
100462,rover-00066,209,camera-00066,camera_full_name-00066,https://example.com/nasa-api/00066,2024-10-08T15:11:00Z
100469,rover-00067,190,camera-00067,camera_full_name-00067,https://example.com/nasa-api/00067,2024-11-19T12:06:00Z
100476,rover-00068,54,camera-00068,camera_full_name-00068,https://example.com/nasa-api/00068,2025-07-25T10:59:00Z
100483,rover-00069,44,camera-00069,camera_full_name-00069,https://example.com/nasa-api/00069,2025-11-16T10:56:00Z
100490,rover-00070,312,camera-00070,camera_full_name-00070,https://example.com/nasa-api/00070,2024-11-06T04:29:00Z
100497,rover-00071,461,camera-00071,camera_full_name-00071,https://example.com/nasa-api/00071,2025-08-14T01:33:00Z
100504,rover-00072,15,camera-00072,camera_full_name-00072,https://example.com/nasa-api/00072,2025-07-06T07:05:00Z
100511,rover-00073,187,camera-00073,camera_full_name-00073,https://example.com/nasa-api/00073,2024-11-26T14:34:00Z
100518,rover-00074,313,camera-00074,camera_full_name-00074,https://example.com/nasa-api/00074,2025-11-07T01:53:00Z
100525,rover-00075,330,camera-00075,camera_full_name-00075,https://example.com/nasa-api/00075,2025-08-17T05:25:00Z
100532,rover-00076,311,camera-00076,camera_full_name-00076,https://example.com/nasa-api/00076,2025-11-19T12:23:00Z
100539,rover-00077,468,camera-00077,camera_full_name-00077,https://example.com/nasa-api/00077,2026-05-23T09:03:00Z
100546,rover-00078,144,camera-00078,camera_full_name-00078,https://example.com/nasa-api/00078,2025-11-16T22:46:00Z
100553,rover-00079,260,camera-00079,camera_full_name-00079,https://example.com/nasa-api/00079,2025-01-04T22:17:00Z
100560,rover-00080,17,camera-00080,camera_full_name-00080,https://example.com/nasa-api/00080,2026-10-09T11:31:00Z
100567,rover-00081,240,camera-00081,camera_full_name-00081,https://example.com/nasa-api/00081,2026-10-25T22:36:00Z
100574,rover-00082,80,camera-00082,camera_full_name-00082,https://example.com/nasa-api/00082,2026-08-28T11:21:00Z
100581,rover-00083,28,camera-00083,camera_full_name-00083,https://example.com/nasa-api/00083,2025-12-07T20:55:00Z
100588,rover-00084,80,camera-00084,camera_full_name-00084,https://example.com/nasa-api/00084,2026-08-22T03:05:00Z
100595,rover-00085,185,camera-00085,camera_full_name-00085,https://example.com/nasa-api/00085,2026-03-01T00:01:00Z
100602,rover-00086,98,camera-00086,camera_full_name-00086,https://example.com/nasa-api/00086,2025-11-09T17:54:00Z
100609,rover-00087,396,camera-00087,camera_full_name-00087,https://example.com/nasa-api/00087,2026-04-24T08:43:00Z
100616,rover-00088,406,camera-00088,camera_full_name-00088,https://example.com/nasa-api/00088,2024-09-13T18:43:00Z
100623,rover-00089,67,camera-00089,camera_full_name-00089,https://example.com/nasa-api/00089,2026-04-13T12:35:00Z
