order_id,item_id,quantity,unit_price,line_total
order-00001,item-0205,2,10.50,21.00
order-00002,item-0241,2,17.42,34.84
order-00002,item-0224,1,11.76,11.76
order-00002,item-0142,1,17.20,17.20
order-00003,item-0195,1,15.93,15.93
order-00004,item-0161,1,13.27,13.27
order-00005,item-0119,1,10.97,10.97
order-00005,item-0210,2,9.76,19.52
order-00005,item-0193,1,10.93,10.93
order-00006,item-0045,1,7.54,7.54
order-00007,item-0208,2,7.98,15.96
order-00007,item-0008,2,12.84,25.68
order-00008,item-0042,2,7.96,15.92
order-00008,item-0096,2,11.90,23.80
order-00008,item-0219,1,14.84,14.84
order-00009,item-0089,2,9.31,18.62
order-00009,item-0032,1,11.82,11.82
order-00009,item-0063,1,8.61,8.61
order-00010,item-0206,2,17.82,35.64
order-00011,item-0068,1,13.75,13.75
order-00011,item-0160,2,12.30,24.60
order-00011,item-0093,1,10.35,10.35
order-00012,item-0244,1,14.22,14.22
order-00012,item-0150,1,13.54,13.54
order-00012,item-0038,1,12.15,12.15
order-00013,item-0096,1,11.90,11.90
order-00014,item-0042,2,7.96,15.92
order-00014,item-0245,1,17.52,17.52
order-00015,item-0091,1,14.93,14.93
order-00015,item-0012,2,8.40,16.80
order-00016,item-0117,1,9.33,9.33
order-00016,item-0035,1,7.54,7.54
order-00016,item-0034,1,11.81,11.81
order-00017,item-0228,2,6.94,13.88
order-00018,item-0246,2,8.69,17.38
order-00019,item-0003,1,12.50,12.50
order-00020,item-0228,2,6.94,13.88
order-00020,item-0039,1,15.99,15.99
order-00021,item-0005,1,11.79,11.79
order-00021,item-0239,1,6.81,6.81
order-00021,item-0045,2,7.54,15.08
order-00022,item-0153,1,12.26,12.26
order-00023,item-0053,2,9.04,18.08
order-00024,item-0198,2,7.86,15.72
order-00024,item-0020,1,13.02,13.02
order-00024,item-0215,1,12.06,12.06
order-00025,item-0162,1,8.63,8.63
order-00025,item-0078,1,8.22,8.22
order-00025,item-0152,1,10.61,10.61
order-00026,item-0125,1,15.16,15.16
order-00027,item-0189,2,15.70,31.40
order-00028,item-0036,1,8.52,8.52
order-00029,item-0108,1,15.52,15.52
order-00029,item-0152,1,10.61,10.61
order-00029,item-0134,2,13.67,27.34
order-00030,item-0219,2,14.84,29.68
order-00031,item-0090,1,9.55,9.55
order-00032,item-0235,2,10.63,21.26
order-00033,item-0110,2,10.95,21.90
order-00033,item-0159,2,8.97,17.94
order-00033,item-0089,1,9.31,9.31
order-00034,item-0188,2,15.79,31.58
order-00034,item-0160,1,12.30,12.30
order-00034,item-0070,2,16.09,32.18
order-00035,item-0226,1,7.50,7.50
order-00035,item-0055,1,8.85,8.85
order-00036,item-0059,1,13.31,13.31
order-00037,item-0042,2,7.96,15.92
order-00038,item-0224,2,11.76,23.52
order-00038,item-0110,2,10.95,21.90
order-00039,item-0025,1,8.51,8.51
order-00039,item-0128,2,12.04,24.08
order-00039,item-0096,1,11.90,11.90
order-00040,item-0059,2,13.31,26.62
order-00040,item-0096,1,11.90,11.90
order-00040,item-0010,1,14.00,14.00
order-00041,item-0104,1,7.40,7.40
order-00042,item-0228,1,6.94,6.94
order-00043,item-0215,2,12.06,24.12
order-00044,item-0185,2,8.74,17.48
order-00044,item-0012,1,8.40,8.40
order-00044,item-0083,1,17.98,17.98
order-00045,item-0045,2,7.54,15.08
order-00045,item-0152,2,10.61,21.22
order-00045,item-0222,2,9.65,19.30
order-00046,item-0014,2,10.37,20.74
order-00047,item-0174,1,17.57,17.57
order-00048,item-0237,2,8.57,17.14
order-00048,item-0165,2,6.65,13.30
order-00049,item-0078,2,8.22,16.44
order-00049,item-0196,2,14.70,29.40
order-00050,item-0135,1,11.14,11.14
order-00050,item-0229,1,9.77,9.77
order-00051,item-0141,2,8.68,17.36
order-00051,item-0172,2,14.99,29.98
order-00051,item-0196,2,14.70,29.40
order-00052,item-0045,2,7.54,15.08
order-00052,item-0192,1,14.52,14.52
order-00053,item-0042,1,7.96,7.96
order-00053,item-0089,1,9.31,9.31
order-00054,item-0106,1,12.38,12.38
order-00055,item-0069,2,8.69,17.38
order-00056,item-0113,1,10.86,10.86
order-00057,item-0120,1,8.95,8.95
order-00057,item-0031,1,12.93,12.93
order-00058,item-0148,1,15.21,15.21
order-00059,item-0169,2,8.58,17.16
order-00060,item-0179,1,16.07,16.07
order-00061,item-0232,1,15.40,15.40
order-00061,item-0084,2,11.05,22.10
order-00062,item-0179,1,16.07,16.07
order-00063,item-0016,2,13.27,26.54
order-00064,item-0095,2,17.92,35.84
order-00064,item-0126,1,8.03,8.03
order-00064,item-0190,1,11.31,11.31
order-00065,item-0233,2,12.99,25.98
order-00065,item-0209,2,8.24,16.48
order-00066,item-0249,2,9.10,18.20
order-00066,item-0169,2,8.58,17.16
order-00067,item-0042,2,7.96,15.92
order-00068,item-0223,2,9.00,18.00
order-00068,item-0081,1,10.02,10.02
order-00068,item-0199,2,9.63,19.26
order-00069,item-0088,2,13.08,26.16
order-00070,item-0085,1,11.10,11.10
order-00071,item-0064,1,14.01,14.01
order-00071,item-0177,1,13.58,13.58
order-00072,item-0242,1,9.74,9.74
order-00072,item-0194,1,13.92,13.92
