tracking_number,status_type,status_code,status_description,service_name,ship_date,scheduled_delivery,latest_activity,latest_activity_location,latest_activity_time
1Z999AA10123456784,D,011,Delivered,UPS 2nd Day Air,2026-01-08,2026-01-11,Delivered,"Denver, CO, US",2026-01-11T11:00:00Z
1Z999AA10123456785,D,011,Delivered,UPS 3 Day Select,2026-01-21,2026-01-23,Delivered,"Denver, CO, US",2026-01-23T08:00:00Z
1Z999AA10123456786,D,011,Delivered,UPS 3 Day Select,2026-02-03,2026-02-07,Delivered,"Denver, CO, US",2026-02-07T08:00:00Z
1Z999AA10123456787,D,011,Delivered,UPS Ground,2026-02-15,2026-02-20,Delivered,"Denver, CO, US",2026-02-20T06:00:00Z
1Z999AA10123456788,D,011,Delivered,UPS 3 Day Select,2026-02-27,2026-03-01,Delivered,"Denver, CO, US",2026-03-01T16:00:00Z
1Z999AA10123456789,D,011,Delivered,UPS 3 Day Select,2026-03-12,2026-03-14,Delivered,"Denver, CO, US",2026-03-14T11:00:00Z
1Z999AA10123456790,D,011,Delivered,UPS 3 Day Select,2026-03-28,2026-04-02,Delivered,"Denver, CO, US",2026-04-02T06:00:00Z
1Z999AA10123456791,D,011,Delivered,UPS 2nd Day Air,2026-04-13,2026-04-16,Delivered,"Denver, CO, US",2026-04-16T13:00:00Z
1Z999AA10123456792,D,011,Delivered,UPS Ground,2026-04-26,2026-04-29,Delivered,"Denver, CO, US",2026-04-29T07:00:00Z
1Z999AA10123456793,D,011,Delivered,UPS 2nd Day Air,2026-05-08,2026-05-10,Delivered,"Denver, CO, US",2026-05-10T18:00:00Z
1Z999AA10123456794,D,011,Delivered,UPS Ground,2026-05-20,2026-05-25,Delivered,"Denver, CO, US",2026-05-25T09:00:00Z
1Z999AA10123456795,D,011,Delivered,UPS 3 Day Select,2026-06-04,2026-06-07,Delivered,"Denver, CO, US",2026-06-07T16:00:00Z
1Z999AA10123456796,D,011,Delivered,UPS 2nd Day Air,2026-06-16,2026-06-21,Delivered,"Denver, CO, US",2026-06-21T14:00:00Z
1Z999AA10123456797,D,011,Delivered,UPS 2nd Day Air,2026-07-02,2026-07-05,Delivered,"Denver, CO, US",2026-07-05T18:00:00Z
1Z999AA10123456798,D,011,Delivered,UPS 2nd Day Air,2026-07-14,2026-07-19,Delivered,"Denver, CO, US",2026-07-19T10:00:00Z
1Z999AA10123456799,D,011,Delivered,UPS Ground,2026-07-29,2026-08-03,Delivered,"Denver, CO, US",2026-08-03T14:00:00Z
1Z999AA10123456800,D,011,Delivered,UPS 2nd Day Air,2026-08-13,2026-08-16,Delivered,"Denver, CO, US",2026-08-16T06:00:00Z
1Z999AA10123456801,D,011,Delivered,UPS 2nd Day Air,2026-08-29,2026-09-01,Delivered,"Denver, CO, US",2026-09-01T17:00:00Z
1Z999AA10123456802,D,011,Delivered,UPS Ground,2026-09-12,2026-09-16,Delivered,"Denver, CO, US",2026-09-16T07:00:00Z
1Z999AA10123456803,D,011,Delivered,UPS 3 Day Select,2026-09-25,2026-09-28,Delivered,"Denver, CO, US",2026-09-28T16:00:00Z
1Z999AA10123456804,D,011,Delivered,UPS 3 Day Select,2026-10-07,2026-10-11,Delivered,"Denver, CO, US",2026-10-11T18:00:00Z
1Z999AA10123456805,D,011,Delivered,UPS Ground,2026-10-23,2026-10-27,Delivered,"Denver, CO, US",2026-10-27T10:00:00Z
1Z999AA10123456806,D,011,Delivered,UPS 2nd Day Air,2026-11-07,2026-11-09,Delivered,"Denver, CO, US",2026-11-09T09:00:00Z
1Z999AA10123456807,D,011,Delivered,UPS 3 Day Select,2026-11-23,2026-11-25,Delivered,"Denver, CO, US",2026-11-25T17:00:00Z
1Z999AA10123456808,I,005,In Transit,UPS 3 Day Select,2026-12-05,2026-12-08,Departed from Facility,"Dallas, TX, US",2026-12-08T15:00:00Z
1Z999AA10123456809,I,005,In Transit,UPS Ground,2026-12-21,2026-12-23,Departed from Facility,"Dallas, TX, US",2026-12-23T16:00:00Z
1Z999AA10123456810,I,005,In Transit,UPS 2nd Day Air,2027-01-06,2027-01-10,Departed from Facility,"Dallas, TX, US",2027-01-10T18:00:00Z
1Z999AA10123456811,I,005,In Transit,UPS Ground,2027-01-19,2027-01-21,Departed from Facility,"Dallas, TX, US",2027-01-21T09:00:00Z
1Z999AA10123456812,I,005,In Transit,UPS 2nd Day Air,2027-02-03,2027-02-05,Departed from Facility,"Dallas, TX, US",2027-02-05T07:00:00Z
1Z999AA10123456813,I,005,In Transit,UPS 3 Day Select,2027-02-15,2027-02-18,Departed from Facility,"Dallas, TX, US",2027-02-18T16:00:00Z
1Z999AA10123456814,I,005,In Transit,UPS 2nd Day Air,2027-03-03,2027-03-07,Departed from Facility,"Dallas, TX, US",2027-03-07T06:00:00Z
1Z999AA10123456815,I,005,In Transit,UPS 3 Day Select,2027-03-19,2027-03-23,Departed from Facility,"Dallas, TX, US",2027-03-23T08:00:00Z
1Z999AA10123456816,I,005,In Transit,UPS 3 Day Select,2027-03-31,2027-04-03,Departed from Facility,"Dallas, TX, US",2027-04-03T13:00:00Z
1Z999AA10123456817,I,005,In Transit,UPS Ground,2027-04-13,2027-04-16,Departed from Facility,"Dallas, TX, US",2027-04-16T08:00:00Z
1Z999AA10123456818,I,005,In Transit,UPS 2nd Day Air,2027-04-25,2027-04-29,Departed from Facility,"Dallas, TX, US",2027-04-29T13:00:00Z
1Z999AA10123456819,I,005,In Transit,UPS 2nd Day Air,2027-05-11,2027-05-13,Departed from Facility,"Dallas, TX, US",2027-05-13T08:00:00Z
1Z999AA10123456820,I,005,In Transit,UPS Ground,2027-05-26,2027-05-30,Departed from Facility,"Dallas, TX, US",2027-05-30T10:00:00Z
1Z999AA10123456821,I,005,In Transit,UPS 2nd Day Air,2027-06-08,2027-06-12,Departed from Facility,"Dallas, TX, US",2027-06-12T08:00:00Z
1Z999AA10123456822,I,005,In Transit,UPS Ground,2027-06-20,2027-06-25,Departed from Facility,"Dallas, TX, US",2027-06-25T08:00:00Z
1Z999AA10123456823,I,005,In Transit,UPS 3 Day Select,2027-07-03,2027-07-07,Departed from Facility,"Dallas, TX, US",2027-07-07T14:00:00Z
1Z999AA10123456824,I,005,In Transit,UPS 2nd Day Air,2027-07-19,2027-07-23,Departed from Facility,"Dallas, TX, US",2027-07-23T10:00:00Z
1Z999AA10123456825,I,005,In Transit,UPS 3 Day Select,2027-07-31,2027-08-04,Departed from Facility,"Dallas, TX, US",2027-08-04T12:00:00Z
1Z999AA10123456826,I,005,In Transit,UPS Ground,2027-08-15,2027-08-18,Departed from Facility,"Dallas, TX, US",2027-08-18T10:00:00Z
1Z999AA10123456827,I,005,In Transit,UPS 3 Day Select,2027-08-29,2027-08-31,Departed from Facility,"Dallas, TX, US",2027-08-31T15:00:00Z
1Z999AA10123456828,I,005,In Transit,UPS 3 Day Select,2027-09-10,2027-09-12,Departed from Facility,"Dallas, TX, US",2027-09-12T16:00:00Z
1Z999AA10123456829,I,005,In Transit,UPS 2nd Day Air,2027-09-22,2027-09-24,Departed from Facility,"Dallas, TX, US",2027-09-24T12:00:00Z
1Z999AA10123456830,I,005,In Transit,UPS 3 Day Select,2027-10-06,2027-10-09,Departed from Facility,"Dallas, TX, US",2027-10-09T06:00:00Z
1Z999AA10123456831,I,005,In Transit,UPS 3 Day Select,2027-10-20,2027-10-23,Departed from Facility,"Dallas, TX, US",2027-10-23T14:00:00Z
1Z999AA10123456832,I,005,In Transit,UPS 2nd Day Air,2027-11-04,2027-11-06,Departed from Facility,"Dallas, TX, US",2027-11-06T16:00:00Z
