id,name,rating,price,category,category_title,latitude,longitude,city,state,address,phone,review_count,is_closed,image_url
biz-00001,Pho 79 0,3.9,$$$,cafes,Grocery,30.1341,-103.5555,Denver,CO,474 Guadalupe St,+13035550100,1407,false,https://img.example.com/biz0.jpg
biz-00002,La Gloria 1,4.9,$$$,grocery,Mexican,37.8621,-103.1208,Denver,CO,958 Pearl St,+13035550101,2002,false,https://img.example.com/biz1.jpg
biz-00003,La Gloria 2,3.6,$$,mexican,Vietnamese,36.5301,-103.0129,San Antonio,TX,2978 Colfax St,+12105550102,1402,false,https://img.example.com/biz2.jpg
biz-00004,Pho 79 3,3.5,$$$,mexican,Cafes,33.1803,-104.7036,San Antonio,TX,1628 Federal St,+12105550103,2033,false,https://img.example.com/biz3.jpg
biz-00005,El Taco de Mexico 4,4.1,$$,vietnamese,Grocery,34.6455,-100.0015,Denver,CO,1979 Guadalupe St,+13035550104,418,false,https://img.example.com/biz4.jpg
biz-00006,Rincon Coffee 5,3.8,$$$,mexican,Cafes,33.2959,-102.3995,San Antonio,TX,2702 Alamo St,+12105550105,2119,false,https://img.example.com/biz5.jpg
biz-00007,Work and Class 6,5.0,$,mexican,Cafes,37.4947,-101.9331,Denver,CO,452 Federal St,+13035550106,68,false,https://img.example.com/biz6.jpg
biz-00008,Mi Tierra Cafe 7,4.2,$$,grocery,Latin American,34.2519,-98.4641,Denver,CO,2613 Colfax St,+13035550107,2179,false,https://img.example.com/biz7.jpg
biz-00009,Work and Class 8,4.9,$$,latin,Latin American,32.2017,-103.3411,Denver,CO,810 Alamo St,+13035550108,1194,true,https://img.example.com/biz8.jpg
biz-00010,Pho 79 9,4.2,$,mexican,Mexican,32.4392,-102.0340,San Antonio,TX,727 Alamo St,+12105550109,827,false,https://img.example.com/biz9.jpg
biz-00011,Pho 79 10,4.9,$$$,mexican,Latin American,31.7188,-102.1312,San Antonio,TX,1735 Pearl St,+12105550110,1036,false,https://img.example.com/biz10.jpg
biz-00012,La Gloria 11,3.6,$,mexican,Vietnamese,38.5426,-99.0158,Denver,CO,1285 Guadalupe St,+13035550111,1850,false,https://img.example.com/biz11.jpg
biz-00013,Aurora Latin Grocery 12,4.9,$$$,grocery,Mexican,34.2823,-103.2496,Denver,CO,1895 Pearl St,+13035550112,631,true,https://img.example.com/biz12.jpg
biz-00014,La Gloria 13,4.6,$,latin,Mexican,32.2423,-101.6523,San Antonio,TX,827 Federal St,+12105550113,1351,false,https://img.example.com/biz13.jpg
biz-00015,Aurora Latin Grocery 14,3.6,$$$,mexican,Latin American,39.6276,-98.8147,Denver,CO,1976 Guadalupe St,+13035550114,2346,false,https://img.example.com/biz14.jpg
biz-00016,Work and Class 15,3.6,$$$,grocery,Vietnamese,38.0672,-102.8996,Denver,CO,2432 Pearl St,+13035550115,1241,false,https://img.example.com/biz15.jpg
biz-00017,Mi Tierra Cafe 16,4.3,$$$,grocery,Cafes,32.8530,-103.4345,San Antonio,TX,533 Guadalupe St,+12105550116,358,true,https://img.example.com/biz16.jpg
