entry_no	common_name	scientific_name	family	first_seen	site	depth_ft	photographed	notes
151	Black sea bass	Centropristis striata	Serranidae	08/14/2024	Five Mile Ledge	58	Y	common on ledges
152	Sheepshead	Archosargus probatocephalus	Sparidae	08/14/2024	Crystal Pier Reef	36	Y	near pilings
153	Atlantic spadefish	Chaetodipterus faber	Ephippidae	09/02/2024	Liberty Rocks	48	Y	large school
154	Oyster toadfish	Opsanus tau	Batrachoididae	09/20/2024	Masonboro Ledge	42	N	under ledge
155	Gag grouper	Mycteroperca microlepis	Serranidae	10/05/2024	Five Mile Ledge	60	Y	juvenile
156	Tautog	Tautoga onitis	Labridae	10/22/2024	Liberty Rocks	50	N	
157	Northern puffer	Sphoeroides maculatus	Tetraodontidae	11/03/2024	Crystal Pier Reef	38	Y	
158	Pinfish	Lagodon rhomboides	Sparidae	11/19/2024	Masonboro Ledge	42	N	bait ball
159	Spotfin butterflyfish	Chaetodon ocellatus	Chaetodontidae	12/07/2024	Five Mile Ledge	58	Y	tropical stray
160	Gray triggerfish	Balistes capriscus	Balistidae	12/28/2024	Five Mile Ledge	60	Y	
161	Lookdown	Selene vomer	Carangidae	01/15/2025	Crystal Pier Reef	36	Y	mirror sided
162	Sergeant major	Abudefduf saxatilis	Pomacentridae	02/02/2025	Liberty Rocks	48	N	
163	Red drum	Sciaenops ocellatus	Sciaenidae	02/20/2025	Masonboro Ledge	45	Y	single adult
164	Southern stingray	Hypanus americanus	Dasyatidae	04/06/2025	Crystal Pier Reef	36	Y	buried in sand
165	Bluefish	Pomatomus saltatrix	Pomatomidae	04/27/2025	Five Mile Ledge	58	N	fast pass
166	Cobia	Rachycentron canadum	Rachycentridae	05/18/2025	Liberty Rocks	50	Y	following ray
167	Atlantic stingray	Hypanus sabinus	Dasyatidae	06/01/2025	Masonboro Ledge	42	N	
168	Crevalle jack	Caranx hippos	Carangidae	06/22/2025	Crystal Pier Reef	38	Y	small school
169	Scrawled cowfish	Acanthostracion quadricornis	Ostraciidae	07/13/2025	Five Mile Ledge	60	Y	tropical stray
170	Bandtail puffer	Sphoeroides spengleri	Tetraodontidae	07/27/2025	Liberty Rocks	48	N	
171	Spotted moray	Gymnothorax moringa	Muraenidae	08/10/2025	Five Mile Ledge	58	Y	in crevice
172	Belted sandfish	Serranus subligarius	Serranidae	08/31/2025	Masonboro Ledge	42	N	
173	Tomtate	Haemulon aurolineatum	Haemulidae	09/14/2025	Crystal Pier Reef	36	Y	dense school
174	Bank sea bass	Centropristis ocyurus	Serranidae	10/12/2025	Masonboro Ledge	42	N	
175	Spadefish juvenile	Chaetodipterus faber	Ephippidae	10/26/2025	Crystal Pier Reef	36	Y	leaf mimic
176	Doctorfish	Acanthurus chirurgus	Acanthuridae	11/09/2025	Five Mile Ledge	58	Y	tropical stray
177	Striped burrfish	Chilomycterus schoepfi	Diodontidae	11/23/2025	Liberty Rocks	48	N	
178	Spotted goatfish	Pseudupeneus maculatus	Mullidae	12/07/2025	Masonboro Ledge	42	Y	
179	Reef butterflyfish	Chaetodon sedentarius	Chaetodontidae	12/21/2025	Crystal Pier Reef	38	Y	pair
180	Blue angelfish	Holacanthus bermudensis	Pomacanthidae	01/11/2026	Five Mile Ledge	60	Y	first sighting
181	Hogfish	Lachnolaimus maximus	Labridae	01/11/2026	Five Mile Ledge	58	Y	
182	Squirrelfish	Holocentrus adscensionis	Holocentridae	01/25/2026	Liberty Rocks	50	N	under ledge
183	Lane snapper	Lutjanus synagris	Lutjanidae	02/08/2026	Masonboro Ledge	42	Y	
184	Gray snapper	Lutjanus griseus	Lutjanidae	02/08/2026	Masonboro Ledge	45	Y	small group
185	Bar jack	Caranx ruber	Carangidae	02/22/2026	Crystal Pier Reef	36	N	
186	Porkfish	Anisotremus virginicus	Haemulidae	02/22/2026	Crystal Pier Reef	38	Y	tropical stray
187	Queen angelfish	Holacanthus ciliaris	Pomacanthidae	02/22/2026	Crystal Pier Reef	38	Y	milestone entry, 187th species
