Porter's Bakehouse Review Log	Reviewed at the 2:00 PM break by David				
Date	Source	Rating	Reviewer	Summary	Response
11/02/2025	Review site	5	Theresa M.	Best almond croissant in the city, worth the early line	Thanked, no action
12/19/2025	Review site	4	Greg P.	Holiday cookie box was beautiful, one tin arrived a day late	Replied with apology, comped next order
10/04/2026	Review site	5	Dana R.	Our wedding cake made the whole room stop, vanilla bean was perfect	Replied with thanks, asked to share photo
10/12/2026	Review site	2	Anonymous	Counter was slammed Saturday, waited 20 minutes	Replied, explained market morning, invited back midweek
10/18/2026	Social DM	n/a	@sweettoothpvd	Asking if we ship cookie boxes out of state	Replied yes, sent the online order link
10/27/2026	Review site	5	Marcus L.	Sourdough has a real crust, reminds me of bakeries in France	Thanked, no action
11/03/2026	Review site	5	Helen C.	Sugar free cookies for my mom, she could finally have a treat	Replied warmly, noted she is a regular
11/09/2026	Social DM	n/a	@providence.eats	Recipe request for the buttercream, for an article	Held, declined to share formula, offered an interview instead
11/14/2026	Review site	4	Owen T.	Great bread, wish you were open Mondays	Replied, explained the closed Monday
