id,title,status,department,location,opened_at,closed_at
JOB001,Assistant Professor Pediatric ID,open,Division of Pediatric ID,UNC Chapel Hill NC,2026-06-01,
JOB002,Assistant Professor Global Health Implementation Science,open,Vanderbilt Institute for Global Health,Nashville TN,2026-07-15,
JOB003,Instructor Pediatric ID with implementation science focus,open,Boston Children ID,Boston MA,2026-08-01,
JOB004,Assistant Professor Global Health,open,UW Department of Global Health,Seattle WA,2026-05-15,
JOB005,Assistant Professor Pediatric ID and Global Pediatrics,open,Baylor Global Pediatric Program,Houston TX,2026-06-15,
JOB006,Assistant Professor Global Health,open,Emory Rollins Hubert Dept of Global Health,Atlanta GA,2026-04-01,
JOB007,Instructor International Health,open,JHU Bloomberg School International Health,Baltimore MD,2026-07-01,
JOB008,Assistant Professor Pediatric ID (retained for reference),closed,Duke PID,Durham NC,2026-01-15,2026-06-30
JOB009,Faculty Program-9 Faculty Search,open,Global Health 9,City-9 US,2026-06-01,
JOB010,Faculty Program-10 Faculty Search,open,Global Health 10,City-10 US,2026-06-01,
JOB011,Faculty Program-11 Faculty Search,open,Global Health 11,City-11 US,2026-06-01,
JOB012,Faculty Program-12 Faculty Search,open,Global Health 12,City-12 US,2026-06-01,
JOB013,Faculty Program-13 Faculty Search,open,Global Health 13,City-13 US,2026-06-01,
JOB014,Faculty Program-14 Faculty Search,open,Global Health 14,City-14 US,2026-06-01,
JOB015,Faculty Program-15 Faculty Search,open,Global Health 15,City-15 US,2026-06-01,
JOB016,Faculty Program-16 Faculty Search,open,Global Health 16,City-16 US,2026-06-01,
JOB017,Faculty Program-17 Faculty Search,open,Global Health 17,City-17 US,2026-06-01,
JOB018,Faculty Program-18 Faculty Search,open,Global Health 18,City-18 US,2026-06-01,
JOB019,Faculty Program-19 Faculty Search,open,Global Health 19,City-19 US,2026-06-01,
JOB020,Faculty Program-20 Faculty Search,open,Global Health 20,City-20 US,2026-06-01,
JOB021,Faculty Program-21 Faculty Search,open,Global Health 21,City-21 US,2026-06-01,
JOB022,Faculty Program-22 Faculty Search,open,Global Health 22,City-22 US,2026-06-01,
JOB023,Faculty Program-23 Faculty Search,open,Global Health 23,City-23 US,2026-06-01,
JOB024,Faculty Program-24 Faculty Search,open,Global Health 24,City-24 US,2026-06-01,
JOB025,Faculty Program-25 Faculty Search,open,Global Health 25,City-25 US,2026-06-01,
JOB026,Faculty Program-26 Faculty Search,open,Global Health 26,City-26 US,2026-06-01,
JOB027,Faculty Program-27 Faculty Search,open,Global Health 27,City-27 US,2026-06-01,
JOB028,Faculty Program-28 Faculty Search,open,Global Health 28,City-28 US,2026-06-01,
JOB029,Faculty Program-29 Faculty Search,open,Global Health 29,City-29 US,2026-06-01,
JOB030,Faculty Program-30 Faculty Search,open,Global Health 30,City-30 US,2026-06-01,
JOB031,Faculty Program-31 Faculty Search,open,Global Health 31,City-31 US,2026-06-01,
JOB032,Faculty Program-32 Faculty Search,open,Global Health 32,City-32 US,2026-06-01,
JOB033,Faculty Program-33 Faculty Search,open,Global Health 33,City-33 US,2026-06-01,
JOB034,Faculty Program-34 Faculty Search,open,Global Health 34,City-34 US,2026-06-01,
JOB035,Faculty Program-35 Faculty Search,open,Global Health 35,City-35 US,2026-06-01,
JOB036,Faculty Program-36 Faculty Search,open,Global Health 36,City-36 US,2026-06-01,
JOB037,Faculty Program-37 Faculty Search,open,Global Health 37,City-37 US,2026-06-01,
JOB038,Faculty Program-38 Faculty Search,open,Global Health 38,City-38 US,2026-06-01,
JOB039,Faculty Program-39 Faculty Search,open,Global Health 39,City-39 US,2026-06-01,
JOB040,Faculty Program-40 Faculty Search,open,Global Health 40,City-40 US,2026-06-01,
JOB041,Faculty Program-41 Faculty Search,open,Global Health 41,City-41 US,2026-06-01,
JOB042,Faculty Program-42 Faculty Search,open,Global Health 42,City-42 US,2026-06-01,
JOB043,Faculty Program-43 Faculty Search,open,Global Health 43,City-43 US,2026-06-01,
JOB044,Faculty Program-44 Faculty Search,open,Global Health 44,City-44 US,2026-06-01,
JOB045,Faculty Program-45 Faculty Search,open,Global Health 45,City-45 US,2026-06-01,
JOB046,Faculty Program-46 Faculty Search,open,Global Health 46,City-46 US,2026-06-01,
JOB047,Faculty Program-47 Faculty Search,open,Global Health 47,City-47 US,2026-06-01,
JOB048,Faculty Program-48 Faculty Search,open,Global Health 48,City-48 US,2026-06-01,
JOB049,Faculty Program-49 Faculty Search,open,Global Health 49,City-49 US,2026-06-01,
JOB050,Faculty Program-50 Faculty Search,open,Global Health 50,City-50 US,2026-06-01,
JOB051,Faculty Program-51 Faculty Search,open,Global Health 51,City-51 US,2026-06-01,
JOB052,Faculty Program-52 Faculty Search,open,Global Health 52,City-52 US,2026-06-01,
JOB053,Faculty Program-53 Faculty Search,open,Global Health 53,City-53 US,2026-06-01,
JOB054,Faculty Program-54 Faculty Search,open,Global Health 54,City-54 US,2026-06-01,
JOB055,Faculty Program-55 Faculty Search,open,Global Health 55,City-55 US,2026-06-01,
JOB056,Faculty Program-56 Faculty Search,open,Global Health 56,City-56 US,2026-06-01,
JOB057,Faculty Program-57 Faculty Search,open,Global Health 57,City-57 US,2026-06-01,
JOB058,Faculty Program-58 Faculty Search,open,Global Health 58,City-58 US,2026-06-01,
JOB059,Faculty Program-59 Faculty Search,open,Global Health 59,City-59 US,2026-06-01,
JOB060,Faculty Program-60 Faculty Search,open,Global Health 60,City-60 US,2026-06-01,
JOB061,Faculty Program-61 Faculty Search,open,Global Health 61,City-61 US,2026-06-01,
JOB062,Faculty Program-62 Faculty Search,open,Global Health 62,City-62 US,2026-06-01,
JOB063,Faculty Program-63 Faculty Search,open,Global Health 63,City-63 US,2026-06-01,
JOB064,Faculty Program-64 Faculty Search,open,Global Health 64,City-64 US,2026-06-01,
JOB065,Faculty Program-65 Faculty Search,open,Global Health 65,City-65 US,2026-06-01,
JOB066,Faculty Program-66 Faculty Search,open,Global Health 66,City-66 US,2026-06-01,
JOB067,Faculty Program-67 Faculty Search,open,Global Health 67,City-67 US,2026-06-01,
JOB068,Faculty Program-68 Faculty Search,open,Global Health 68,City-68 US,2026-06-01,
JOB069,Faculty Program-69 Faculty Search,open,Global Health 69,City-69 US,2026-06-01,
JOB070,Faculty Program-70 Faculty Search,open,Global Health 70,City-70 US,2026-06-01,
JOB071,Faculty Program-71 Faculty Search,open,Global Health 71,City-71 US,2026-06-01,
JOB072,Faculty Program-72 Faculty Search,open,Global Health 72,City-72 US,2026-06-01,
JOB073,Faculty Program-73 Faculty Search,open,Global Health 73,City-73 US,2026-06-01,
JOB074,Faculty Program-74 Faculty Search,open,Global Health 74,City-74 US,2026-06-01,
JOB075,Faculty Program-75 Faculty Search,open,Global Health 75,City-75 US,2026-06-01,
JOB076,Faculty Program-76 Faculty Search,open,Global Health 76,City-76 US,2026-06-01,
JOB077,Faculty Program-77 Faculty Search,open,Global Health 77,City-77 US,2026-06-01,
JOB078,Faculty Program-78 Faculty Search,open,Global Health 78,City-78 US,2026-06-01,
JOB079,Faculty Program-79 Faculty Search,open,Global Health 79,City-79 US,2026-06-01,
JOB080,Faculty Program-80 Faculty Search,open,Global Health 80,City-80 US,2026-06-01,
JOB081,Faculty Program-81 Faculty Search,open,Global Health 81,City-81 US,2026-06-01,
JOB082,Faculty Program-82 Faculty Search,open,Global Health 82,City-82 US,2026-06-01,
JOB083,Faculty Program-83 Faculty Search,open,Global Health 83,City-83 US,2026-06-01,
JOB084,Faculty Program-84 Faculty Search,open,Global Health 84,City-84 US,2026-06-01,
JOB085,Faculty Program-85 Faculty Search,open,Global Health 85,City-85 US,2026-06-01,
JOB086,Faculty Program-86 Faculty Search,open,Global Health 86,City-86 US,2026-06-01,
JOB087,Faculty Program-87 Faculty Search,open,Global Health 87,City-87 US,2026-06-01,
JOB088,Faculty Program-88 Faculty Search,open,Global Health 88,City-88 US,2026-06-01,
JOB089,Faculty Program-89 Faculty Search,open,Global Health 89,City-89 US,2026-06-01,
JOB090,Faculty Program-90 Faculty Search,open,Global Health 90,City-90 US,2026-06-01,
