order_id,user_id,retailer_id,status,subtotal,delivery_fee,service_fee,tip,total,placed_at,delivery_window_start,delivery_window_end,shopper_id
ord_2026_10_14,user-fritz-rush-decatur,ret_publix,scheduled,102.35,5.99,5.12,8.00,121.46,2026-10-13T20:00:00-04:00,2026-10-14T17:00:00-04:00,2026-10-14T18:00:00-04:00,shp_ashley
ord_2026_10_07,user-fritz-rush-decatur,ret_publix,delivered,84.20,5.99,4.21,7.00,101.40,2026-10-06T18:00:00-04:00,2026-10-07T18:00:00-04:00,2026-10-07T19:00:00-04:00,shp_marcus
ord_2026_09_30,user-fritz-rush-decatur,ret_publix,delivered,91.50,5.99,4.58,7.50,109.57,2026-09-29T20:00:00-04:00,2026-09-30T17:00:00-04:00,2026-09-30T18:00:00-04:00,shp_tanya
ord_2026_09_23,user-fritz-rush-decatur,ret_costco,delivered,472.85,4.99,23.64,15.00,516.48,2026-09-22T09:00:00-04:00,2026-09-23T11:00:00-04:00,2026-09-23T12:30:00-04:00,shp_derek
ord_2025_02_02,user-fritz-rush-decatur,ret_wholefoods,delivered,124.11,5.99,6.21,7.50,143.81,2025-02-02T18:00:00-04:00,2025-02-02T20:00:00-04:00,2025-02-02T21:00:00-04:00,shp_101
ord_2025_03_03,user-fritz-rush-decatur,ret_costco,delivered,94.3,5.99,4.72,7.50,112.51,2025-03-03T18:00:00-04:00,2025-03-03T20:00:00-04:00,2025-03-03T21:00:00-04:00,shp_102
ord_2025_04_04,user-fritz-rush-decatur,ret_kroger,delivered,77.21,5.99,3.86,7.50,94.56,2025-04-04T18:00:00-04:00,2025-04-04T20:00:00-04:00,2025-04-04T21:00:00-04:00,shp_103
ord_2025_05_05,user-fritz-rush-decatur,ret_kroger,delivered,98.44,5.99,4.92,7.50,116.85,2025-05-05T18:00:00-04:00,2025-05-05T20:00:00-04:00,2025-05-05T21:00:00-04:00,shp_104
ord_2025_06_06,user-fritz-rush-decatur,ret_aldi,delivered,63.08,5.99,3.15,7.50,79.72,2025-06-06T18:00:00-04:00,2025-06-06T20:00:00-04:00,2025-06-06T21:00:00-04:00,shp_105
ord_2025_07_07,user-fritz-rush-decatur,ret_target,delivered,139.6,5.99,6.98,7.50,160.07,2025-07-07T18:00:00-04:00,2025-07-07T20:00:00-04:00,2025-07-07T21:00:00-04:00,shp_106
ord_2025_08_08,user-fritz-rush-decatur,ret_kroger,delivered,42.55,5.99,2.13,7.50,58.17,2025-08-08T18:00:00-04:00,2025-08-08T20:00:00-04:00,2025-08-08T21:00:00-04:00,shp_107
ord_2025_09_09,user-fritz-rush-decatur,ret_publix,delivered,106.56,5.99,5.33,7.50,125.38,2025-09-09T18:00:00-04:00,2025-09-09T20:00:00-04:00,2025-09-09T21:00:00-04:00,shp_108
ord_2025_10_10,user-fritz-rush-decatur,ret_wholefoods,delivered,130.29,5.99,6.51,7.50,150.29,2025-10-10T18:00:00-04:00,2025-10-10T20:00:00-04:00,2025-10-10T21:00:00-04:00,shp_109
ord_2025_11_11,user-fritz-rush-decatur,ret_kroger,delivered,133.42,5.99,6.67,7.50,153.58,2025-11-11T18:00:00-04:00,2025-11-11T20:00:00-04:00,2025-11-11T21:00:00-04:00,shp_110
ord_2025_12_12,user-fritz-rush-decatur,ret_wholefoods,delivered,87.95,5.99,4.40,7.50,105.84,2025-12-12T18:00:00-04:00,2025-12-12T20:00:00-04:00,2025-12-12T21:00:00-04:00,shp_111
ord_2025_01_13,user-fritz-rush-decatur,ret_aldi,delivered,95.17,5.99,4.76,7.50,113.42,2025-01-13T18:00:00-04:00,2025-01-13T20:00:00-04:00,2025-01-13T21:00:00-04:00,shp_112
ord_2025_02_14,user-fritz-rush-decatur,ret_wholefoods,delivered,137.26,5.99,6.86,7.50,157.61,2025-02-14T18:00:00-04:00,2025-02-14T20:00:00-04:00,2025-02-14T21:00:00-04:00,shp_113
ord_2025_03_15,user-fritz-rush-decatur,ret_wholefoods,delivered,130.47,5.99,6.52,7.50,150.48,2025-03-15T18:00:00-04:00,2025-03-15T20:00:00-04:00,2025-03-15T21:00:00-04:00,shp_114
ord_2025_04_16,user-fritz-rush-decatur,ret_target,delivered,104.8,5.99,5.24,7.50,123.53,2025-04-16T18:00:00-04:00,2025-04-16T20:00:00-04:00,2025-04-16T21:00:00-04:00,shp_115
ord_2025_05_17,user-fritz-rush-decatur,ret_wholefoods,delivered,70.82,5.99,3.54,7.50,87.85,2025-05-17T18:00:00-04:00,2025-05-17T20:00:00-04:00,2025-05-17T21:00:00-04:00,shp_116
ord_2025_06_18,user-fritz-rush-decatur,ret_publix,delivered,80.13,5.99,4.01,7.50,97.63,2025-06-18T18:00:00-04:00,2025-06-18T20:00:00-04:00,2025-06-18T21:00:00-04:00,shp_117
ord_2025_07_19,user-fritz-rush-decatur,ret_aldi,delivered,108.93,5.99,5.45,7.50,127.87,2025-07-19T18:00:00-04:00,2025-07-19T20:00:00-04:00,2025-07-19T21:00:00-04:00,shp_118
ord_2025_08_20,user-fritz-rush-decatur,ret_publix,delivered,80.4,5.99,4.02,7.50,97.91,2025-08-20T18:00:00-04:00,2025-08-20T20:00:00-04:00,2025-08-20T21:00:00-04:00,shp_119
ord_2025_09_21,user-fritz-rush-decatur,ret_publix,delivered,60.32,5.99,3.02,7.50,76.83,2025-09-21T18:00:00-04:00,2025-09-21T20:00:00-04:00,2025-09-21T21:00:00-04:00,shp_120
ord_2025_10_22,user-fritz-rush-decatur,ret_target,delivered,114.97,5.99,5.75,7.50,134.21,2025-10-22T18:00:00-04:00,2025-10-22T20:00:00-04:00,2025-10-22T21:00:00-04:00,shp_121
ord_2025_11_23,user-fritz-rush-decatur,ret_kroger,delivered,56.5,5.99,2.83,7.50,72.82,2025-11-23T18:00:00-04:00,2025-11-23T20:00:00-04:00,2025-11-23T21:00:00-04:00,shp_122
ord_2025_12_24,user-fritz-rush-decatur,ret_publix,delivered,61.05,5.99,3.05,7.50,77.59,2025-12-24T18:00:00-04:00,2025-12-24T20:00:00-04:00,2025-12-24T21:00:00-04:00,shp_123
ord_2025_01_25,user-fritz-rush-decatur,ret_target,delivered,76.73,5.99,3.84,7.50,94.06,2025-01-25T18:00:00-04:00,2025-01-25T20:00:00-04:00,2025-01-25T21:00:00-04:00,shp_124
ord_2025_02_26,user-fritz-rush-decatur,ret_publix,delivered,120.5,5.99,6.03,7.50,140.02,2025-02-26T18:00:00-04:00,2025-02-26T20:00:00-04:00,2025-02-26T21:00:00-04:00,shp_125
ord_2025_03_27,user-fritz-rush-decatur,ret_aldi,delivered,42.74,5.99,2.14,7.50,58.37,2025-03-27T18:00:00-04:00,2025-03-27T20:00:00-04:00,2025-03-27T21:00:00-04:00,shp_126
ord_2025_04_28,user-fritz-rush-decatur,ret_kroger,delivered,76.73,5.99,3.84,7.50,94.06,2025-04-28T18:00:00-04:00,2025-04-28T20:00:00-04:00,2025-04-28T21:00:00-04:00,shp_127
ord_2025_05_01,user-fritz-rush-decatur,ret_kroger,delivered,105.95,5.99,5.30,7.50,124.74,2025-05-01T18:00:00-04:00,2025-05-01T20:00:00-04:00,2025-05-01T21:00:00-04:00,shp_128
ord_2025_06_02,user-fritz-rush-decatur,ret_costco,delivered,79.06,5.99,3.95,7.50,96.50,2025-06-02T18:00:00-04:00,2025-06-02T20:00:00-04:00,2025-06-02T21:00:00-04:00,shp_129
ord_2026_07_03,user-fritz-rush-decatur,ret_wholefoods,delivered,92.02,5.99,4.60,7.50,110.11,2026-07-03T18:00:00-04:00,2026-07-03T20:00:00-04:00,2026-07-03T21:00:00-04:00,shp_130
ord_2026_08_04,user-fritz-rush-decatur,ret_costco,delivered,40.65,5.99,2.03,7.50,56.17,2026-08-04T18:00:00-04:00,2026-08-04T20:00:00-04:00,2026-08-04T21:00:00-04:00,shp_131
ord_2026_09_05,user-fritz-rush-decatur,ret_publix,delivered,98.08,5.99,4.90,7.50,116.47,2026-09-05T18:00:00-04:00,2026-09-05T20:00:00-04:00,2026-09-05T21:00:00-04:00,shp_132
ord_2026_10_06,user-fritz-rush-decatur,ret_kroger,delivered,91.35,5.99,4.57,7.50,109.41,2026-10-06T18:00:00-04:00,2026-10-06T20:00:00-04:00,2026-10-06T21:00:00-04:00,shp_133
ord_2026_11_07,user-fritz-rush-decatur,ret_kroger,delivered,59.64,5.99,2.98,7.50,76.11,2026-11-07T18:00:00-04:00,2026-11-07T20:00:00-04:00,2026-11-07T21:00:00-04:00,shp_134
ord_2026_12_08,user-fritz-rush-decatur,ret_publix,delivered,94.01,5.99,4.70,7.50,112.20,2026-12-08T18:00:00-04:00,2026-12-08T20:00:00-04:00,2026-12-08T21:00:00-04:00,shp_135
ord_2026_01_09,user-fritz-rush-decatur,ret_aldi,delivered,96.06,5.99,4.80,7.50,114.35,2026-01-09T18:00:00-04:00,2026-01-09T20:00:00-04:00,2026-01-09T21:00:00-04:00,shp_136
ord_2026_02_10,user-fritz-rush-decatur,ret_kroger,delivered,106.51,5.99,5.33,7.50,125.33,2026-02-10T18:00:00-04:00,2026-02-10T20:00:00-04:00,2026-02-10T21:00:00-04:00,shp_137
ord_2026_03_11,user-fritz-rush-decatur,ret_costco,delivered,95.66,5.99,4.78,7.50,113.93,2026-03-11T18:00:00-04:00,2026-03-11T20:00:00-04:00,2026-03-11T21:00:00-04:00,shp_138
ord_2026_04_12,user-fritz-rush-decatur,ret_target,delivered,101.44,5.99,5.07,7.50,120.00,2026-04-12T18:00:00-04:00,2026-04-12T20:00:00-04:00,2026-04-12T21:00:00-04:00,shp_139
ord_2026_05_13,user-fritz-rush-decatur,ret_target,delivered,79.62,5.99,3.98,7.50,97.09,2026-05-13T18:00:00-04:00,2026-05-13T20:00:00-04:00,2026-05-13T21:00:00-04:00,shp_140
ord_2026_06_14,user-fritz-rush-decatur,ret_kroger,delivered,66.45,5.99,3.32,7.50,83.26,2026-06-14T18:00:00-04:00,2026-06-14T20:00:00-04:00,2026-06-14T21:00:00-04:00,shp_141
ord_2026_07_15,user-fritz-rush-decatur,ret_costco,delivered,140.79,5.99,7.04,7.50,161.32,2026-07-15T18:00:00-04:00,2026-07-15T20:00:00-04:00,2026-07-15T21:00:00-04:00,shp_142
ord_2026_08_16,user-fritz-rush-decatur,ret_target,delivered,80.21,5.99,4.01,7.50,97.71,2026-08-16T18:00:00-04:00,2026-08-16T20:00:00-04:00,2026-08-16T21:00:00-04:00,shp_143
ord_2026_09_17,user-fritz-rush-decatur,ret_kroger,delivered,87.03,5.99,4.35,7.50,104.87,2026-09-17T18:00:00-04:00,2026-09-17T20:00:00-04:00,2026-09-17T21:00:00-04:00,shp_144
ord_2026_10_18,user-fritz-rush-decatur,ret_aldi,delivered,59.28,5.99,2.96,7.50,75.73,2026-10-18T18:00:00-04:00,2026-10-18T20:00:00-04:00,2026-10-18T21:00:00-04:00,shp_145
ord_2026_11_19,user-fritz-rush-decatur,ret_kroger,delivered,40.58,5.99,2.03,7.50,56.10,2026-11-19T18:00:00-04:00,2026-11-19T20:00:00-04:00,2026-11-19T21:00:00-04:00,shp_146
ord_2026_12_20,user-fritz-rush-decatur,ret_aldi,delivered,104.19,5.99,5.21,7.50,122.89,2026-12-20T18:00:00-04:00,2026-12-20T20:00:00-04:00,2026-12-20T21:00:00-04:00,shp_147
ord_2026_01_21,user-fritz-rush-decatur,ret_kroger,delivered,142.42,5.99,7.12,7.50,163.03,2026-01-21T18:00:00-04:00,2026-01-21T20:00:00-04:00,2026-01-21T21:00:00-04:00,shp_148
ord_2026_02_22,user-fritz-rush-decatur,ret_kroger,delivered,51.06,5.99,2.55,7.50,67.10,2026-02-22T18:00:00-04:00,2026-02-22T20:00:00-04:00,2026-02-22T21:00:00-04:00,shp_149
ord_2026_03_23,user-fritz-rush-decatur,ret_publix,delivered,124.42,5.99,6.22,7.50,144.13,2026-03-23T18:00:00-04:00,2026-03-23T20:00:00-04:00,2026-03-23T21:00:00-04:00,shp_150
ord_2026_04_24,user-fritz-rush-decatur,ret_costco,delivered,76,5.99,3.80,7.50,93.29,2026-04-24T18:00:00-04:00,2026-04-24T20:00:00-04:00,2026-04-24T21:00:00-04:00,shp_151
ord_2026_05_25,user-fritz-rush-decatur,ret_target,delivered,55.89,5.99,2.79,7.50,72.17,2026-05-25T18:00:00-04:00,2026-05-25T20:00:00-04:00,2026-05-25T21:00:00-04:00,shp_152
ord_2026_06_26,user-fritz-rush-decatur,ret_kroger,delivered,75.97,5.99,3.80,7.50,93.26,2026-06-26T18:00:00-04:00,2026-06-26T20:00:00-04:00,2026-06-26T21:00:00-04:00,shp_153
ord_2026_07_27,user-fritz-rush-decatur,ret_publix,delivered,91.93,5.99,4.60,7.50,110.02,2026-07-27T18:00:00-04:00,2026-07-27T20:00:00-04:00,2026-07-27T21:00:00-04:00,shp_154
ord_2026_08_28,user-fritz-rush-decatur,ret_target,delivered,130.01,5.99,6.50,7.50,150.00,2026-08-28T18:00:00-04:00,2026-08-28T20:00:00-04:00,2026-08-28T21:00:00-04:00,shp_155
ord_2026_09_01,user-fritz-rush-decatur,ret_wholefoods,delivered,110,5.99,5.50,7.50,128.99,2026-09-01T18:00:00-04:00,2026-09-01T20:00:00-04:00,2026-09-01T21:00:00-04:00,shp_156
ord_2026_10_02,user-fritz-rush-decatur,ret_target,delivered,66.75,5.99,3.34,7.50,83.58,2026-10-02T18:00:00-04:00,2026-10-02T20:00:00-04:00,2026-10-02T21:00:00-04:00,shp_157
ord_2026_11_03,user-fritz-rush-decatur,ret_publix,delivered,107.61,5.99,5.38,7.50,126.48,2026-11-03T18:00:00-04:00,2026-11-03T20:00:00-04:00,2026-11-03T21:00:00-04:00,shp_158
ord_2026_12_04,user-fritz-rush-decatur,ret_publix,delivered,119.54,5.99,5.98,7.50,139.01,2026-12-04T18:00:00-04:00,2026-12-04T20:00:00-04:00,2026-12-04T21:00:00-04:00,shp_159
ord_2026_01_05,user-fritz-rush-decatur,ret_aldi,delivered,96.96,5.99,4.85,7.50,115.30,2026-01-05T18:00:00-04:00,2026-01-05T20:00:00-04:00,2026-01-05T21:00:00-04:00,shp_160
ord_2026_02_06,user-fritz-rush-decatur,ret_costco,delivered,115.54,5.99,5.78,7.50,134.81,2026-02-06T18:00:00-04:00,2026-02-06T20:00:00-04:00,2026-02-06T21:00:00-04:00,shp_161
ord_2026_03_07,user-fritz-rush-decatur,ret_costco,delivered,133.61,5.99,6.68,7.50,153.78,2026-03-07T18:00:00-04:00,2026-03-07T20:00:00-04:00,2026-03-07T21:00:00-04:00,shp_162
ord_2026_04_08,user-fritz-rush-decatur,ret_aldi,delivered,40.01,5.99,2.00,7.50,55.50,2026-04-08T18:00:00-04:00,2026-04-08T20:00:00-04:00,2026-04-08T21:00:00-04:00,shp_163
ord_2026_05_09,user-fritz-rush-decatur,ret_kroger,delivered,110.39,5.99,5.52,7.50,129.40,2026-05-09T18:00:00-04:00,2026-05-09T20:00:00-04:00,2026-05-09T21:00:00-04:00,shp_164
ord_2026_06_10,user-fritz-rush-decatur,ret_aldi,delivered,41.68,5.99,2.08,7.50,57.25,2026-06-10T18:00:00-04:00,2026-06-10T20:00:00-04:00,2026-06-10T21:00:00-04:00,shp_165
ord_2026_07_11,user-fritz-rush-decatur,ret_aldi,delivered,47.16,5.99,2.36,7.50,63.01,2026-07-11T18:00:00-04:00,2026-07-11T20:00:00-04:00,2026-07-11T21:00:00-04:00,shp_166
ord_2026_08_12,user-fritz-rush-decatur,ret_wholefoods,delivered,49.14,5.99,2.46,7.50,65.09,2026-08-12T18:00:00-04:00,2026-08-12T20:00:00-04:00,2026-08-12T21:00:00-04:00,shp_167
