id,parent_type,parent_id,title,created_time,last_edited_time,created_by,archived,icon,cover_url
pg_r21_planning,database,db_grant_tracker,R21 CoI Planning Draft,2026-01-08T10:00:00.000Z,2026-01-14T15:00:00.000Z,usr_fritz_001,false,users,
pg_r21_submitted,database,db_grant_tracker,R21 Submitted Application - Feb 2026,2026-02-15T09:00:00.000Z,2026-02-15T09:00:00.000Z,usr_fritz_001,false,check,
pg_rtss_roadmap,database,db_research_roadmap,RTS-S Multi-site Roadmap 2026-2027,2024-08-05T09:00:00.000Z,2026-10-02T14:00:00.000Z,usr_fritz_001,false,microscope,
pg_faculty_targets,database,db_faculty_plan,Faculty Target Programs,2025-11-01T12:00:00.000Z,2026-10-04T11:00:00.000Z,usr_fritz_001,false,briefcase,
pg_idweek_plan,database,db_research_roadmap,IDWeek 2026 Prep,2026-08-15T09:00:00.000Z,2026-09-30T18:00:00.000Z,usr_fritz_001,false,calendar,
pg_grand_rounds_outline,database,db_research_roadmap,CHOA Grand Rounds Oct 22 Outline,2026-09-01T10:00:00.000Z,2026-10-04T13:00:00.000Z,usr_fritz_001,false,mic,
pg_bookclub_2026,database,db_reading_notes,Global Health Book Club 2026,2025-12-15T20:00:00.000Z,2026-09-30T22:00:00.000Z,usr_fritz_001,false,book,
pg_site_kintampo_101,database,db_mpi_field,Kintampo site briefing,2025-01-15T09:00:00.000Z,2026-09-20T14:00:00.000Z,usr_fritz_001,false,globe,
pg_site_kintampo_102,database,db_mpi_field,Kintampo field coordinator notes,2025-01-15T09:00:00.000Z,2026-09-20T14:00:00.000Z,usr_fritz_001,false,globe,
pg_site_kintampo_103,database,db_mpi_field,Kintampo IRB timeline,2025-01-15T09:00:00.000Z,2026-09-20T14:00:00.000Z,usr_fritz_001,false,globe,
pg_site_kintampo_104,database,db_mpi_field,Kintampo recruiting log,2025-01-15T09:00:00.000Z,2026-09-20T14:00:00.000Z,usr_fritz_001,false,globe,
pg_site_kintampo_105,database,db_mpi_field,Kintampo data quality log,2025-01-15T09:00:00.000Z,2026-09-20T14:00:00.000Z,usr_fritz_001,false,globe,
pg_site_kintampo_106,database,db_mpi_field,Kintampo monthly status,2025-01-15T09:00:00.000Z,2026-09-20T14:00:00.000Z,usr_fritz_001,false,globe,
pg_site_kilifi_107,database,db_mpi_field,Kilifi site briefing,2025-01-15T09:00:00.000Z,2026-09-20T14:00:00.000Z,usr_fritz_001,false,globe,
pg_site_kilifi_108,database,db_mpi_field,Kilifi field coordinator notes,2025-01-15T09:00:00.000Z,2026-09-20T14:00:00.000Z,usr_fritz_001,false,globe,
pg_site_kilifi_109,database,db_mpi_field,Kilifi IRB timeline,2025-01-15T09:00:00.000Z,2026-09-20T14:00:00.000Z,usr_fritz_001,false,globe,
pg_site_kilifi_110,database,db_mpi_field,Kilifi recruiting log,2025-01-15T09:00:00.000Z,2026-09-20T14:00:00.000Z,usr_fritz_001,false,globe,
pg_site_kilifi_111,database,db_mpi_field,Kilifi data quality log,2025-01-15T09:00:00.000Z,2026-09-20T14:00:00.000Z,usr_fritz_001,false,globe,
pg_site_kilifi_112,database,db_mpi_field,Kilifi monthly status,2025-01-15T09:00:00.000Z,2026-09-20T14:00:00.000Z,usr_fritz_001,false,globe,
pg_site_manhica_113,database,db_mpi_field,Manhica site briefing,2025-01-15T09:00:00.000Z,2026-09-20T14:00:00.000Z,usr_fritz_001,false,globe,
pg_site_manhica_114,database,db_mpi_field,Manhica field coordinator notes,2025-01-15T09:00:00.000Z,2026-09-20T14:00:00.000Z,usr_fritz_001,false,globe,
