alias,title,parent
restaurants,Restaurants,
ethiopian,Ethiopian,restaurants
japanese,Japanese,restaurants
sushi,Sushi Bars,japanese
coffee,Coffee & Tea,restaurants
bakery,Bakeries,restaurants
farmersmarket,Farmers Market,shopping
italian,Italian,restaurants
chinese,Chinese,restaurants
korean,Korean,restaurants
mexican,Mexican,restaurants
indian,Indian,restaurants
french,French,restaurants
spanish,Spanish,restaurants
thai,Thai,restaurants
vietnamese,Vietnamese,restaurants
american,American,restaurants
southern,Southern,restaurants
bbq,BBQ,restaurants
pizza,Pizza,restaurants
burgers,Burgers,restaurants
seafood,Seafood,restaurants
steakhouses,Steakhouses,restaurants
vegetarian,Vegetarian,restaurants
vegan,Vegan,restaurants
diners,Diners,restaurants
cafeterias,Cafeterias,restaurants
gastropubs,Gastropubs,restaurants
tapas,Tapas Bars,restaurants
delis,Delis,restaurants
icecream,Ice Cream,restaurants
desserts,Desserts,restaurants
bakeries,Bakeries,restaurants
juicebars,Juice Bars,restaurants
breakfast,Breakfast and Brunch,restaurants
