zpid,event_date,event,price,price_per_sqft,source
zpid_dec_001,2026-09-25,Listed for sale,795000,324,Zillow
zpid_dec_002,2026-09-07,Listed for sale,685000,326,Zillow
zpid_dec_002,2026-08-15,Zestimate update,698000,332,Zillow
zpid_ave_003,2025-06-01,Sold,610000,277,Zillow
zpid_217,2026-06-12,Listed for sale,852000,311,Zillow
zpid_270,2026-04-16,Listed for sale,852000,378,Zillow
zpid_269,2026-08-01,Contingent,834000,313,Zillow
zpid_260,2026-05-19,Price cut,868000,290,Zillow
zpid_201,2026-08-08,Withdrawn,779000,267,Zillow
zpid_202,2026-01-12,Pending,614000,268,Zillow
zpid_236,2026-07-09,Listed for sale,626000,259,Zillow
zpid_230,2026-09-09,Listed for sale,810000,402,Zillow
zpid_213,2026-07-04,Listed for sale,772000,267,Zillow
zpid_275,2026-09-10,Sold,755000,300,Zillow
zpid_251,2026-09-15,Withdrawn,894000,421,Zillow
zpid_254,2026-05-06,Zestimate update,507000,180,Zillow
zpid_203,2026-08-25,Contingent,680000,271,Zillow
zpid_200,2026-09-05,Contingent,849000,354,Zillow
zpid_200,2026-07-02,Listed for sale,851000,308,Zillow
zpid_236,2026-09-14,Listed for sale,670000,227,Zillow
zpid_204,2026-06-23,Listed for sale,868000,347,Zillow
zpid_278,2026-04-20,Pending,875000,342,Zillow
zpid_227,2026-03-09,Price cut,645000,254,Zillow
zpid_217,2026-07-12,Contingent,560000,278,Zillow
zpid_239,2026-07-20,Contingent,843000,321,Zillow
zpid_204,2026-09-10,Pending,636000,222,Zillow
zpid_219,2026-06-12,Listed for sale,868000,312,Zillow
zpid_267,2026-05-10,Withdrawn,775000,289,Zillow
zpid_204,2026-07-27,Sold,749000,300,Zillow
zpid_213,2026-03-24,Listed for sale,568000,250,Zillow
zpid_236,2026-03-05,Sold,763000,324,Zillow
zpid_223,2026-05-09,Pending,889000,319,Zillow
zpid_281,2026-09-05,Price cut,748000,256,Zillow
zpid_268,2026-06-05,Contingent,888000,381,Zillow
zpid_224,2026-06-21,Sold,888000,373,Zillow
zpid_203,2026-07-11,Listed for sale,860000,339,Zillow
zpid_230,2026-04-18,Price cut,610000,231,Zillow
zpid_224,2026-06-04,Zestimate update,719000,333,Zillow
zpid_243,2026-02-24,Sold,881000,354,Zillow
zpid_203,2026-04-07,Listed for sale,517000,229,Zillow
zpid_264,2026-04-25,Zestimate update,647000,227,Zillow
zpid_238,2026-01-16,Price cut,842000,340,Zillow
zpid_261,2026-03-16,Zestimate update,629000,221,Zillow
zpid_249,2026-07-05,Price cut,582000,217,Zillow
zpid_274,2026-06-23,Withdrawn,771000,323,Zillow
zpid_252,2026-02-06,Contingent,628000,284,Zillow
zpid_247,2026-08-08,Contingent,528000,263,Zillow
zpid_281,2026-06-21,Sold,500000,178,Zillow
zpid_232,2026-06-23,Withdrawn,525000,198,Zillow
zpid_273,2026-06-04,Sold,770000,289,Zillow
zpid_271,2026-09-23,Price cut,512000,206,Zillow
zpid_205,2026-01-08,Listed for sale,728000,278,Zillow
zpid_225,2026-07-07,Withdrawn,871000,431,Zillow
zpid_243,2026-05-09,Pending,592000,212,Zillow
zpid_218,2026-04-19,Listed for sale,871000,345,Zillow
zpid_279,2026-08-23,Zestimate update,504000,221,Zillow
zpid_264,2026-05-17,Price cut,610000,252,Zillow
zpid_264,2026-02-10,Withdrawn,776000,316,Zillow
zpid_267,2026-06-16,Sold,549000,249,Zillow
zpid_233,2026-06-01,Listed for sale,780000,281,Zillow
zpid_274,2026-04-21,Withdrawn,729000,362,Zillow
zpid_260,2026-07-02,Pending,531000,240,Zillow
zpid_248,2026-03-09,Withdrawn,821000,374,Zillow
zpid_276,2026-06-04,Zestimate update,774000,368,Zillow
zpid_247,2026-03-02,Zestimate update,760000,319,Zillow
zpid_279,2026-02-24,Contingent,737000,347,Zillow
zpid_261,2026-07-19,Zestimate update,838000,299,Zillow
zpid_209,2026-05-19,Contingent,809000,389,Zillow
zpid_280,2026-08-24,Price cut,792000,267,Zillow
zpid_244,2026-04-01,Pending,781000,267,Zillow
zpid_273,2026-04-23,Sold,824000,399,Zillow
zpid_229,2026-06-16,Listed for sale,817000,317,Zillow
zpid_263,2026-05-05,Contingent,755000,294,Zillow
zpid_239,2026-08-16,Contingent,870000,299,Zillow
zpid_221,2026-03-13,Zestimate update,669000,278,Zillow
zpid_256,2026-06-04,Listed for sale,786000,296,Zillow
zpid_230,2026-08-18,Contingent,507000,212,Zillow
zpid_282,2026-09-08,Withdrawn,675000,248,Zillow
zpid_276,2026-03-20,Price cut,750000,252,Zillow
zpid_202,2026-04-03,Contingent,624000,221,Zillow
zpid_268,2026-04-12,Zestimate update,546000,203,Zillow
zpid_222,2026-04-25,Sold,888000,369,Zillow
zpid_238,2026-02-01,Price cut,861000,335,Zillow
zpid_233,2026-02-12,Withdrawn,768000,345,Zillow
zpid_259,2026-06-08,Listed for sale,819000,387,Zillow
zpid_221,2026-06-26,Listed for sale,895000,415,Zillow
zpid_264,2026-06-27,Listed for sale,528000,198,Zillow
zpid_274,2026-02-17,Contingent,752000,273,Zillow
zpid_211,2026-03-08,Pending,599000,205,Zillow
zpid_214,2026-07-20,Zestimate update,810000,388,Zillow
zpid_238,2026-06-04,Pending,693000,242,Zillow
zpid_221,2026-09-24,Zestimate update,647000,286,Zillow
zpid_228,2026-06-25,Contingent,863000,352,Zillow
zpid_215,2026-09-23,Listed for sale,796000,297,Zillow
