activity_date,activity_type,duration_minutes,distance_miles,route,avg_pace_min_per_mi,notes
2026-09-01,walk,32,1.8,dorm to Wexler back,17.78,pre class stretch
2026-09-02,walk,45,2.5,West End loop,18.00,after class
2026-09-04,walk,28,1.5,dorm to Publix,18.67,groceries run
2026-09-06,walk,55,3.1,church walk back St Paul AME,17.74,Sunday
2026-09-08,walk,30,1.6,Wexler round trip,18.75,between class
2026-09-10,walk,42,2.3,library to dorm long way,18.26,study break
2026-09-11,walk,25,1.4,quick MARTA station,17.86,
2026-09-13,walk,60,3.4,Sunday church + Publix,17.65,combined
2026-09-15,walk,35,1.9,study break,18.42,
2026-09-17,walk,40,2.2,dorm to library to dorm,18.18,
2026-09-19,walk,50,2.7,neighborhood clinic volunteer walk over,18.52,to and from HEP shift
2026-09-20,walk,58,3.2,Sunday church walk,18.13,
2026-09-22,walk,33,1.8,Wexler quick,18.33,
2026-09-24,walk,45,2.4,dorm to Kroger and back,18.75,groceries
2026-09-27,walk,52,2.9,Sunday church,17.93,
2026-09-29,walk,30,1.6,post shift walk to clear head,18.75,
2026-10-01,walk,40,2.2,library,18.18,study break
2026-10-03,walk,65,3.6,HEP flu clinic walk over,18.06,
2026-10-04,walk,55,3.0,Sunday church + errands,18.33,
NOTE,I do not run. Just walk. MARTA plus walk covers most of my transit.,,,,,,
NOTE,I do not upload to social. Strava is private to me.,,,,,,
NOTE,No pace goals. Just tracking to make sure I move some between class and shift.,,,,,,
