Date	Activity	Duration_min	Where	Notes
2025-10-06	Yoga (online)	45	Home	Tue AM
2025-10-06	Walk	30	Neighborhood	Lunch break
2025-10-08	Yoga (online)	45	Home	Thu AM
2025-10-13	Walk	30	Tremont path	After dinner
2025-11-03	Yoga (online)	40	Home	Shorter, busy week
2025-11-22	Walk	35	Park	Crisp, clear head
2025-12-14	Yoga (online)	45	Home	
2026-01-06	Walk	25	Treadmill	Too icy outside
2026-01-13	Yoga (online)	45	Home	Back to routine
NOTE	Consistency over intensity, logged in a fitness app, no calorie pressure			
