Date	Time	Zone	Temp_C	RH_percent	Setpoint_RH	Status
2026-02-01	08:00	Storage	19.4	51	50	OK
2026-02-01	14:00	Storage	19.8	51	50	OK
2026-02-01	08:00	Treatment	20.4	52	51	OK
2026-02-01	14:00	Treatment	20.8	52	51	OK
2026-02-02	08:00	Storage	18.8	48	50	OK
2026-02-02	14:00	Storage	19.2	51	50	OK
2026-02-02	08:00	Treatment	19.8	49	51	OK
2026-02-02	14:00	Treatment	20.2	52	51	OK
2026-02-03	08:00	Storage	19.4	50	50	OK
2026-02-03	14:00	Storage	19.8	51	50	OK
2026-02-03	08:00	Treatment	20.4	51	51	OK
2026-02-03	14:00	Treatment	20.8	52	51	OK
2026-02-04	08:00	Storage	18.8	52	50	OK
2026-02-04	14:00	Storage	19.2	51	50	OK
2026-02-04	08:00	Treatment	19.8	53	51	OK
2026-02-04	14:00	Treatment	20.2	52	51	OK
2026-02-05	08:00	Storage	19.4	49	50	OK
2026-02-05	14:00	Storage	19.8	51	50	OK
2026-02-05	08:00	Treatment	20.4	50	51	OK
2026-02-05	14:00	Treatment	20.8	52	51	OK
2026-02-06	08:00	Storage	20.0	51	50	OK
2026-02-06	14:00	Storage	20.4	51	50	OK
2026-02-06	08:00	Treatment	21.0	52	51	OK
2026-02-06	14:00	Treatment	21.4	52	51	OK
2026-02-07	08:00	Storage	19.4	48	50	OK
2026-02-07	14:00	Storage	19.8	51	50	OK
2026-02-07	08:00	Treatment	20.4	49	51	OK
2026-02-07	14:00	Treatment	20.8	52	51	OK
2026-02-08	08:00	Storage	18.8	50	50	OK
2026-02-08	14:00	Storage	19.2	51	50	OK
2026-02-08	08:00	Treatment	19.8	51	51	OK
2026-02-08	14:00	Treatment	20.2	52	51	OK
2026-02-09	08:00	Storage	19.4	52	50	OK
2026-02-09	14:00	Storage	19.8	51	50	OK
2026-02-09	08:00	Treatment	20.4	53	51	OK
2026-02-09	14:00	Treatment	20.8	52	51	OK
2026-02-10	08:00	Storage	18.8	49	50	OK
2026-02-10	14:00	Storage	19.2	51	50	OK
2026-02-10	08:00	Treatment	19.8	50	51	OK
2026-02-10	14:00	Treatment	20.2	52	51	OK
2026-02-11	02:14	Storage	19.4	61	50	ALERT high RH
2026-02-11	08:00	Storage	19.5	54	50	Recovering
2026-02-11	14:00	Storage	19.9	50	50	OK
2026-02-11	08:00	Treatment	20.4	52	51	OK
2026-02-11	14:00	Treatment	20.8	52	51	OK
2026-02-12	08:00	Storage	20.0	48	50	OK
2026-02-12	14:00	Storage	20.4	51	50	OK
2026-02-12	08:00	Treatment	21.0	49	51	OK
2026-02-12	14:00	Treatment	21.4	52	51	OK
2026-02-13	08:00	Storage	19.4	50	50	OK
2026-02-13	14:00	Storage	19.8	51	50	OK
2026-02-13	08:00	Treatment	20.4	51	51	OK
2026-02-13	14:00	Treatment	20.8	52	51	OK
2026-02-14	08:00	Storage	18.8	52	50	OK
2026-02-14	14:00	Storage	19.2	51	50	OK
2026-02-14	08:00	Treatment	19.8	53	51	OK
2026-02-14	14:00	Treatment	20.2	52	51	OK
