id,name,parent_id,owner_id,description,size,extension,sha1,created_at,modified_at
bfl-mus-contract-orig,commission_contract_original,bf-museum-signed,bu-margaret,Original commission contract signed,1582144,pdf,3a6b1d0e2c4d5f6a7b8c9d0e1f2a3b4c5d6e7f81,2026-03-15T10:00:00Z,2026-03-18T10:00:00Z
bfl-mus-contract-amend,commission_amendment_signed,bf-museum-signed,bu-margaret,Countersigned amendment supersedes originals fee,1692144,pdf,4b6c1e0f2a4d5e6a7c8d9e0f1a2b3c4d5e6f7182,2026-08-20T10:00:00Z,2026-08-29T10:00:00Z
bfl-mus-loan,loan_paperwork_draft,bf-museum-drafts,bu-margaret,Loan agreement working draft,852133,docx,5c6d1f0a2b4e5d6a7c8d9e0f1a2b3c4d5e6f7183,2026-09-01T10:00:00Z,2026-09-10T10:00:00Z
bfl-mus-artist-stmt,artist_statement_museum,bf-museum-drafts,bu-margaret,Artist statement for museum catalog,22144,md,6d7e1f0a2b4c5d6e7f8091a2b3c4d5e6f70a8184,2026-07-01T10:00:00Z,2026-08-15T10:00:00Z
bfl-mus-tax,tax_cert_commission,bf-museum-signed,bu-margaret,Tax certificate for museum commission,72144,pdf,7e8f1f0a2b4c5d6e7f8091a2b3c4d5e6f70a8185,2026-08-20T10:00:00Z,2026-08-29T10:00:00Z
bfl-mus-insurance,insurance_rider,bf-museum-drafts,bu-margaret,Insurance rider for delivery window,92144,pdf,8f9f1f0a2b4c5d6e7f8091a2b3c4d5e6f70a8186,2026-08-25T10:00:00Z,2026-08-29T10:00:00Z
bfl-mus-po,servicenow_purchase_order,bf-museum-signed,bu-margaret,PO printout from ServiceNow INC0010027,132144,pdf,9a0b1f0a2b4c5d6e7f8091a2b3c4d5e6f70a8187,2026-08-29T10:00:00Z,2026-08-29T10:00:00Z
bfl-mus-throw-log,museum_vessel_throwing_log,bf-museum,bu-margaret,Throwing log across summer trials,182144,md,a0b1c2f0a2b4c5d6e7f8091a2b3c4d5e6f70a8188,2026-07-01T10:00:00Z,2026-09-29T10:00:00Z
bfl-mus-condition,condition_report_template,bf-museum-drafts,bu-margaret,Condition report template,42144,docx,b0c1d2f0a2b4c5d6e7f8091a2b3c4d5e6f70a8189,2026-07-05T10:00:00Z,2026-09-20T10:00:00Z
bfl-terre-crate,terre_crate_manifest,bf-terre,bu-margaret,"Custom crate manifest, eight piece",132144,pdf,c0d1d2f0a2b4c5d6e7f8091a2b3c4d5e6f70a818a,2026-09-10T10:00:00Z,2026-09-29T10:00:00Z
bfl-terre-invoice,terre_invoice_eur,bf-terre,bu-margaret,Invoice to Galerie Terre in EUR,82144,pdf,d0e1d2f0a2b4c5d6e7f8091a2b3c4d5e6f70a818b,2026-09-15T10:00:00Z,2026-09-29T10:00:00Z
bfl-terre-poster,terre_poster_draft,bf-terre,bu-margaret,Vernissage poster draft,512144,pdf,e0f1d2f0a2b4c5d6e7f8091a2b3c4d5e6f70a818c,2026-09-15T10:00:00Z,2026-09-29T10:00:00Z
bfl-terre-consign,terre_consignment_agreement,bf-terre,bu-margaret,Signed consignment agreement,222144,pdf,f0a1d2f0a2b4c5d6e7f8091a2b3c4d5e6f70a818d,2026-09-10T10:00:00Z,2026-09-29T10:00:00Z
bfl-terre-shipping,terre_shipping_notes,bf-terre,bu-margaret,FedEx shipping notes,32144,md,0a1b1d2f0a2b4c5d6e7f8091a2b3c4d5e6f70a818e,2026-09-20T10:00:00Z,2026-09-29T10:00:00Z
bfl-terre-price-list,terre_price_list_paris,bf-terre,bu-margaret,"Paris price list, do not share with Shibui",132144,pdf,1a1b1d2f0a2b4c5d6e7f8091a2b3c4d5e6f70a818f,2026-09-10T10:00:00Z,2026-09-29T10:00:00Z
bfl-shibui-consign,shibui_consignment_status,bf-shibui,bu-margaret,"Consignment status, thirty pieces",92144,xlsx,2a1b1d2f0a2b4c5d6e7f8091a2b3c4d5e6f70a8190,2026-07-15T10:00:00Z,2026-09-29T10:00:00Z
bfl-shibui-poster,shibui_poster_draft,bf-shibui,bu-margaret,Seasonal Table poster draft,412144,pdf,3a1b1d2f0a2b4c5d6e7f8091a2b3c4d5e6f70a8191,2026-09-10T10:00:00Z,2026-09-29T10:00:00Z
bfl-shibui-price,shibui_price_list_kyoto,bf-shibui,bu-margaret,"Kyoto price list, do not share with Paris",92144,pdf,4a1b1d2f0a2b4c5d6e7f8091a2b3c4d5e6f70a8192,2026-09-10T10:00:00Z,2026-09-29T10:00:00Z
bfl-shibui-artist,shibui_artist_statement,bf-shibui,bu-margaret,Artist statement Seasonal Table,22144,md,5a1b1d2f0a2b4c5d6e7f8091a2b3c4d5e6f70a8193,2026-09-01T10:00:00Z,2026-09-29T10:00:00Z
bfl-shibui-inv,shibui_inventory_intake,bf-shibui,bu-margaret,Intake inventory sheet,62144,xlsx,6a1b1d2f0a2b4c5d6e7f8091a2b3c4d5e6f70a8194,2026-09-20T10:00:00Z,2026-09-29T10:00:00Z
bfl-open-poster,openstudio_poster_draft,bf-openstudio,bu-margaret,Autumn open studio poster draft,512144,pdf,7a1b1d2f0a2b4c5d6e7f8091a2b3c4d5e6f70a8195,2026-09-15T10:00:00Z,2026-09-29T10:00:00Z
bfl-open-newsletter,openstudio_newsletter_draft,bf-openstudio,bu-margaret,Autumn newsletter draft,42144,md,8a1b1d2f0a2b4c5d6e7f8091a2b3c4d5e6f70a8196,2026-09-20T10:00:00Z,2026-09-29T10:00:00Z
bfl-open-layout,openstudio_layout_map,bf-openstudio,bu-margaret,Studio layout map,112144,pdf,9a1b1d2f0a2b4c5d6e7f8091a2b3c4d5e6f70a8197,2026-09-15T10:00:00Z,2026-09-29T10:00:00Z
bfl-open-sales-prior,openstudio_prior_sales,bf-openstudio,bu-margaret,Prior year direct sales export,82144,csv,aa1b1d2f0a2b4c5d6e7f8091a2b3c4d5e6f70a8198,2025-11-10T10:00:00Z,2026-01-10T10:00:00Z
bfl-kiln-log,kiln_log_master,bf-kiln,bu-margaret,Kiln log master export from Notion,182144,csv,ab1b1d2f0a2b4c5d6e7f8091a2b3c4d5e6f70a8199,2024-01-01T10:00:00Z,2026-09-29T10:00:00Z
bfl-kiln-thermal,kiln_thermal_curve,bf-kiln,bu-margaret,Sample thermal curve reference,212144,png,ac1b1d2f0a2b4c5d6e7f8091a2b3c4d5e6f70a819a,2026-04-01T10:00:00Z,2026-04-01T10:00:00Z
bfl-kiln-anagama,anagama_loading_reference,bf-kiln,bu-margaret,Anagama loading reference,412144,png,ad1b1d2f0a2b4c5d6e7f8091a2b3c4d5e6f70a819b,2026-04-01T10:00:00Z,2026-04-01T10:00:00Z
bfl-glaze-notion,wood_ash_glaze_current,bf-glaze,bu-margaret,Notion current wood ash recipe export,32144,md,ae1b1d2f0a2b4c5d6e7f8091a2b3c4d5e6f70a819c,2026-04-01T10:00:00Z,2026-09-29T10:00:00Z
bfl-glaze-tests,glaze_test_database,bf-glaze,bu-margaret,Notion glaze test database export,132144,csv,af1b1d2f0a2b4c5d6e7f8091a2b3c4d5e6f70a819d,2024-01-01T10:00:00Z,2026-09-29T10:00:00Z
bfl-glaze-tiles,glaze_test_tile_series,bf-glaze,bu-margaret,Glaze test tile photograph,412144,png,b01b1d2f0a2b4c5d6e7f8091a2b3c4d5e6f70a819e,2026-04-01T10:00:00Z,2026-04-01T10:00:00Z
