channel_id,user_id
C-GEN,U-MARGARET
C-GEN,U-MIKA
C-GEN,U-ETHAN
C-GEN,U-AKIKO
C-GEN,U-JEANLUC
C-GEN,U-TOMOMI
C-GEN,U-TOSHIO
C-GEN,U-RIKU
C-GEN,U-DANIEL
C-GEN,U-BOT
C-TERRE,U-MARGARET
C-TERRE,U-JEANLUC
C-TERRE,U-MIKA
C-TERRE,U-ETHAN
C-TERRE,U-BOT
C-SHIP,U-MARGARET
C-SHIP,U-JEANLUC
C-SHIP,U-MIKA
C-SHIP,U-BOT
C-PARIS-COL,U-MARGARET
C-PARIS-COL,U-JEANLUC
C-PARIS-COL,U-BOT
C-MUSEUM,U-MARGARET
C-MUSEUM,U-TOMOMI
C-MUSEUM,U-MIKA
C-MUSEUM,U-BOT
C-SHIBUI,U-MARGARET
C-SHIBUI,U-AKIKO
C-SHIBUI,U-BOT
C-RANDOM,U-MARGARET
C-RANDOM,U-MIKA
C-RANDOM,U-ETHAN
C-RANDOM,U-AKIKO
C-RANDOM,U-TOSHIO
C-RANDOM,U-RIKU
C-RANDOM,U-DANIEL
C-RANDOM,U-BOT
C-KILN,U-MARGARET
C-KILN,U-MIKA
C-KILN,U-TOSHIO
C-KILN,U-ETHAN
C-KILN,U-RIKU
C-KILN,U-BOT
