id,product,unit_amount,currency,recurring_interval,active,nickname
price_HolidayFlex,prod_HolidayPledge2026,,usd,,true,Holiday Pledge (custom amount)
price_TitheWeekly,prod_TithingRecurring,2500,usd,week,true,Weekly $25 tithe
price_easter_offering_2500,prod_easter_offering,2500,usd,,True,$25 - Easter Offering
price_easter_offering_5000,prod_easter_offering,5000,usd,month,True,$50 - Easter Offering
price_easter_offering_10000,prod_easter_offering,10000,usd,month,True,$100 - Easter Offering
price_building_fund_2500,prod_building_fund,2500,usd,,True,$25 - Building Fund
price_building_fund_5000,prod_building_fund,5000,usd,month,True,$50 - Building Fund
price_building_fund_10000,prod_building_fund,10000,usd,month,True,$100 - Building Fund
price_missions_fund_2500,prod_missions_fund,2500,usd,,True,$25 - Missions Fund
price_missions_fund_5000,prod_missions_fund,5000,usd,month,True,$50 - Missions Fund
price_missions_fund_10000,prod_missions_fund,10000,usd,month,True,$100 - Missions Fund
price_youth_ministry_2500,prod_youth_ministry,2500,usd,,True,$25 - Youth Ministry
price_youth_ministry_5000,prod_youth_ministry,5000,usd,month,True,$50 - Youth Ministry
price_youth_ministry_10000,prod_youth_ministry,10000,usd,month,True,$100 - Youth Ministry
price_music_ministry_2500,prod_music_ministry,2500,usd,,True,$25 - Music Ministry
price_music_ministry_5000,prod_music_ministry,5000,usd,month,True,$50 - Music Ministry
price_music_ministry_10000,prod_music_ministry,10000,usd,month,True,$100 - Music Ministry
price_vbs_registration_2500,prod_vbs_registration,2500,usd,,True,$25 - VBS Registration
price_vbs_registration_5000,prod_vbs_registration,5000,usd,month,True,$50 - VBS Registration
price_vbs_registration_10000,prod_vbs_registration,10000,usd,month,True,$100 - VBS Registration
price_back_to_school_2500,prod_back_to_school,2500,usd,,True,$25 - Back-to-School Drive
price_back_to_school_5000,prod_back_to_school,5000,usd,month,True,$50 - Back-to-School Drive
price_back_to_school_10000,prod_back_to_school,10000,usd,month,True,$100 - Back-to-School Drive
price_thanksgiving_meal_2500,prod_thanksgiving_meal,2500,usd,,True,$25 - Thanksgiving Meal Support
price_thanksgiving_meal_5000,prod_thanksgiving_meal,5000,usd,month,True,$50 - Thanksgiving Meal Support
price_thanksgiving_meal_10000,prod_thanksgiving_meal,10000,usd,month,True,$100 - Thanksgiving Meal Support
price_christmas_giving_2500,prod_christmas_giving,2500,usd,,True,$25 - Christmas Giving Tree
price_christmas_giving_5000,prod_christmas_giving,5000,usd,month,True,$50 - Christmas Giving Tree
price_christmas_giving_10000,prod_christmas_giving,10000,usd,month,True,$100 - Christmas Giving Tree
price_flowers_altar_2500,prod_flowers_altar,2500,usd,,True,$25 - Altar Flowers
