id,name,type,query,message,overall_state,priority,tags,created,modified
30000,[NNU] cpu.user elevated on portal,metric alert,avg(last_5m):avg:cpu.user{env:prod} > 70,Alerting on cpu.user. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cpu.user,OK,1,env:prod|service:esfes,2024-01-01T00:00:00Z,2025-08-14T00:00:00Z
30001,[NNU] cpu.system elevated on db,metric alert,avg(last_5m):avg:cpu.system{env:prod} > 71,Alerting on cpu.system. Runbook: https://wiki.nnu-crop.edu.ng/runbook/cpu.system,OK,2,env:prod|service:waita,2024-01-02T00:00:00Z,2025-08-13T00:00:00Z
30002,[NNU] memory.used elevated on web,metric alert,avg(last_5m):avg:memory.used{env:prod} > 72,Alerting on memory.used. Runbook: https://wiki.nnu-crop.edu.ng/runbook/memory.used,OK,3,env:prod|service:portal,2024-01-03T00:00:00Z,2025-08-12T00:00:00Z
30003,[NNU] disk.read elevated on ci,metric alert,avg(last_5m):avg:disk.read{env:prod} > 73,Alerting on disk.read. Runbook: https://wiki.nnu-crop.edu.ng/runbook/disk.read,Warn,4,env:prod|service:db,2024-01-04T00:00:00Z,2025-08-11T00:00:00Z
30004,[NNU] disk.write elevated on gh-sensor,metric alert,avg(last_5m):avg:disk.write{env:prod} > 74,Alerting on disk.write. Runbook: https://wiki.nnu-crop.edu.ng/runbook/disk.write,Alert,5,env:prod|service:gh-sensor,2024-01-05T00:00:00Z,2025-08-10T00:00:00Z
30005,[NNU] net.rx elevated on portal,metric alert,avg(last_5m):avg:net.rx{env:prod} > 75,Alerting on net.rx. Runbook: https://wiki.nnu-crop.edu.ng/runbook/net.rx,OK,1,env:prod|service:esfes,2024-01-06T00:00:00Z,2025-08-09T00:00:00Z
30006,[NNU] net.tx elevated on db,metric alert,avg(last_5m):avg:net.tx{env:prod} > 76,Alerting on net.tx. Runbook: https://wiki.nnu-crop.edu.ng/runbook/net.tx,OK,2,env:prod|service:waita,2024-01-07T00:00:00Z,2025-08-08T00:00:00Z
30007,[NNU] http.request.count elevated on web,metric alert,avg(last_5m):avg:http.request.count{env:prod} > 77,Alerting on http.request.count. Runbook: https://wiki.nnu-crop.edu.ng/runbook/http.request.count,OK,3,env:prod|service:portal,2024-01-08T00:00:00Z,2025-08-07T00:00:00Z
30008,[NNU] http.request.latency elevated on ci,metric alert,avg(last_5m):avg:http.request.latency{env:prod} > 78,Alerting on http.request.latency. Runbook: https://wiki.nnu-crop.edu.ng/runbook/http.request.latency,OK,4,env:prod|service:db,2024-01-09T00:00:00Z,2025-08-06T00:00:00Z
30009,[NNU] db.connections elevated on gh-sensor,metric alert,avg(last_5m):avg:db.connections{env:prod} > 79,Alerting on db.connections. Runbook: https://wiki.nnu-crop.edu.ng/runbook/db.connections,Warn,5,env:prod|service:gh-sensor,2024-01-10T00:00:00Z,2025-08-05T00:00:00Z
30010,[NNU] db.query.latency elevated on portal,metric alert,avg(last_5m):avg:db.query.latency{env:prod} > 80,Alerting on db.query.latency. Runbook: https://wiki.nnu-crop.edu.ng/runbook/db.query.latency,Alert,1,env:prod|service:esfes,2024-01-11T00:00:00Z,2025-08-04T00:00:00Z
