sponsor_id,sponsor_name,contact_person,pledged_amount,paid_amount,tier,plaque_wording,program_wording,bed_sign_wording,newsletter_thank_you,signed_letter_ref,notes
SP-001,Vidalia Family Dentistry,Dr. Rebecca Shaw,500.00,750.00,Gold Bed,"Vidalia Family Dentistry — Gold Bed Sponsor","Vidalia Family Dentistry, Gold Bed Sponsor","Sponsored by Vidalia Family Dentistry","Warm thanks to Vidalia Family Dentistry for their generous Gold Bed sponsorship.",sponsor_letter_01_vidalia_family_dentistry.pdf,"CONFLICT — table shows $500 but signed letter and Stripe show $750 (C2)"
SP-002,Ameris Bank Vidalia Branch,Trey Coleman,1500.00,1500.00,Platinum,"Ameris Bank — Platinum Sponsor","Ameris Bank Vidalia Branch, Platinum Sponsor","Sponsored by Ameris Bank","Deep thanks to Ameris Bank Vidalia Branch for their Platinum-level support.",sponsor_letter_02_ameris_bank.pdf,-
SP-003,Piggly Wiggly of Vidalia,Sam Register,500.00,500.00,Silver Bed,"Piggly Wiggly of Vidalia — Silver Bed Sponsor","Piggly Wiggly of Vidalia, Silver Bed Sponsor","Sponsored by Piggly Wiggly of Vidalia","Thanks to Piggly Wiggly of Vidalia for their Silver Bed sponsorship.",sponsor_letter_03_piggly_wiggly.pdf,-
SP-004,Vidalia Onion Committee,Cindy Sikes,2000.00,2000.00,Presenting,"Presented by the Vidalia Onion Committee","Presented by the Vidalia Onion Committee","Presented by the Vidalia Onion Committee","Our Presenting Sponsor, the Vidalia Onion Committee, made this tour possible.",sponsor_letter_04_vidalia_onion.pdf,-
SP-005,First State Bank of Vidalia,Marlene Peebles,1000.00,1000.00,Gold,"First State Bank — Gold Sponsor","First State Bank of Vidalia, Gold Sponsor","Sponsored by First State Bank","Thanks to First State Bank of Vidalia for their Gold-level sponsorship.",sponsor_letter_05_first_state_bank.pdf,-
SP-006,Sal's BBQ,Sal Padgett,250.00,250.00,Bronze,"Sal's BBQ — Bronze Sponsor","Sal's BBQ, Bronze Sponsor","-","Thanks to Sal's BBQ for their Bronze sponsorship.",sponsor_letter_06_sals_bbq.pdf,-
SP-007,Magnolia Café,Ruth Ann Fussell,250.00,250.00,Bronze,"Magnolia Café — Bronze Sponsor","Magnolia Café, Bronze Sponsor","-","Thanks to Magnolia Café for their Bronze sponsorship.",sponsor_letter_07_magnolia_cafe.pdf,-
SP-008,Park Seed Co,Alice Corbett,500.00,500.00,Silver Bed,"Park Seed — Silver Bed Sponsor","Park Seed Co, Silver Bed Sponsor","Sponsored by Park Seed","Thanks to Park Seed for their Silver Bed sponsorship.",sponsor_letter_08_park_seed.pdf,-
SP-009,Belk of Vidalia,Susan Rewis,500.00,500.00,Silver Bed,"Belk of Vidalia — Silver Bed Sponsor","Belk of Vidalia, Silver Bed Sponsor","Sponsored by Belk","Thanks to Belk of Vidalia for their Silver Bed sponsorship.",sponsor_letter_09_belk_vidalia.pdf,-
SP-010,Vidalia Heritage Farms,Grady Bracewell,750.00,750.00,Gold Bed,"Vidalia Heritage Farms — Gold Bed Sponsor","Vidalia Heritage Farms, Gold Bed Sponsor","Sponsored by Vidalia Heritage Farms","Thanks to Vidalia Heritage Farms for their Gold Bed sponsorship.",sponsor_letter_10_vidalia_heritage.pdf,-
SP-011,Toombs County Farm Bureau,Ron Kirkland,1000.00,1000.00,Gold,"Toombs County Farm Bureau — Gold Sponsor","Toombs County Farm Bureau, Gold Sponsor","Sponsored by Toombs County Farm Bureau","Thanks to Toombs County Farm Bureau for their Gold sponsorship.",sponsor_letter_11_farm_bureau.pdf,-
SP-012,Peach State Heating & Air,Curtis Waldrop,500.00,0.00,Silver Bed,"Peach State Heating & Air — Silver Bed Sponsor","Peach State Heating & Air, Silver Bed Sponsor","Sponsored by Peach State Heating & Air","Thanks to Peach State Heating & Air for their Silver Bed sponsorship.",sponsor_letter_12_peach_state_hvac.pdf,"pledged but not yet paid — check by tour date"
SP-013,State Farm - Nathan Fussell Agency,Nathan Fussell,500.00,500.00,Silver Bed,"State Farm - Nathan Fussell Agency — Silver Bed Sponsor","State Farm - Nathan Fussell Agency, Silver Bed Sponsor","Sponsored by State Farm - Nathan Fussell","Thanks to Nathan Fussell State Farm for their Silver Bed sponsorship.",sponsor_letter_13_state_farm.pdf,-
SP-014,Vidalia Drug,Randall Beasley,250.00,250.00,Bronze,"Vidalia Drug — Bronze Sponsor","Vidalia Drug, Bronze Sponsor","-","Thanks to Vidalia Drug for their Bronze sponsorship.",sponsor_letter_14_vidalia_drug.pdf,-
SP-015,Wooten Nursery & Landscape,Jeb Wooten,750.00,750.00,Gold Bed,"Wooten Nursery — Gold Bed Sponsor","Wooten Nursery & Landscape, Gold Bed Sponsor","Sponsored by Wooten Nursery","Thanks to Wooten Nursery & Landscape for their Gold Bed sponsorship.",sponsor_letter_15_wooten_nursery.pdf,-
SP-016,Sasser Insurance Group,Boyd Sasser,500.00,500.00,Silver Bed,"Sasser Insurance Group — Silver Bed Sponsor","Sasser Insurance Group, Silver Bed Sponsor","Sponsored by Sasser Insurance","Thanks to Sasser Insurance Group for their Silver Bed sponsorship.",sponsor_letter_16_sasser_insurance.pdf,-
SP-017,Vidalia Advance,Rebecca Waters,300.00,0.00,In-Kind Media Partner,"Media partner Vidalia Advance","Media partner Vidalia Advance","-","Thanks to the Vidalia Advance for their in-kind media partnership.",sponsor_letter_17_vidalia_advance.pdf,"in-kind, no cash payment expected"
SP-018,Grimsley Feed & Seed,Odell Grimsley,400.00,400.00,Bronze Plus,"Grimsley Feed & Seed — Bronze Plus Sponsor","Grimsley Feed & Seed, Bronze Plus Sponsor","-","Thanks to Grimsley Feed & Seed for their Bronze Plus sponsorship.",sponsor_letter_18_grimsley_feed.pdf,-
